[1.22124533e-14 0.00000000e+00 5.50000000e+01], [3.4923386573791504]
[-3.42647258e-06  1.18347050e-07  5.50000023e+01], [3.724236488342285]
[-3.73846390e-06  6.48846535e-07  5.50000018e+01], [3.7761220932006836]
[-3.92249938e-06  9.66437443e-07  5.50000015e+01], [3.8164525032043457]
[-4.04982950e-06  1.18623375e-06  5.50000013e+01], [3.858804225921631]
[-4.14396821e-06  1.34882503e-06  5.50000012e+01], [3.9027514457702637]
[-4.21576244e-06  1.47288535e-06  5.50000010e+01], [3.947277784347534]
[-4.27128667e-06  1.56887168e-06  5.50000010e+01], [3.9915452003479004]
[-4.31449373e-06  1.64359133e-06  5.50000009e+01], [4.033212900161743]
[-4.34820719e-06  1.70191021e-06  5.50000008e+01], [4.078752279281616]
[-4.37454442e-06  1.74748021e-06  5.50000008e+01], [4.124981641769409]
[-4.39513016e-06  1.78310563e-06  5.50000008e+01], [4.174396276473999]
[-4.41122436e-06  1.81096239e-06  5.50000007e+01], [4.2132298946380615]
[-4.42380844e-06  1.83274645e-06  5.50000007e+01], [4.262312650680542]
[-4.43364854e-06  1.84978224e-06  5.50000007e+01], [4.3124213218688965]
[-4.44134323e-06  1.86310489e-06  5.50000007e+01], [4.365973949432373]
[-4.44736037e-06  1.87352376e-06  5.50000007e+01], [4.426028728485107]
[-4.45206577e-06  1.88167174e-06  5.50000007e+01], [4.48640513420105]
[-4.45574542e-06  1.88804382e-06  5.50000007e+01], [4.544520378112793]
[-4.45862295e-06  1.89302703e-06  5.50000007e+01], [4.599457263946533]
[-4.46087321e-06  1.89692407e-06  5.50000007e+01], [4.6423420906066895]
[-4.46263295e-06  1.89997171e-06  5.50000006e+01], [4.685911178588867]
[-4.46400912e-06  1.90235508e-06  5.50000006e+01], [4.729833602905273]
[-4.46508531e-06  1.90421897e-06  5.50000006e+01], [4.77382493019104]
[-4.46592693e-06  1.90567661e-06  5.50000006e+01], [4.81892466545105]
[-4.46658508e-06  1.90681651e-06  5.50000006e+01], [4.861433267593384]
[-4.46709978e-06  1.90770795e-06  5.50000006e+01], [4.903653621673584]
[-4.46750229e-06  1.90840511e-06  5.50000006e+01], [4.943997383117676]
[-4.46781707e-06  1.90895031e-06  5.50000006e+01], [4.987835884094238]
[-4.46806323e-06  1.90937666e-06  5.50000006e+01], [5.028766393661499]
[-4.46825574e-06  1.90971010e-06  5.50000006e+01], [5.069284200668335]
[-4.46840628e-06  1.90997082e-06  5.50000006e+01], [5.110661268234253]
[-4.46852402e-06  1.91017475e-06  5.50000006e+01], [5.153108596801758]
[-4.46861608e-06  1.91033421e-06  5.50000006e+01], [5.195744037628174]
[-4.46868808e-06  1.91045892e-06  5.50000006e+01], [5.237278461456299]
[-4.46874439e-06  1.91055644e-06  5.50000006e+01], [5.279504776000977]
[-4.46878840e-06  1.91063267e-06  5.50000006e+01], [5.318465709686279]
[-4.46882284e-06  1.91069233e-06  5.50000006e+01], [5.361330032348633]
[-4.46884977e-06  1.91073896e-06  5.50000006e+01], [5.402706861495972]
[-4.46887082e-06  1.91077542e-06  5.50000006e+01], [5.450278043746948]
[-4.46888729e-06  1.91080395e-06  5.50000006e+01], [5.49875020980835]
[-4.46890017e-06  1.91082627e-06  5.50000006e+01], [5.544576168060303]
[-4.46891024e-06  1.91084371e-06  5.50000006e+01], [5.5953710079193115]
[-4.46891812e-06  1.91085735e-06  5.50000006e+01], [5.643999338150024]
[-4.46892428e-06  1.91086802e-06  5.50000006e+01], [5.69297456741333]
[-4.46892909e-06  1.91087635e-06  5.50000006e+01], [5.742994785308838]
[-4.46893285e-06  1.91088287e-06  5.50000006e+01], [5.795236825942993]
[-4.46893580e-06  1.91088798e-06  5.50000006e+01], [5.844281196594238]
