[1.28785871e-14 0.00000000e+00 5.80000000e+01], [1.218346118927002]
[ 2.63721212e-14 -2.04728336e-15  5.80000000e+01], [2.532608985900879]
[2.31127984e-02 6.81388798e-05 5.80080302e+01], [2.681116819381714]
[7.05575908e-02 1.82777801e-04 5.80213850e+01], [2.8163468837738037]
[1.42435326e-01 3.42294976e-04 5.80398021e+01], [2.9531452655792236]
[2.38921062e-01 5.43789765e-04 5.80630348e+01], [3.0868022441864014]
[3.60086361e-01 7.87500146e-04 5.80909802e+01], [3.2068560123443604]
[5.06022716e-01 1.07289404e-03 5.81235384e+01], [3.323967456817627]
[6.76872571e-01 1.39877578e-03 5.81605073e+01], [3.4416921138763428]
[8.72497125e-01 1.76984125e-03 5.82015721e+01], [3.5643081665039062]
[1.09335561e+00 2.17877964e-03 5.82466253e+01], [3.685713768005371]
[1.33994381e+00 2.61718269e-03 5.82954549e+01], [3.805222988128662]
[1.61217343e+00 3.08856615e-03 5.83476123e+01], [3.926792621612549]
[1.90995353e+00 3.59673559e-03 5.84027016e+01], [4.044705867767334]
[2.23109570e+00 1.49428263e-04 5.84596848e+01], [4.163327217102051]
[ 2.55026901e+00 -2.82174096e-02  5.85108960e+01], [4.283944129943848]
[ 2.84286407e+00 -4.70197554e-02  5.85522617e+01], [4.426070213317871]
[ 3.14155001e+00 -5.07537957e-02  5.85974702e+01], [4.546979188919067]
[ 3.45403398 -0.06518345 58.64457832], [4.665039300918579]
[ 3.78840082 -0.08179904 58.69425474], [4.784603834152222]
[ 4.1342338  -0.10943634 58.7421275 ], [4.925507545471191]
[ 4.48760419 -0.12442712 58.78817046], [5.043479919433594]
[ 4.85061712 -0.13421047 58.83355646], [5.165393352508545]
[ 5.23093715 -0.13694217 58.87989526], [5.282986879348755]
[ 5.62069625 -0.14449693 58.9238765 ], [5.407163858413696]
[ 6.01380526 -0.1492279  58.96478867], [5.52722954750061]
[ 6.41468721 -0.15588303 59.00462233], [5.649338245391846]
[ 6.8263489  -0.16361703 59.04346525], [5.766380786895752]
[ 7.23942229 -0.16048656 59.07848617], [5.884069204330444]
[ 7.64900367 -0.15104912 59.10981931], [6.022911548614502]
[ 8.0547397  -0.14338361 59.13824969], [6.140764474868774]
[ 8.46044415 -0.1387625  59.16481457], [6.255170583724976]
[ 8.87554503 -0.12728846 59.19104982], [6.372097015380859]
[ 9.2885335  -0.11555691 59.21321639], [6.488363265991211]
[ 9.69395166 -0.09187575 59.23161219], [6.605957269668579]
[10.08604887 -0.07163603 59.24611089], [6.722491264343262]
[ 1.04679704e+01 -4.05619976e-02  5.92582869e+01], [6.841030836105347]
[ 1.08401734e+01 -1.58962594e-02  5.92681423e+01], [6.962152481079102]
[1.12109987e+01 1.94701653e-02 5.92772558e+01], [7.082626581192017]
[1.15742619e+01 5.24337868e-02 5.92835888e+01], [7.201911687850952]
[11.92607276  0.09031136 59.28720879], [7.319656848907471]
[12.26336709  0.12255542 59.28834326], [7.4385597705841064]
[12.58888689  0.15457917 59.28806972], [7.556920289993286]
