[1.42108547e-14 0.00000000e+00 5.50000000e+01], [31.510323524475098]
[1.80649448e-01 2.59008856e-06 5.50491016e+01], [32.13636898994446]
[3.71223649e-01 2.74546512e-06 5.50852258e+01], [32.2488112449646]
[5.61627200e-01 2.94456823e-06 5.51194960e+01], [32.36125588417053]
[7.52283032e-01 3.23031919e-06 5.51534657e+01], [32.4733521938324]
[9.43340441e-01 3.60807921e-06 5.51870830e+01], [32.586507081985474]
[1.13482856e+00 4.07935287e-06 5.52202358e+01], [32.6989643573761]
[1.32675900e+00 4.64422599e-06 5.52528416e+01], [32.81311106681824]
[1.51913724e+00 5.30213323e-06 5.52848389e+01], [32.92608642578125]
[1.71196442e+00 6.05204347e-06 5.53161807e+01], [33.03875160217285]
[1.90523845e+00 6.89257462e-06 5.53468313e+01], [33.15131497383118]
[2.09895488e+00 7.82207746e-06 5.53767626e+01], [33.2637300491333]
[2.29310749e+00 8.83869223e-06 5.54059530e+01], [33.37529182434082]
[2.48768874e+00 9.94038657e-06 5.54343849e+01], [33.48785042762756]
[2.68269013e+00 1.11249805e-05 5.54620446e+01], [33.59994602203369]
[2.87810240e+00 1.23901623e-05 5.54889205e+01], [33.712135314941406]
[3.07391574e+00 1.37334991e-05 5.55150033e+01], [33.823983669281006]
[3.27011990e+00 1.51524434e-05 5.55402850e+01], [33.93751811981201]
[3.46670431e+00 1.66443370e-05 5.55647588e+01], [34.05124115943909]
[3.66365813e+00 1.82064137e-05 5.55884190e+01], [34.163657426834106]
[3.86097033e+00 1.98358014e-05 5.56112603e+01], [34.277098655700684]
[4.05862972e+00 2.15295232e-05 5.56332784e+01], [34.38931751251221]
[4.25662497e+00 2.32844982e-05 5.56544691e+01], [34.50334286689758]
[4.45494468e+00 2.50975432e-05 5.56748289e+01], [34.61676025390625]
[4.65357732e+00 2.69653735e-05 5.56943545e+01], [34.729188680648804]
[4.85251135e+00 2.88846038e-05 5.57130430e+01], [34.84374713897705]
[5.05173513e+00 3.08517505e-05 5.57308917e+01], [34.95641231536865]
[5.25123701e+00 3.28632323e-05 5.57478984e+01], [35.06939148902893]
[5.45100531e+00 3.49153728e-05 5.57640607e+01], [35.18279218673706]
[5.65102830e+00 3.70044018e-05 5.57793769e+01], [35.295437812805176]
[5.85129427e+00 3.91264572e-05 5.57938453e+01], [35.407119035720825]
[6.05179147e+00 4.12775883e-05 5.58074642e+01], [35.52006435394287]
[6.25250815e+00 4.34537567e-05 5.58202325e+01], [35.63229775428772]
[6.45343260e+00 4.56508403e-05 5.58321490e+01], [35.744659662246704]
[6.65455307e+00 4.78646345e-05 5.58432128e+01], [35.85612916946411]
[6.85585784e+00 5.00908558e-05 5.58534231e+01], [35.969156980514526]
[7.05733522e+00 5.23251447e-05 5.58627796e+01], [36.08164691925049]
[7.25897354e+00 5.45630680e-05 5.58712818e+01], [36.19216561317444]
[7.46076113e+00 5.68001222e-05 5.58789294e+01], [36.305612564086914]
[7.66268639e+00 5.90317370e-05 5.58857227e+01], [36.41881799697876]
[7.86473774e+00 6.12532780e-05 5.58916617e+01], [36.53115701675415]
[8.06690362e+00 6.34600498e-05 5.58967468e+01], [36.643513679504395]
[8.26917255e+00 6.56473007e-05 5.59009785e+01], [36.75426697731018]
[8.47153309e+00 6.78102238e-05 5.59043576e+01], [36.86674642562866]
[8.67397383e+00 6.99439628e-05 5.59068851e+01], [36.97987675666809]
[8.87648345e+00 7.20436142e-05 5.59085618e+01], [37.09287095069885]
[9.07905067e+00 7.41042313e-05 5.59093892e+01], [37.20502543449402]
[9.28166428e+00 7.61208277e-05 5.59093687e+01], [37.31703448295593]
[9.48431315e+00 7.80883813e-05 5.59085017e+01], [37.42881536483765]
[9.68698621e+00 8.00018377e-05 5.59067902e+01], [37.54090714454651]
[9.88967249e+00 8.18561140e-05 5.59042359e+01], [37.65373778343201]
[1.00923611e+01 8.36461029e-05 5.59008412e+01], [37.76629185676575]
[1.02950412e+01 8.53666757e-05 5.58966081e+01], [37.87745428085327]
[1.04977020e+01 8.70126873e-05 5.58915391e+01], [37.98988914489746]
[1.07003330e+01 8.85789788e-05 5.58856369e+01], [38.10225510597229]
[1.09029236e+01 9.00603826e-05 5.58789042e+01], [38.21550893783569]
[1.11054633e+01 9.14517252e-05 5.58713439e+01], [38.32791876792908]
[1.13079419e+01 9.27478315e-05 5.58629591e+01], [38.43981099128723]
[1.15103492e+01 9.39435286e-05 5.58537531e+01], [38.55207705497742]
[1.17126749e+01 9.50336499e-05 5.58437293e+01], [38.66567015647888]
[1.19149092e+01 9.60130384e-05 5.58328911e+01], [38.77779459953308]
[1.21170421e+01 9.68765509e-05 5.58212424e+01], [38.89023780822754]
[1.23190639e+01 9.76190618e-05 5.58087870e+01], [39.0036141872406]
[1.25209650e+01 9.82354665e-05 5.57955289e+01], [39.11666464805603]
[1.27227359e+01 9.87206856e-05 5.57814723e+01], [39.22836995124817]
[1.29243672e+01 9.90696683e-05 5.57666214e+01], [39.340893030166626]
[1.31258497e+01 9.92773962e-05 5.57509808e+01], [39.45436072349548]
[1.33271744e+01 9.93388866e-05 5.57345551e+01], [39.56706953048706]
[1.35283322e+01 9.92491964e-05 5.57173489e+01], [39.679896116256714]
[1.37293145e+01 9.90034256e-05 5.56993672e+01], [39.79238200187683]
[1.39301124e+01 9.85967207e-05 5.56806150e+01], [39.90444254875183]
[1.41307176e+01 9.80242775e-05 5.56610975e+01], [40.01627802848816]
[1.43311218e+01 9.72813458e-05 5.56408199e+01], [40.128501176834106]
[1.45313166e+01 9.63632311e-05 5.56197877e+01], [40.242319107055664]
[1.47312942e+01 9.52652987e-05 5.55980064e+01], [40.35476326942444]
[1.49310466e+01 9.39829762e-05 5.55754818e+01], [40.46813654899597]
[14.93827243  0.19881304 55.56328173], [40.581299781799316]
[14.93954623  0.40171321 55.55611651], [40.69352436065674]
[14.94075081  0.60416103 55.54480609], [40.806604862213135]
[14.94138044  0.8064221  55.53051909], [40.91963982582092]
[14.94153509  1.00850018 55.51468706], [41.03155493736267]
[14.9413562   1.21038746 55.49818645], [41.14442324638367]
[14.94094469  1.41208591 55.48150558], [41.255330324172974]
[14.94031897  1.61359996 55.46488787], [41.36827206611633]
[14.93950732  1.81493481 55.44841973], [41.47850847244263]
[14.93862472  2.01609763 55.4320835 ], [41.59166431427002]
[14.93768764  2.21708981 55.41580971], [41.70432806015015]
[14.93670323  2.41790986 55.39950544], [41.817723989486694]
[14.93567491  2.61855349 55.38306639], [41.930376052856445]
[14.93460359  2.81901397 55.36638725], [42.04273867607117]
[14.93348865  3.01928252 55.3493681 ], [42.15519404411316]
[14.93232868  3.2193488  55.33191791], [42.2672004699707]
[14.93112189  3.4192012  55.31395609], [42.38135552406311]
[14.92986641  3.61882725 55.29541295], [42.493732929229736]
[14.92856046  3.81821384 55.27622925], [42.60531520843506]
[14.92720244  4.01734747 55.25635551], [42.71889925003052]
[14.92579099  4.21621441 55.23575098], [42.83130884170532]
