[2.22044605e-14 0.00000000e+00 1.00000000e+02], [18.96825647354126]
[-4.57971223e-06  2.11971875e-06  1.00000001e+02], [19.459232568740845]
[-5.45386355e-06  2.61670139e-06  1.00000002e+02], [19.550423622131348]
[-5.30483821e-06  2.61332025e-06  1.00000001e+02], [19.639620304107666]
[-4.87315399e-06  2.44630205e-06  1.00000001e+02], [19.73065972328186]
[-4.73003622e-06  2.36409428e-06  1.00000001e+02], [19.82261371612549]
[-4.74477798e-06  2.38896393e-06  1.00000001e+02], [19.915777683258057]
[-4.76379041e-06  2.42139447e-06  1.00000001e+02], [20.01103401184082]
[-4.77693365e-06  2.44417648e-06  1.00000001e+02], [20.10610556602478]
[-4.78635700e-06  2.46050776e-06  1.00000001e+02], [20.20199680328369]
[-4.79331268e-06  2.47256220e-06  1.00000000e+02], [20.300907135009766]
[-4.79846604e-06  2.48149330e-06  1.00000000e+02], [20.395771741867065]
[-4.80228124e-06  2.48810533e-06  1.00000000e+02], [20.49206042289734]
[-4.80510485e-06  2.49299889e-06  1.00000000e+02], [20.589009284973145]
[-4.80719448e-06  2.49662042e-06  1.00000000e+02], [20.68766450881958]
[-4.80874091e-06  2.49930054e-06  1.00000000e+02], [20.78893733024597]
[-4.80988532e-06  2.50128392e-06  1.00000000e+02], [20.88283371925354]
[-4.81073218e-06  2.50275162e-06  1.00000000e+02], [20.978456735610962]
[-4.81135882e-06  2.50383767e-06  1.00000000e+02], [21.074581384658813]
[-4.81182252e-06  2.50464132e-06  1.00000000e+02], [21.171706438064575]
[-4.81216560e-06  2.50523593e-06  1.00000000e+02], [21.26572060585022]
[-4.81241945e-06  2.50567588e-06  1.00000000e+02], [21.363707542419434]
[-4.81260725e-06  2.50600137e-06  1.00000000e+02], [21.460160970687866]
[-4.81274621e-06  2.50624220e-06  1.00000000e+02], [21.555356740951538]
[-4.81284900e-06  2.50642036e-06  1.00000000e+02], [21.650379419326782]
[-4.81292504e-06  2.50655215e-06  1.00000000e+02], [21.750206232070923]
[-4.81298129e-06  2.50664965e-06  1.00000000e+02], [21.847322702407837]
[-4.81302291e-06  2.50672178e-06  1.00000000e+02], [21.94297218322754]
[-4.81305368e-06  2.50677512e-06  1.00000000e+02], [22.049120664596558]
[-4.81307644e-06  2.50681456e-06  1.00000000e+02], [22.14443016052246]
[-4.81309327e-06  2.50684374e-06  1.00000000e+02], [22.240139722824097]
[-4.81310573e-06  2.50686532e-06  1.00000000e+02], [22.335688591003418]
[-4.81311493e-06  2.50688127e-06  1.00000000e+02], [22.44259786605835]
[-4.81312175e-06  2.50689309e-06  1.00000000e+02], [22.53640913963318]
[-4.81312678e-06  2.50690181e-06  1.00000000e+02], [22.63563823699951]
[-4.81313050e-06  2.50690827e-06  1.00000000e+02], [22.73071575164795]
[-4.81313325e-06  2.50691303e-06  1.00000000e+02], [22.823643684387207]
[-4.81313530e-06  2.50691658e-06  1.00000000e+02], [22.926632404327393]
[-4.81313681e-06  2.50691919e-06  1.00000000e+02], [23.027112245559692]
[-4.81313792e-06  2.50692112e-06  1.00000000e+02], [23.12173557281494]
[-4.81313874e-06  2.50692254e-06  1.00000000e+02], [23.21183705329895]
[-4.81313934e-06  2.50692359e-06  1.00000000e+02], [23.309082984924316]
[-4.81313979e-06  2.50692437e-06  1.00000000e+02], [23.405078887939453]
[-4.81314012e-06  2.50692494e-06  1.00000000e+02], [23.49428129196167]
[-4.81314035e-06  2.50692533e-06  1.00000000e+02], [23.590596914291382]
[-4.81314054e-06  2.50692567e-06  1.00000000e+02], [23.682828187942505]
[-4.81314068e-06  2.50692590e-06  1.00000000e+02], [23.775169134140015]
[-4.81314078e-06  2.50692608e-06  1.00000000e+02], [23.86556577682495]
[-4.81314085e-06  2.50692621e-06  1.00000000e+02], [23.960286617279053]
[-4.81314091e-06  2.50692630e-06  1.00000000e+02], [24.057421445846558]
[-4.81314096e-06  2.50692638e-06  1.00000000e+02], [24.149600744247437]
[-4.81314098e-06  2.50692643e-06  1.00000000e+02], [24.24161386489868]
[-4.81314100e-06  2.50692646e-06  1.00000000e+02], [24.340137481689453]
[-4.81314103e-06  2.50692651e-06  1.00000000e+02], [24.43288230895996]
[-4.81314104e-06  2.50692654e-06  1.00000000e+02], [24.5324969291687]
[-4.81314105e-06  2.50692654e-06  1.00000000e+02], [24.628212451934814]
[-4.81314106e-06  2.50692657e-06  1.00000000e+02], [24.723522424697876]
[-4.81314106e-06  2.50692657e-06  1.00000000e+02], [24.814829111099243]
[-4.81314107e-06  2.50692659e-06  1.00000000e+02], [24.9095356464386]
[-4.81314108e-06  2.50692659e-06  1.00000000e+02], [25.0058753490448]
[-4.81314108e-06  2.50692659e-06  1.00000000e+02], [25.099737644195557]
[-4.81314106e-06  2.50692657e-06  1.00000000e+02], [25.198347091674805]
[-4.81314107e-06  2.50692658e-06  1.00000000e+02], [25.3051860332489]
[-4.81314106e-06  2.50692657e-06  1.00000000e+02], [25.41468596458435]
[-4.81314106e-06  2.50692657e-06  1.00000000e+02], [25.518990993499756]
[-4.81314106e-06  2.50692656e-06  1.00000000e+02], [25.618944883346558]
[-4.81314106e-06  2.50692657e-06  1.00000000e+02], [25.71797204017639]
[-4.81314106e-06  2.50692657e-06  1.00000000e+02], [25.811673164367676]
