[  0.   0. 100.], [1.1472866535186768]
[4.65060016e-310 4.65060036e-310 1.58101007e-322], [2.200892925262451]
[1.00000000e+000 0.00000000e+000 4.65059366e-310], [2.341689109802246]
[6.93612686e-310 2.12199579e-314 4.65059900e-310], [2.480097532272339]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [2.611607074737549]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [2.7392044067382812]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [2.8740808963775635]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.0083956718444824]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.132080554962158]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.263575315475464]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.3978793621063232]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.5258865356445312]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.66448974609375]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.7980778217315674]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [3.93143630027771]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.054307699203491]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.186788320541382]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.318890571594238]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.4580042362213135]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.583504676818848]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.707720518112183]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.831357717514038]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [4.9577741622924805]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [5.082548379898071]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [5.209554433822632]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [5.3419952392578125]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [5.471604585647583]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [5.598243236541748]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [5.7285614013671875]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [5.877427101135254]
[4.65059360e-310 0.00000000e+000 4.65059359e-310], [6.021316766738892]
