[1.11022302e-14 0.00000000e+00 5.00000000e+01], [1.583322525024414]
[-1.17686752e-06  6.68389662e-07  5.00000012e+01], [1.998225212097168]
[-1.58016584e-06  8.67288134e-07  5.00000015e+01], [2.0881853103637695]
[-1.61356909e-06  8.79559324e-07  5.00000013e+01], [2.1815309524536133]
[-1.51573532e-06  8.25545078e-07  5.00000010e+01], [2.2707600593566895]
[-1.49151362e-06  7.93695381e-07  5.00000009e+01], [2.359123945236206]
[-1.51493315e-06  7.98121399e-07  5.00000008e+01], [2.4472007751464844]
[-1.53784822e-06  8.07781518e-07  5.00000007e+01], [2.5370073318481445]
[-1.55510532e-06  8.15078668e-07  5.00000006e+01], [2.6230013370513916]
[-1.56782726e-06  8.20325639e-07  5.00000005e+01], [2.7170393466949463]
[-1.57722712e-06  8.24164373e-07  5.00000005e+01], [2.808629035949707]
[-1.58417750e-06  8.26985384e-07  5.00000005e+01], [2.895059108734131]
[-1.58931618e-06  8.29057991e-07  5.00000004e+01], [2.986567974090576]
[-1.59311513e-06  8.30580229e-07  5.00000004e+01], [3.077930212020874]
[-1.59592359e-06  8.31698101e-07  5.00000004e+01], [3.1640923023223877]
[-1.59799981e-06  8.32518958e-07  5.00000004e+01], [3.2588605880737305]
[-1.59953470e-06  8.33121669e-07  5.00000004e+01], [3.3464012145996094]
[-1.60066939e-06  8.33564154e-07  5.00000004e+01], [3.4405598640441895]
[-1.60150822e-06  8.33888976e-07  5.00000004e+01], [3.542712688446045]
[-1.60212833e-06  8.34127406e-07  5.00000004e+01], [3.6434268951416016]
[-1.60258675e-06  8.34302394e-07  5.00000004e+01], [3.7362916469573975]
[-1.60292565e-06  8.34430824e-07  5.00000004e+01], [3.8277628421783447]
[-1.60317617e-06  8.34525062e-07  5.00000004e+01], [3.9154117107391357]
[-1.60336137e-06  8.34594207e-07  5.00000004e+01], [4.00900936126709]
[-1.60349827e-06  8.34644929e-07  5.00000004e+01], [4.102436065673828]
[-1.60359948e-06  8.34682139e-07  5.00000004e+01], [4.190137147903442]
