[  0.   0. 110.], [4.903535604476929]
[4.68531671e-310 4.68531928e-310 1.58101007e-322], [5.873030424118042]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.007554292678833]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.141011714935303]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.273416757583618]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.402719974517822]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.539285659790039]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.681172609329224]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.817345380783081]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [6.951584100723267]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [7.077580213546753]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [7.208443880081177]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [7.346285581588745]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [7.480285406112671]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [7.613381624221802]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [7.746994972229004]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [7.878108739852905]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.01355767250061]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.14137578010559]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.279591798782349]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.416390657424927]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.548787355422974]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.676759004592896]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.821460962295532]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [8.962729692459106]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [9.093752145767212]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [9.223748922348022]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [9.354793071746826]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [9.486371517181396]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [9.620931625366211]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [9.749374628067017]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [9.883292198181152]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.014789819717407]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.146868228912354]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.279433012008667]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.41205382347107]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.5403573513031]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.667755365371704]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.812312126159668]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [10.952313423156738]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [11.089463233947754]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [11.22769808769226]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [11.362708806991577]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [11.508774995803833]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [11.641108751296997]
[6.90255138e-310 2.12199579e-314 4.68531303e-310], [11.784993886947632]
