[2.22044605e-14 0.00000000e+00 1.00000000e+02], [2.707872152328491]
[-4.58683994e-06  2.13130448e-06  1.00000001e+02], [3.5813632011413574]
[-5.43223896e-06  2.61687270e-06  1.00000002e+02], [3.7027461528778076]
[-5.28715966e-06  2.61335753e-06  1.00000001e+02], [3.8275997638702393]
[-4.87451184e-06  2.45340588e-06  1.00000001e+02], [3.9545724391937256]
[-4.73652435e-06  2.37533798e-06  1.00000001e+02], [4.074214935302734]
[-4.75100460e-06  2.39977083e-06  1.00000001e+02], [4.196252346038818]
[-4.76943596e-06  2.43118582e-06  1.00000001e+02], [4.31493878364563]
[-4.78208441e-06  2.45311514e-06  1.00000001e+02], [4.443814277648926]
[-4.79112600e-06  2.46878850e-06  1.00000001e+02], [4.566147089004517]
[-4.79778868e-06  2.48033801e-06  1.00000000e+02], [4.690839529037476]
[-4.80271639e-06  2.48888024e-06  1.00000000e+02], [4.816166400909424]
[-4.80635775e-06  2.49519264e-06  1.00000000e+02], [4.930807828903198]
[-4.80904760e-06  2.49985558e-06  1.00000000e+02], [5.044742822647095]
[-4.81103444e-06  2.50329988e-06  1.00000000e+02], [5.168412446975708]
[-4.81250197e-06  2.50584393e-06  1.00000000e+02], [5.299093961715698]
[-4.81358584e-06  2.50772291e-06  1.00000000e+02], [5.421252727508545]
[-4.81438632e-06  2.50911062e-06  1.00000000e+02], [5.543735980987549]
[-4.81497745e-06  2.51013540e-06  1.00000000e+02], [5.6663291454315186]
[-4.81541398e-06  2.51089218e-06  1.00000000e+02], [5.788448333740234]
[-4.81573629e-06  2.51145095e-06  1.00000000e+02], [5.908350944519043]
[-4.81597427e-06  2.51186353e-06  1.00000000e+02], [6.043788194656372]
[-4.81614997e-06  2.51216812e-06  1.00000000e+02], [6.173283338546753]
[-4.81627968e-06  2.51239301e-06  1.00000000e+02], [6.292811632156372]
[-4.81637544e-06  2.51255902e-06  1.00000000e+02], [6.42108416557312]
[-4.81644611e-06  2.51268155e-06  1.00000000e+02], [6.540727853775024]
[-4.81649827e-06  2.51277199e-06  1.00000000e+02], [6.666934013366699]
[-4.81653678e-06  2.51283875e-06  1.00000000e+02], [6.794697046279907]
[-4.81656520e-06  2.51288801e-06  1.00000000e+02], [6.934257745742798]
[-4.81658616e-06  2.51292436e-06  1.00000000e+02], [7.063873291015625]
[-4.81660163e-06  2.51295117e-06  1.00000000e+02], [7.197703123092651]
[-4.81661304e-06  2.51297097e-06  1.00000000e+02], [7.323315143585205]
[-4.81662147e-06  2.51298557e-06  1.00000000e+02], [7.458821535110474]
[-4.81662767e-06  2.51299633e-06  1.00000000e+02], [7.578651428222656]
