[4.68804469e-310 4.68804470e-310 4.68804470e-310], [48.49675941467285]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [48.662880420684814]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [48.829134941101074]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [48.993563413619995]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [49.15895485877991]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [49.33512353897095]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [49.50035905838013]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [49.66515898704529]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [49.82988524436951]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [50.001856565475464]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [50.17002511024475]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [50.33596467971802]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [50.50387740135193]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [50.66868805885315]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [50.83418250083923]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [50.99876928329468]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [51.165791749954224]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [51.330870151519775]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [51.49668002128601]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [51.66201996803284]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [51.82894015312195]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [51.99548530578613]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [52.160791873931885]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [52.32586479187012]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [52.49156737327576]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [52.65587902069092]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [52.821089029312134]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [52.98566246032715]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [53.150805711746216]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [53.323153257369995]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [53.48889756202698]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [53.65431618690491]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [53.82139492034912]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [53.98684906959534]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [54.15220403671265]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [54.31965708732605]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [54.48529076576233]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [54.650344371795654]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [54.81769847869873]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [54.982704401016235]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [55.14941358566284]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [55.31535530090332]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [55.481749534606934]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [55.64706516265869]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [55.81318187713623]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [55.97912120819092]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [56.14547300338745]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [56.32159399986267]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [56.48834848403931]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [56.6547794342041]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [56.82134008407593]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [56.986684799194336]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [57.150869607925415]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [57.31776309013367]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [57.48435616493225]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [57.648154973983765]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [57.813923358917236]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [57.979350090026855]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [58.144391775131226]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [58.31114172935486]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [58.47797989845276]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [58.64250421524048]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [58.80838918685913]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [58.97398114204407]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [59.137707233428955]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [59.30200505256653]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [59.466331481933594]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [59.63086247444153]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [59.79598379135132]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [59.960933208465576]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [60.12803339958191]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [60.29319167137146]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [60.45875668525696]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [60.62399625778198]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [60.78913903236389]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [60.95371747016907]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [61.119460344314575]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [61.28275489807129]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [61.44783043861389]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [61.611695528030396]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [61.77539849281311]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [61.9405632019043]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [62.105470418930054]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [62.26848816871643]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [62.434550285339355]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [62.59954643249512]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [62.76359295845032]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [62.930113077163696]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [63.09517478942871]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [63.26064443588257]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [63.42731857299805]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [63.59249687194824]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [63.757408142089844]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [63.92322850227356]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [64.08860969543457]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [64.2541332244873]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [64.4211072921753]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [64.58628606796265]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [64.75247502326965]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [64.9188494682312]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [65.0855233669281]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [65.25028920173645]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [65.41688370704651]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [65.58241772651672]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [65.74713230133057]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [65.91260766983032]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [66.0779447555542]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [66.24398231506348]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [66.41034889221191]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [66.57333970069885]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [66.73836517333984]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [66.90369701385498]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [67.06888461112976]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [67.23451352119446]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [67.3998441696167]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [67.56383895874023]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [67.72862601280212]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [67.89314389228821]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [68.05684208869934]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [68.22251772880554]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [68.38720679283142]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [68.55221033096313]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [68.71788191795349]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [68.88251066207886]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [69.0477077960968]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [69.21282029151917]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [69.37829041481018]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [69.54340529441833]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [69.70856618881226]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [69.87376737594604]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [70.04035496711731]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [70.20679378509521]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [70.37107229232788]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [70.53612232208252]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [70.70123720169067]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [70.86893558502197]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [71.03478050231934]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [71.20160269737244]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [71.36650967597961]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [71.53102779388428]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [71.69828152656555]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [71.86269354820251]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [72.02840304374695]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [72.19308185577393]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [72.37084865570068]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [72.54922223091125]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [72.71960926055908]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [72.88501119613647]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [73.0512444972992]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [73.21765184402466]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [73.38518452644348]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [73.54964470863342]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [73.7173924446106]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [73.8823573589325]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [74.05038785934448]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [74.21942090988159]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [74.38447880744934]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [74.54997825622559]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [74.72583818435669]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [74.89238786697388]
[4.68804469e-310 4.68804470e-310 4.68804470e-310], [75.05723834037781]
