[ 0.0 0.0 0.0],[ 184.25148006966492 184.25148006966467 184.25148006966478], [31.16813611984253]
[ 7.900999690511772e-06 0.0 3.423177128304511e-06],[ 184.25148006966492 184.25148006966467 184.25148006966478], [31.791333436965942]
[ 0.0 0.0 1.603270826252954e-07],[ 184.251486298584 184.25148208607993 184.25148391118438], [31.902626037597656]
[ 9.907534522101625e-07 0.0 4.0616549163967165e-07],[ 184.25148523667423 184.25148123493287 184.2514830542025], [32.013211727142334]
[ 1.5299550470367196e-06 0.0 6.792824672803067e-07],[ 184.2514848558419 184.25148105754397 184.25148277208348], [32.12438702583313]
[ 1.491732632782021e-06 0.0 6.716881474157443e-07],[ 184.25148495397963 184.25148112816277 184.25148284914678], [32.23569846153259]
[ 1.484518203320339e-06 0.0 6.667822316163417e-07],[ 184.25148501057689 184.25148116689783 184.25148289539615], [32.34738826751709]
[ 1.4837452075201719e-06 0.0 6.662150523672242e-07],[ 184.2514850478653 184.25148119238105 184.25148292551856], [32.45836281776428]
[ 1.4835282745233799e-06 0.0 6.660887195342018e-07],[ 184.2514850752195 184.25148121109365 184.2514829475559], [32.56887149810791]
[ 1.4833726800352587e-06 0.0 6.659985238392017e-07],[ 184.25148509557377 184.2514812250188 184.25148296394627], [32.68148159980774]
[ 1.4832548042093148e-06 0.0 6.659293292233529e-07],[ 184.25148511072751 184.2514812353848 184.2514829761427], [32.793232440948486]
[ 1.4831668494226461e-06 0.0 6.658776613314239e-07],[ 184.25148512200778 184.2514812431003 184.25148298521762], [32.90421748161316]
[ 1.4831013558897168e-06 0.0 6.6583924263498e-07],[ 184.25148513040384 184.251481248842 184.25148299196792], [33.01494908332825]
[ 1.483052650198193e-06 0.0 6.658106675879794e-07],[ 184.25148513665346 184.25148125311657 184.25148299699134], [33.1258327960968]
[ 1.4830163577949474e-06 0.0 6.657894637750976e-07],[ 184.25148514130467 184.2514812562966 184.25148300072817], [33.237205505371094]
[ 1.4829894016090243e-06 0.0 6.657736872596893e-07],[ 184.25148514476746 184.25148125866423 184.25148300350955], [33.34815001487732]
[ 1.4829692841592896e-06 0.0 6.657619347291025e-07],[ 184.25148514734525 184.25148126042632 184.25148300557754], [33.45906448364258]
[ 1.4829543511623416e-06 0.0 6.657532386076526e-07],[ 184.25148514926366 184.25148126173744 184.25148300711604], [33.56997609138489]
[ 1.4829432714343752e-06 0.0 6.657467707699865e-07],[ 184.25148515069193 184.2514812627131 184.25148300826115], [33.68184185028076]
[ 1.482934925472407e-06 0.0 6.657419452422373e-07],[ 184.2514851517545 184.2514812634399 184.25148300911337], [33.792473793029785]
[ 1.4829287973483825e-06 0.0 6.657383719973383e-07],[ 184.2514851525462 184.2514812639809 184.2514830097464], [33.90348768234253]
[ 1.482924223582032e-06 0.0 6.657357200044376e-07],[ 184.25148515313478 184.25148126438268 184.25148301021864], [34.01467800140381]
[ 1.4829208013365247e-06 0.0 6.657337320508975e-07],[ 184.25148515357316 184.2514812646816 184.25148301056888], [34.12561559677124]
[ 1.4829182629938752e-06 0.0 6.657322692648449e-07],[ 184.25148515390052 184.25148126490504 184.25148301082973], [34.23696994781494]
[ 1.4829163743639405e-06 0.0 6.657311732410301e-07],[ 184.2514851541431 184.25148126506957 184.2514830110243], [34.348016023635864]
[ 1.4829149417164075e-06 0.0 6.657303489320255e-07],[ 184.25148515432394 184.25148126519468 184.25148301116778], [34.4587664604187]
[ 1.4829139383583214e-06 0.0 6.657297653645211e-07],[ 184.25148515445818 184.2514812652859 184.2514830112761], [34.56887698173523]
[ 1.4829131334003754e-06 0.0 6.657293020038784e-07],[ 184.2514851545594 184.2514812653542 184.2514830113558], [34.67983555793762]
[ 1.4829125352365353e-06 0.0 6.657289695771046e-07],[ 184.25148515463303 184.25148126540495 184.25148301141525], [34.790570974349976]
[ 1.4829121517150614e-06 0.0 6.657287407682628e-07],[ 184.25148515468908 184.25148126544303 184.25148301145936], [34.9024224281311]
[ 1.4829117954486136e-06 0.0 6.657285236613819e-07],[ 184.25148515473074 184.2514812654719 184.25148301149298], [35.014899015426636]
[ 1.482911557543392e-06 0.0 6.657284046601927e-07],[ 184.25148515476167 184.25148126549198 184.2514830115168], [35.12559413909912]
[ 1.4829113995615316e-06 0.0 6.657283002308185e-07],[ 184.25148515478332 184.25148126550792 184.25148301153578], [35.23714089393616]
[ 1.4829112663152117e-06 0.0 6.65728254050194e-07],[ 184.25148515480035 184.25148126551977 184.2514830115492], [35.34869718551636]
[ 1.4829111548528036e-06 0.0 6.657281548688764e-07],[ 184.25148515481297 184.25148126552824 184.25148301155846], [35.46039175987244]
[ 1.4829110705880197e-06 0.0 6.657281283987734e-07],[ 184.25148515482317 184.25148126553444 184.25148301156648], [35.57157897949219]
