[2.22044605e-14 0.00000000e+00 1.00000000e+02], [1.140458106994629]
[-4.58824089e-06  2.13392441e-06  1.00000001e+02], [2.1844472885131836]
[-5.42879075e-06  2.61685993e-06  1.00000002e+02], [2.323364496231079]
[-5.28418892e-06  2.61336539e-06  1.00000001e+02], [2.456538438796997]
[-4.87463345e-06  2.45519505e-06  1.00000001e+02], [2.585327386856079]
[-4.73769054e-06  2.37737912e-06  1.00000001e+02], [2.7191948890686035]
[-4.75211039e-06  2.40169861e-06  1.00000001e+02], [2.854574203491211]
[-4.77044746e-06  2.43294860e-06  1.00000001e+02], [2.9889719486236572]
[-4.78301190e-06  2.45473277e-06  1.00000001e+02], [3.1171209812164307]
[-4.79198632e-06  2.47029008e-06  1.00000001e+02], [3.2497191429138184]
[-4.79859634e-06  2.48174865e-06  1.00000000e+02], [3.381605863571167]
[-4.80348278e-06  2.49021958e-06  1.00000000e+02], [3.5308592319488525]
[-4.80709181e-06  2.49647614e-06  1.00000000e+02], [3.6677184104919434]
[-4.80975640e-06  2.50109545e-06  1.00000000e+02], [3.7987263202667236]
[-4.81172358e-06  2.50450577e-06  1.00000000e+02], [3.9382212162017822]
[-4.81317578e-06  2.50702334e-06  1.00000000e+02], [4.090433597564697]
[-4.81424778e-06  2.50888179e-06  1.00000000e+02], [4.225590705871582]
[-4.81503905e-06  2.51025359e-06  1.00000000e+02], [4.365280866622925]
[-4.81562308e-06  2.51126612e-06  1.00000000e+02], [4.51931095123291]
[-4.81605409e-06  2.51201335e-06  1.00000000e+02], [4.650806188583374]
[-4.81637218e-06  2.51256482e-06  1.00000000e+02], [4.780607461929321]
[-4.81660690e-06  2.51297175e-06  1.00000000e+02], [4.901507616043091]
[-4.81678008e-06  2.51327200e-06  1.00000000e+02], [5.033125877380371]
[-4.81690787e-06  2.51349356e-06  1.00000000e+02], [5.16864538192749]
[-4.81700213e-06  2.51365699e-06  1.00000000e+02], [5.309959411621094]
[-4.81707167e-06  2.51377755e-06  1.00000000e+02], [5.442305088043213]
[-4.81712296e-06  2.51386649e-06  1.00000000e+02], [5.577336072921753]
[-4.81716079e-06  2.51393208e-06  1.00000000e+02], [5.710340261459351]
[-4.81718869e-06  2.51398045e-06  1.00000000e+02], [5.842522621154785]
[-4.81720928e-06  2.51401615e-06  1.00000000e+02], [5.973597288131714]
[-4.81722444e-06  2.51404243e-06  1.00000000e+02], [6.110166788101196]
[-4.81723562e-06  2.51406183e-06  1.00000000e+02], [6.244207859039307]
[-4.81724387e-06  2.51407613e-06  1.00000000e+02], [6.383033275604248]
[-4.81724995e-06  2.51408667e-06  1.00000000e+02], [6.508082389831543]
[-4.81725444e-06  2.51409445e-06  1.00000000e+02], [6.6409361362457275]
[-4.81725773e-06  2.51410015e-06  1.00000000e+02], [6.77072811126709]
[-4.81726016e-06  2.51410437e-06  1.00000000e+02], [6.901929140090942]
[-4.81726196e-06  2.51410749e-06  1.00000000e+02], [7.033891439437866]
[-4.81726328e-06  2.51410978e-06  1.00000000e+02], [7.165661573410034]
[-4.81726424e-06  2.51411145e-06  1.00000000e+02], [7.2964441776275635]
