[4.65323677e-310 4.65323612e-310 1.58101007e-322], [1.1328628063201904]
[0.0e+000 0.0e+000 1.6e-322], [2.090156078338623]
[0.0e+000 0.0e+000 1.6e-322], [2.2250328063964844]
[0.0e+000 0.0e+000 1.6e-322], [2.3646137714385986]
[0.0e+000 0.0e+000 1.6e-322], [2.488720178604126]
[0.0e+000 0.0e+000 1.6e-322], [2.605501651763916]
[0.0e+000 0.0e+000 1.6e-322], [2.7246158123016357]
[0.0e+000 0.0e+000 1.6e-322], [2.839972972869873]
[0.0e+000 0.0e+000 1.6e-322], [2.957552909851074]
[0.0e+000 0.0e+000 1.6e-322], [3.0879557132720947]
[0.0e+000 0.0e+000 1.6e-322], [3.220698595046997]
[0.0e+000 0.0e+000 1.6e-322], [3.3465733528137207]
[0.0e+000 0.0e+000 1.6e-322], [3.4753825664520264]
[0.0e+000 0.0e+000 1.6e-322], [3.5973904132843018]
