[0. 0. 0.], [4.447152853012085]
[ 0.  0. 58.], [5.710458278656006]
[ 0.  0. 58.], [5.831994295120239]
[ 0.  0. 58.], [5.959710597991943]
[-1.0e-02  0.0e+00  5.8e+01], [6.087931394577026]
[-1.0e-02  0.0e+00  5.8e+01], [6.210375785827637]
[-1.0e-02  0.0e+00  5.8e+01], [6.324588298797607]
[-1.0e-02  0.0e+00  5.8e+01], [6.445162534713745]
[-1.0e-02  0.0e+00  5.8e+01], [6.56014084815979]
[ 0.  0. 58.], [6.673758506774902]
[-1.0e-02  0.0e+00  5.8e+01], [6.790858745574951]
[ 0.  0. 58.], [6.905993223190308]
[ 0.  0. 58.], [7.022051572799683]
[ 0.  0. 58.], [7.135510444641113]
[ 0.  0. 58.], [7.248331308364868]
[-1.0e-02 -1.0e-02  5.8e+01], [7.364048004150391]
[ 0.  0. 58.], [7.478852272033691]
[-1.0e-02  0.0e+00  5.8e+01], [7.591818809509277]
[ 0.  0. 58.], [7.707134008407593]
[ 0.  0. 58.], [7.821634292602539]
[-1.0e-02  0.0e+00  5.8e+01], [7.936688184738159]
[ 0.  0. 58.], [8.05216646194458]
[-1.0e-02  0.0e+00  5.8e+01], [8.165069103240967]
[-1.0e-02 -1.0e-02  5.8e+01], [8.27864933013916]
[ 0.  0. 58.], [8.391892671585083]
[-1.0e-02  0.0e+00  5.8e+01], [8.506406545639038]
[-1.0e-02  0.0e+00  5.8e+01], [8.619670391082764]
[-1.0e-02  0.0e+00  5.8e+01], [8.73324704170227]
[-1.0e-02  0.0e+00  5.8e+01], [8.846059322357178]
[ 0.  0. 58.], [8.96091365814209]
[ 0.  0. 58.], [9.074334859848022]
[ 0.  0. 58.], [9.188189029693604]
[ 0.  0. 58.], [9.302043199539185]
[-1.0e-02  0.0e+00  5.8e+01], [9.415104866027832]
[ 0.  0. 58.], [9.530055046081543]
[-1.0e-02  0.0e+00  5.8e+01], [9.643314838409424]
[ 0.  0. 58.], [9.762909889221191]
[ 0.  0. 58.], [9.883253335952759]
[ 0.  0. 58.], [10.022014856338501]
[-1.0e-02  0.0e+00  5.8e+01], [10.139564752578735]
[ 0.  0. 58.], [10.258474826812744]
[ 0.  0. 58.], [10.378130435943604]
[ 0.  0. 58.], [10.499066829681396]
[ 0.  0. 58.], [10.612171411514282]
[ 0.  0. 58.], [10.726734161376953]
[ 0.  0. 58.], [10.84184193611145]
[ 0.  0. 58.], [10.964961528778076]
[ 0.  0. 58.], [11.137758255004883]
[ 0.  0. 58.], [11.287243843078613]
[ 0.  0. 58.], [11.430233478546143]
[ 0.  0. 58.], [11.54977798461914]
[-1.0e-02  0.0e+00  5.8e+01], [11.673250913619995]
[ 0.  0. 58.], [11.791983604431152]
[-1.0e-02  0.0e+00  5.8e+01], [11.912896871566772]
[ 0.  0. 58.], [12.029359817504883]
[-1.0e-02  0.0e+00  5.8e+01], [12.141839981079102]
[ 0.  0. 58.], [12.265485763549805]
[0.0e+00 1.0e-02 5.8e+01], [12.393042802810669]
[-1.0e-02  0.0e+00  5.8e+01], [12.533828258514404]
[ 0.  0. 58.], [12.674951791763306]
