[0. 0. 0.], [30.424046993255615]
[ 0.000e+00 -1.000e-02  5.501e+01], [31.02901268005371]
[ 1.000e-02 -1.000e-02  5.501e+01], [31.113425254821777]
[ 2.000e-02 -1.000e-02  5.502e+01], [31.195644855499268]
[ 2.000e-02 -2.000e-02  5.501e+01], [31.27837347984314]
[ 1.000e-02 -1.000e-02  5.501e+01], [31.36155390739441]
[ 1.000e-02 -1.000e-02  5.501e+01], [31.443629503250122]
[ 1.000e-02 -1.000e-02  5.501e+01], [31.533467531204224]
[ 0.000e+00 -1.000e-02  5.501e+01], [31.617461919784546]
[ 0.0e+00 -1.0e-02  5.5e+01], [31.700916290283203]
[3.000e-02 5.000e-02 5.503e+01], [31.7844340801239]
[ 0.36  0.25 55.12], [31.866881132125854]
[ 0.34  0.13 55.12], [31.95043396949768]
[ 3.80e-01 -4.00e-02  5.51e+01], [32.03381681442261]
[ 3.800e-01 -1.000e-02  5.511e+01], [32.11789870262146]
[4.000e-01 1.000e-02 5.512e+01], [32.20135855674744]
[ 4.300e-01 -2.000e-02  5.512e+01], [32.284756660461426]
[ 4.800e-01 -1.000e-02  5.515e+01], [32.37091374397278]
[ 0.65 -0.09 55.17], [32.45409178733826]
[ 0.67 -0.07 55.15], [32.537230491638184]
[ 0.88 -0.08 55.3 ], [32.61988139152527]
[ 0.88 -0.16 55.21], [32.70380449295044]
[ 0.96 -0.15 55.22], [32.78792405128479]
[ 1.14 -0.11 55.29], [32.871209383010864]
[ 1.23 -0.11 55.26], [32.954583168029785]
[ 1.280e+00 -2.000e-02  5.537e+01], [33.03892493247986]
[ 1.560e+00 -5.000e-02  5.538e+01], [33.12258577346802]
[ 1.62 -0.12 55.36], [33.20608973503113]
[ 1.650e+00 -5.000e-02  5.539e+01], [33.289392948150635]
[ 1.71 -0.09 55.39], [33.373356342315674]
[ 1.93 -0.11 55.46], [33.456275939941406]
[ 1.99 -0.1  55.45], [33.54092717170715]
[ 2.01 -0.09 55.45], [33.62536668777466]
[ 2.05 -0.11 55.45], [33.7149817943573]
[ 2.11 -0.11 55.45], [33.79755687713623]
[ 2.29 -0.11 55.5 ], [33.88052010536194]
[ 2.29 -0.09 55.48], [33.964637994766235]
[ 2.37 -0.1  55.51], [34.047725200653076]
[ 2.620e+00 -2.000e-02  5.569e+01], [34.131035804748535]
[ 2.79  0.07 55.61], [34.21460580825806]
[ 2.88  0.13 55.65], [34.29874086380005]
[2.890e+00 2.000e-02 5.559e+01], [34.38265943527222]
[ 2.96  0.   55.58], [34.46609401702881]
[ 3.02e+00 -3.00e-02  5.56e+01], [34.54965806007385]
[3.440e+00 2.000e-02 5.561e+01], [34.63219428062439]
[ 3.52  0.   55.68], [34.71470618247986]
[ 3.64  0.   55.71], [34.79845452308655]
[ 3.88  0.07 55.61], [34.882089376449585]
[ 4.190e+00 -2.000e-02  5.579e+01], [34.966129779815674]
[ 4.340e+00 -1.000e-02  5.576e+01], [35.04982566833496]
[ 4.58 -0.11 55.84], [35.133028745651245]
[ 5.06  0.1  55.84], [35.216402530670166]
[ 5.2  -0.06 55.76], [35.300232887268066]
[ 5.25  0.18 55.86], [35.38336229324341]
[ 5.    0.48 55.87], [35.465882778167725]
[ 4.99  0.43 55.75], [35.549641847610474]
[ 5.03  0.34 55.71], [35.63332200050354]
[ 5.05  0.5  55.75], [35.71654200553894]
[ 5.08  0.63 55.73], [35.800785541534424]
[ 5.05  0.81 55.72], [35.88452506065369]
[ 5.04  0.87 55.71], [35.96991682052612]
[ 5.07  0.97 55.69], [36.05973744392395]
[ 5.1   1.09 55.7 ], [36.14978790283203]
[ 5.13  1.25 55.67], [36.23367166519165]
[ 5.11  1.39 55.69], [36.317317962646484]
[ 5.1   1.47 55.68], [36.39973521232605]
[ 5.32  1.99 55.59], [36.48340630531311]
[ 5.4   1.92 55.66], [36.56678891181946]
[ 5.4   2.06 55.66], [36.650383710861206]
[ 5.42  2.13 55.69], [36.73409962654114]
[ 5.45  2.16 55.67], [36.817445278167725]
[ 5.45  2.22 55.67], [36.90192437171936]
[ 5.5   2.23 55.67], [36.986122608184814]
[ 5.76  2.72 55.67], [37.069390296936035]
[ 5.74  2.83 55.67], [37.15327858924866]
[ 5.75  2.84 55.64], [37.23823380470276]
[ 5.75  2.87 55.63], [37.322705030441284]
[ 5.74  2.92 55.62], [37.40678644180298]
[ 5.76  2.95 55.6 ], [37.49043083190918]
[ 5.78  3.01 55.6 ], [37.57417178153992]
[ 5.92  3.37 55.42], [37.65791606903076]
[ 6.    3.34 55.56], [37.742424964904785]
[ 5.98  3.52 55.56], [37.82667565345764]
[ 6.    3.53 55.55], [37.910160303115845]
[ 6.04  3.59 55.55], [37.99331521987915]
[ 6.25  4.13 55.44], [38.07723879814148]
[ 6.25  4.05 55.44], [38.16086006164551]
[ 6.25  4.15 55.46], [38.24509572982788]
[ 6.23  4.2  55.43], [38.32917928695679]
[ 6.22  4.26 55.41], [38.41231393814087]
[ 6.22  4.65 55.19], [38.49575233459473]
[ 6.31  4.72 55.29], [38.57976198196411]
[ 6.32  4.81 55.34], [38.6634247303009]
[ 6.33  5.17 55.06], [38.746572732925415]
[ 6.45  5.23 55.23], [38.830289363861084]
[ 6.44  5.46 55.23], [38.91338062286377]
[ 6.46  5.69 55.08], [38.99668622016907]
[ 6.51  5.8  55.16], [39.08045053482056]
[ 6.5   5.97 55.08], [39.164398193359375]
[ 6.63  6.29 55.11], [39.24993276596069]
[ 6.63  6.32 55.02], [39.335219621658325]
[ 6.62  6.35 55.01], [39.41737151145935]
[ 6.82  7.02 54.84], [39.500898599624634]
[ 6.67  7.13 54.93], [39.58439564704895]
[ 6.45  6.71 54.88], [39.66829180717468]
[ 6.32  6.84 54.9 ], [39.75283432006836]
[ 6.31  6.79 54.92], [39.83551740646362]
[ 6.14  6.68 54.96], [39.91878366470337]
[ 6.08  6.66 55.02], [40.00189471244812]
[ 5.87  6.57 54.97], [40.084450006484985]
[ 5.87  6.57 54.98], [40.16764831542969]
[ 5.82  6.6  54.97], [40.25172996520996]
[ 5.63  6.62 55.01], [40.335132360458374]
[ 5.58  6.6  54.95], [40.41814970970154]
[ 5.59  6.59 54.98], [40.50163149833679]
[ 5.55  6.58 54.98], [40.58447575569153]
[ 5.48  6.6  54.97], [40.667879581451416]
[ 5.37  6.62 54.95], [40.75069761276245]
[ 5.19  6.52 54.95], [40.83323049545288]
[ 5.22  6.49 54.96], [40.91651010513306]
[ 5.18  6.53 55.01], [41.00011968612671]
[ 5.05  6.38 55.02], [41.084288358688354]
[ 5.    6.33 54.93], [41.168269634246826]
[ 4.57  6.66 54.98], [41.25192379951477]
[ 4.47  6.59 54.96], [41.335357666015625]
[ 4.48  6.57 54.95], [41.41833305358887]
[ 4.45  6.59 54.95], [41.50138854980469]
[ 4.37  6.47 54.94], [41.590794801712036]
[ 4.35  6.5  54.97], [41.67396950721741]
[ 4.3   6.45 54.97], [41.75781297683716]
[ 4.22  6.29 55.07], [41.84131121635437]
[ 4.17  6.27 54.99], [41.924100399017334]
[ 4.17  6.27 55.01], [42.00787878036499]
[ 4.16  6.25 55.01], [42.09141755104065]
[ 4.13  6.25 55.02], [42.174620628356934]
[ 4.12  6.25 55.02], [42.25799322128296]
[ 4.11  6.24 55.01], [42.34205865859985]
[ 4.1   6.22 55.02], [42.425068378448486]
[ 4.09  6.2  55.01], [42.5077702999115]
[ 4.08  6.2  55.02], [42.59131598472595]
[ 4.08  6.19 55.01], [42.675374031066895]
[ 4.08  6.19 55.01], [42.75860857963562]
[ 4.06  6.18 55.02], [42.842079162597656]
[ 4.03  6.14 55.03], [42.92469525337219]
[ 4.    6.1  55.05], [43.008395195007324]
[ 3.97  6.05 55.05], [43.09290289878845]
[ 3.96  6.03 55.04], [43.17544865608215]
[ 3.96  6.02 55.03], [43.25917077064514]
[ 3.94  6.01 55.05], [43.34227633476257]
[ 3.91  5.97 55.06], [43.425415992736816]
[ 3.88  5.93 55.08], [43.509167432785034]
[ 3.85  5.87 55.08], [43.592724084854126]
[ 3.84  5.86 55.08], [43.67618203163147]
[ 3.83  5.85 55.08], [43.760037899017334]
[ 3.82  5.84 55.08], [43.84387278556824]
[ 3.8   5.84 55.08], [43.92663097381592]
[ 3.76  5.81 55.08], [44.00996685028076]
[ 3.72  5.74 55.08], [44.09327578544617]
[ 3.71  5.69 55.08], [44.17701697349548]
[ 3.71  5.67 55.08], [44.26037907600403]
[ 3.7   5.67 55.08], [44.34557390213013]
[ 3.71  5.66 55.09], [44.42903399467468]
[ 3.69  5.65 55.1 ], [44.512131452560425]
[ 3.38  5.69 55.06], [44.595404386520386]
[ 3.28  5.76 55.13], [44.678510665893555]
[ 3.29  5.74 55.19], [44.76201677322388]
[ 3.3   5.73 55.17], [44.84543704986572]
[ 3.3   5.72 55.18], [44.928645849227905]
[ 3.3   5.71 55.18], [45.0113582611084]
[ 3.28  5.72 55.18], [45.09405040740967]
[ 3.26  5.73 55.17], [45.17821002006531]
[ 3.27  5.73 55.18], [45.260968923568726]
