[0. 0. 0.], [0.9603006839752197]
[ 0.  0. 58.], [2.4279820919036865]
[ 0.  0. 58.], [2.5744986534118652]
[ 0.  0. 58.], [2.7181763648986816]
[0.0e+00 1.0e-02 5.8e+01], [2.85849666595459]
[0.0e+00 1.0e-02 5.8e+01], [2.9886438846588135]
[3.000e-02 7.000e-02 5.801e+01], [3.1237661838531494]
[ 0.4   0.66 58.08], [3.2628161907196045]
[ 1.02  0.57 58.22], [3.4046034812927246]
[1.680e+00 1.000e-02 5.837e+01], [3.5471208095550537]
[ 1.9   0.22 58.41], [3.693815231323242]
[ 2.18  0.43 58.46], [3.834212303161621]
[ 2.6   0.39 58.53], [3.9738032817840576]
[ 3.17  0.25 58.63], [4.111941814422607]
[ 3.76  0.06 58.72], [4.244511842727661]
[4.42e+00 4.00e-02 5.88e+01], [4.374509334564209]
[5.020e+00 3.000e-02 5.887e+01], [4.519680976867676]
[ 5.7   0.17 58.92], [4.654447793960571]
[ 6.49  0.3  58.97], [4.797519683837891]
[ 7.37  0.29 59.02], [4.938343524932861]
[8.490e+00 5.000e-02 5.905e+01], [5.076794385910034]
[ 9.62 -0.23 59.03], [5.217874526977539]
[10.8  -0.37 58.97], [5.365977048873901]
[11.47 -0.11 58.92], [5.496531248092651]
[12.48  0.15 58.82], [5.625424146652222]
[13.45  0.18 58.69], [5.751056432723999]
[1.450e+01 3.000e-02 5.852e+01], [5.8816444873809814]
[15.51 -0.12 58.33], [6.017423629760742]
[16.33 -0.2  58.15], [6.152485370635986]
[ 1.707e+01 -5.000e-02  5.797e+01], [6.2811598777771]
[ 1.780e+01 -1.000e-02  5.778e+01], [6.418931722640991]
[18.22 -0.06 57.65], [6.554995775222778]
[18.7   0.26 57.51], [6.687804222106934]
[19.01  0.26 57.41], [6.818362712860107]
[19.41  0.25 57.28], [6.954736232757568]
[1.972e+01 4.000e-02 5.718e+01], [7.0846052169799805]
[ 2.021e+01 -2.000e-02  5.701e+01], [7.219781160354614]
[20.83  0.11 56.78], [7.3507914543151855]
[2.119e+01 2.000e-02 5.664e+01], [7.477057218551636]
[21.74  0.11 56.42], [7.620775461196899]
[22.38  0.06 56.15], [7.762762069702148]
[23.03  0.07 55.86], [7.915407419204712]
[ 2.369e+01 -3.000e-02  5.555e+01], [8.050641059875488]
[24.44 -0.1  55.18], [8.180865287780762]
[25.06 -0.12 54.86], [8.319421529769897]
[25.82 -0.08 54.44], [8.461165428161621]
[26.52 -0.18 54.03], [8.589118480682373]
[27.32 -0.11 53.55], [8.723801851272583]
[27.9  -0.21 53.16], [8.855456352233887]
[28.29 -0.12 52.92], [8.985548496246338]
[28.76  0.17 52.61], [9.125179767608643]
[29.34  0.45 52.22], [9.263022661209106]
[30.84  1.03 51.1 ], [9.400563478469849]
[32.83  0.94 49.59], [9.528656482696533]
[ 3.491e+01 -3.000e-02  4.800e+01], [9.658257484436035]
[36.73 -0.16 46.32], [9.79591989517212]
[36.88  0.75 46.57], [9.923990488052368]
[36.56  1.89 47.59], [10.058849811553955]
[36.06  3.61 48.83], [10.186931610107422]
[35.24  6.02 50.45], [10.3135507106781]
[33.99  6.96 52.61], [10.440942764282227]
[32.77  6.78 54.89], [10.574506759643555]
[31.32  5.28 57.32], [10.704320669174194]
[28.24  4.34 60.51], [10.831895112991333]
[25.93  1.93 62.76], [10.976406574249268]
[24.27 -1.81 64.11], [11.118813276290894]
[23.7  -4.88 64.45], [11.261746883392334]
[22.24 -6.04 65.03], [11.406277418136597]
[19.96 -2.66 66.17], [11.554439544677734]
[23.7   2.51 63.86], [11.698701620101929]
[24.31  8.79 62.31], [11.828107357025146]
[24.26 16.24 59.57], [11.96027660369873]
[24.84 19.64 57.  ], [12.08940577507019]
[24.57 20.21 56.32], [12.221577882766724]
[23.93 18.32 57.18], [12.353265285491943]
[22.67 15.4  58.77], [12.481075525283813]
[20.99 11.92 60.41], [12.614123821258545]
[21.72  7.29 61.12], [12.748098850250244]
[23.43  0.65 60.89], [12.878223180770874]
[23.81 -2.55 60.55], [13.009397268295288]
[23.02 -3.25 60.77], [13.137298345565796]
[22.04 -1.77 61.21], [13.274412870407104]
[21.33  1.08 61.4 ], [13.415072202682495]
[21.88  5.96 60.52], [13.560103416442871]
[22.02 10.13 59.57], [13.70354151725769]
[21.55 12.94 58.84], [13.843320608139038]
[20.49 15.6  58.13], [13.977722644805908]
[20.55 16.57 57.59], [14.110292673110962]
[19.83 16.29 57.85], [14.24769639968872]
[19.51 15.6  58.11], [14.39942979812622]
[19.28 15.09 58.27], [14.540281534194946]
[19.08 14.17 58.57], [14.675018548965454]
[20.27 12.07 58.8 ], [14.807269811630249]
[21.63  9.45 58.94], [14.930921792984009]
[22.01  9.4  58.71], [15.0616614818573]
[21.84  9.12 58.76], [15.197643518447876]
[22.24  9.6  58.44], [15.332706451416016]
[22.08  9.97 58.38], [15.466987609863281]
[21.9  11.27 58.08], [15.594925165176392]
[21.78 11.66 57.97], [15.72464394569397]
[21.44 13.19 57.61], [15.857483625411987]
[21.   13.74 57.66], [15.98515009880066]
[20.14 13.98 58.05], [16.123918294906616]
[19.92 15.   57.78], [16.25548553466797]
[19.61 15.02 57.93], [16.398290395736694]
[19.82 15.57 57.66], [16.527592658996582]
[19.67 15.62 57.69], [16.65414524078369]
[19.23 15.76 57.86], [16.784770250320435]
[19.18 15.93 57.81], [16.90866208076477]
[19.12 16.03 57.8 ], [17.036751985549927]
[19.1  16.14 57.76], [17.165769338607788]
[19.11 16.13 57.77], [17.301126956939697]
[19.49 16.01 57.71], [17.451133966445923]
[19.94 15.61 57.74], [17.58144187927246]
[20.1  15.   57.92], [17.712314128875732]
[20.01 15.4  57.87], [17.838048458099365]
[19.65 15.81 57.84], [17.979175329208374]
[19.39 16.22 57.81], [18.121161460876465]
[18.53 17.   57.88], [18.26233673095703]
[18.31 17.61 57.7 ], [18.406834602355957]
[17.87 17.62 57.88], [18.547043800354004]
[17.52 18.33 57.69], [18.690030813217163]
[17.17 18.55 57.75], [18.830960988998413]
[17.13 18.82 57.65], [18.96166157722473]
[16.98 18.86 57.68], [19.08497977256775]
[16.51 18.99 57.81], [19.217333793640137]
[16.4  19.13 57.79], [19.36222267150879]
[16.28 19.19 57.8 ], [19.499223709106445]
[16.33 19.62 57.6 ], [19.649749040603638]
[15.95 19.71 57.7 ], [19.788734674453735]
[15.87 19.86 57.66], [19.93404531478882]
[15.82 19.9  57.66], [20.07636046409607]
[15.87 19.91 57.67], [20.220707893371582]
[16.   19.6  57.82], [20.3505220413208]
[15.91 19.57 57.95], [20.48595929145813]
[15.93 19.55 57.96], [20.63304853439331]
[16.02 19.9  57.79], [20.778209924697876]
[15.42 20.22 57.84], [20.92187213897705]
[14.49 20.7  57.87], [21.067549467086792]
[14.37 20.85 57.81], [21.20261001586914]
[13.62 21.25 57.82], [21.343514442443848]
[12.99 21.42 57.92], [21.47390627861023]
[12.88 21.58 57.87], [21.612005949020386]
[12.58 21.69 57.9 ], [21.743070602416992]
[12.41 22.02 57.78], [21.87313985824585]
[12.32 22.18 57.73], [21.999274015426636]
[12.18 22.15 57.76], [22.134202241897583]
[12.03 22.2  57.76], [22.263585090637207]
[11.91 22.17 57.8 ], [22.410377264022827]
[11.97 22.55 57.6 ], [22.54293417930603]
[11.86 22.6  57.59], [22.684662103652954]
[11.36 22.83 57.6 ], [22.815667390823364]
[11.27 22.86 57.61], [22.951601028442383]
[10.91 23.01 57.66], [23.080677032470703]
[10.82 22.92 57.75], [23.218588829040527]
[10.37 22.94 57.87], [23.35189127922058]
[10.35 22.87 57.95], [23.47900390625]
[ 9.96 22.89 58.04], [23.613776445388794]
[ 9.85 22.87 58.1 ], [23.7442786693573]
[ 9.9  23.33 57.84], [23.875590562820435]
[ 9.59 23.56 57.74], [24.011417865753174]
[ 9.02 23.76 57.73], [24.142260313034058]
[ 8.91 23.85 57.69], [24.279024124145508]
[ 8.19 24.11 57.63], [24.419485330581665]
[ 7.97 24.24 57.57], [24.560961484909058]
[ 7.35 24.43 57.56], [24.703161478042603]
[ 7.18 24.54 57.52], [24.84737777709961]
[ 6.52 24.7  57.53], [24.986022472381592]
[ 6.42 24.69 57.53], [25.129287242889404]
[ 6.44 24.82 57.48], [25.269837141036987]
[ 6.1  24.62 57.67], [25.416172742843628]
[ 6.1  24.51 57.79], [25.55880045890808]
[ 6.17 24.27 57.97], [25.699153423309326]
[ 6.43 24.56 57.84], [25.837942361831665]
[ 6.08 24.56 57.89], [25.978708028793335]
[ 5.89 24.65 57.87], [26.124708890914917]
[ 5.7  24.69 57.86], [26.26639151573181]
[ 5.56 24.8  57.81], [26.414806127548218]
[ 4.89 25.05 57.71], [26.55490779876709]
[ 4.8  25.13 57.66], [26.695007801055908]
[ 3.93 24.94 57.82], [26.83964514732361]
[ 3.07 25.12 57.73], [26.978952407836914]
[ 2.8  25.15 57.69], [27.112534999847412]
[ 2.09 25.3  57.61], [27.24725031852722]
[ 1.97 25.35 57.59], [27.383607864379883]
[ 1.67 25.41 57.55], [27.5296950340271]
[ 1.25 25.35 57.58], [27.671677112579346]
[ 1.46 25.7  57.42], [27.812835693359375]
[ 1.55 25.6  57.53], [27.954792022705078]
[ 1.78 25.45 57.69], [28.092713832855225]
[ 1.96 25.26 57.86], [28.232447147369385]
[ 2.04 25.11 58.  ], [28.37418508529663]
[ 1.92 25.13 57.99], [28.527145862579346]
[ 1.17 25.27 57.89], [28.655691623687744]
[ 1.09 25.35 57.85], [28.795202493667603]
[ 0.36 25.37 57.82], [28.926353216171265]
[-0.49 25.57 57.66], [29.057172298431396]
[-0.87 25.28 57.76], [29.192711353302002]
[-1.61 25.38 57.67], [29.332926511764526]
[-2.15 25.45 57.59], [29.470455646514893]
[-2.3  25.53 57.52], [29.596869468688965]
[-2.46 25.63 57.45], [29.72692036628723]
[-2.58 25.52 57.5 ], [29.85995864868164]
[-2.54 25.47 57.57], [29.99437403678894]
[-2.3  25.71 57.51], [30.12689208984375]
[-2.19 25.54 57.68], [30.258089065551758]
[-2.09 25.3  57.89], [30.393621921539307]
[-1.95 25.09 58.07], [30.517979860305786]
[-2.48 24.94 58.17], [30.65268063545227]
[-3.19 24.71 58.23], [30.781893014907837]
[-3.43 24.65 58.22], [30.91757869720459]
[-4.25 24.83 57.99], [31.04568886756897]
[-4.63 24.82 57.9 ], [31.186981678009033]
[-5.5  24.65 57.83], [31.31276822090149]
[-5.67 24.76 57.73], [31.441794872283936]
[-6.11 24.73 57.66], [31.58276915550232]
[-6.54 24.79 57.55], [31.726046800613403]
[-6.7  24.74 57.53], [31.872796535491943]
[-6.77 24.61 57.57], [32.00286674499512]
[-6.82 24.89 57.41], [32.13876223564148]
[-6.88 24.99 57.34], [32.272995948791504]
[-6.58 24.93 57.42], [32.403958797454834]
[-6.96 24.9  57.44], [32.53249263763428]
