[ 0.0 0.0 0.0],[ 185.35161512350328 185.35161512350302 185.3516151235028],[ 0.0 0.0 0.0],[ 185.35161512350336 185.35161512350288 185.35161512350288],, [32.60349202156067]
[ 1.028765115254617e-05 0.0 3.880632283071452e-06],[ 185.35161512350328 185.35161512350302 185.3516151235028],[ 4.790646608394877e-06 0.0 2.3266635384017496e-06],[ 185.35161512350336 185.35161512350288 185.35161512350288],, [33.80509829521179]
[ 0.0 1.2579133968713847 1.2608821631321792],[ 185.35161918029726 185.35161808475135 185.35161846595832],[ 0.0 0.632081227031848 0.6332182428801052],[ 185.35161755487323 185.351616139081 185.35161689524045],, [33.97087502479553]
[ 0.0 0.9026991257214502 0.9046038894926604],[ 185.87904163702606 186.00972567535234 186.01012662248615],[ 0.0 0.3038397654690088 0.30284591882998546],[ 185.54324101190832 185.73893191736212 185.73939323462392],, [34.13500928878784]
[ 0.0 0.5095350848214973 0.40306560002338077],[ 186.066891908456 186.3688676129676 186.36981268494114],[ 0.0 0.06323536805502633 0.020297189751318608],[ 185.58735848413437 185.8430522942754 185.8429309153674],, [34.300739765167236]
[ 0.0 0.4134518841742267 0.44221698054483083],[ 185.9716804668027 186.42913962272004 186.41852967133747],[ 0.0 0.08369055168943088 0.06840146454941315],[ 185.53773316032854 185.76505321779993 185.75290142632014],, [34.46769976615906]
[ 0.0 0.8396781129694664 0.8182230612819664],[ 185.86947894089778 186.45637740032413 186.44513565344604],[ 0.0 0.3907170047497244 0.33634683505492635],[ 185.50529181421294 185.72434493038259 185.70452655636393],, [34.63389444351196]
[ 0.0 0.8801584216307341 0.9192683829826234],[ 185.9537634214829 186.68981601833661 186.67615148572938],[ 0.0 0.4898191354332463 0.4074729011444562],[ 185.56011876935366 185.88106762851817 185.8428183553955],, [34.80179142951965]
[ 0.0 0.806524336222084 0.8457045723864324],[ 186.02478582850188 186.9152502341863 186.90784488942322],[ 0.0 0.5458732449958061 0.3912397674452647],[ 185.6172681817177 186.0688351115413 186.0002563524773],, [34.967241525650024]
[ 0.0 0.8376780856292186 0.9624486967168309],[ 186.02219244064742 187.05565052028598 187.05987504465077],[ 0.0 0.7336158068551542 0.4799784082121409],[ 185.65454805681455 186.24195324079855 186.11972275960005],, [35.1305034160614]
