[4.68803983e-310 4.68803192e-310 6.90598384e-310], [30.987043142318726]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [31.583895683288574]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [31.667072772979736]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [31.75113821029663]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [31.834689378738403]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [31.91818857192993]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.00328850746155]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.087371826171875]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.170528411865234]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.25553226470947]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.33880400657654]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.42300629615784]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.50588035583496]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.58915853500366]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.67182803153992]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.7552855014801]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.83957052230835]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [32.923819065093994]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.00707030296326]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.09017777442932]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.17437696456909]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.25810956954956]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.34259748458862]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.42576813697815]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.50895810127258]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.59323716163635]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.67793416976929]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.76113152503967]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.8438880443573]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [33.92586588859558]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.009891986846924]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.09324407577515]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.17671465873718]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.259347915649414]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.34401345252991]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.42803430557251]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.511674642562866]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.59541654586792]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.67934846878052]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.7629611492157]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.84621238708496]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [34.930444955825806]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.01411151885986]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.09866428375244]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.18249249458313]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.26597547531128]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.3503360748291]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.43445181846619]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.517630100250244]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.602221965789795]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.68577289581299]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.7702317237854]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.85550141334534]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [35.93906617164612]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.023139238357544]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.10690784454346]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.19055128097534]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.275259017944336]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.359562158584595]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.4448618888855]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.530041217803955]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.61488151550293]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.69936966896057]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.78310203552246]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.866881132125854]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [36.951818227767944]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.03659510612488]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.12101364135742]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.205517530441284]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.290151834487915]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.37455677986145]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.45987010002136]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.54429364204407]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.6296284198761]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.714269161224365]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.79946160316467]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.883774280548096]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [37.969067096710205]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.05241513252258]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.13744258880615]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.22200059890747]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.305989027023315]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.39493799209595]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.479487657547]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.564863443374634]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.65005159378052]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.73482894897461]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.820326805114746]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.90512132644653]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [38.99140453338623]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.076608657836914]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.161041259765625]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.246060848236084]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.33054542541504]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.41468572616577]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.498621225357056]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.58274006843567]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.666382789611816]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.75081491470337]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.835439920425415]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [39.9192476272583]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.003936767578125]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.088191986083984]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.17242693901062]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.25601816177368]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.34014868736267]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.42409896850586]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.50765514373779]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.59106135368347]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.67520546913147]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.75894904136658]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.843289852142334]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [40.927205324172974]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.01163578033447]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.09598898887634]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.18039083480835]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.26410889625549]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.347994327545166]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.432066440582275]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.51614332199097]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.600423097610474]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.68405747413635]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.76822209358215]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.85225296020508]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [41.93725633621216]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [42.02192306518555]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [42.106292486190796]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [42.19074559211731]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [42.274598121643066]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [42.35878825187683]
[8.48798317e-314 2.47032823e-323 4.68803877e-310], [42.442707538604736]
