[ 0.  0. 55.], [30.579808712005615]
[4.67604838e-310 4.67604834e-310 1.58101007e-322], [31.186763525009155]
[1.00000000e+000 0.00000000e+000 4.67604844e-310], [31.270975589752197]
[4.67604854e-310 4.67605047e-310 1.58101007e-322], [31.354398727416992]
[6.93164115e-310 2.12199579e-314 4.67605112e-310], [31.445011138916016]
[1.0000000e+000 0.0000000e+000 4.6760511e-310], [31.535378217697144]
[4.67604695e-310 4.67604721e-310 1.58101007e-322], [31.62045669555664]
[4.67604695e-310 4.67604824e-310 1.58101007e-322], [31.704476833343506]
[4.67605040e-310 4.67605248e-310 1.58101007e-322], [31.78877067565918]
[4.67605248e-310 4.67605319e-310 1.58101007e-322], [31.872462272644043]
[4.67605290e-310 4.67605319e-310 1.58101007e-322], [31.956385612487793]
[4.67605349e-310 4.67605333e-310 1.58101007e-322], [32.041358947753906]
[4.67605266e-310 4.67605289e-310 1.58101007e-322], [32.12583565711975]
[4.67605283e-310 4.67605415e-310 1.58101007e-322], [32.21052837371826]
[4.67605415e-310 4.67605349e-310 1.58101007e-322], [32.29476761817932]
[4.67605172e-310 4.67604936e-310 1.58101007e-322], [32.378904581069946]
[4.67604918e-310 4.67605260e-310 1.58101007e-322], [32.46278691291809]
[4.67604775e-310 4.67604922e-310 1.58101007e-322], [32.54725909233093]
[4.67605435e-310 4.67605437e-310 1.58101007e-322], [32.63222908973694]
[4.67605260e-310 4.67605435e-310 1.58101007e-322], [32.717849254608154]
[4.67605437e-310 4.67604832e-310 1.58101007e-322], [32.802141427993774]
[4.67604832e-310 4.67605486e-310 1.58101007e-322], [32.88639998435974]
[4.67605486e-310 4.67604832e-310 1.58101007e-322], [32.9703893661499]
[4.67605483e-310 4.67605238e-310 1.58101007e-322], [33.05335187911987]
[4.67605238e-310 4.67605266e-310 1.58101007e-322], [33.13790035247803]
[4.67605266e-310 4.67605238e-310 1.58101007e-322], [33.222241163253784]
[4.67605326e-310 4.67605002e-310 1.58101007e-322], [33.30548119544983]
[4.67605002e-310 4.67605313e-310 1.58101007e-322], [33.390371799468994]
[4.67605313e-310 4.67605002e-310 1.58101007e-322], [33.4744188785553]
[4.67605315e-310 4.67604838e-310 1.58101007e-322], [33.562459230422974]
[4.67604838e-310 4.67604802e-310 1.58101007e-322], [33.64762735366821]
[4.67604802e-310 4.67604838e-310 1.58101007e-322], [33.74013042449951]
[4.6760529e-310 4.6760526e-310 1.5810101e-322], [33.83136200904846]
[4.67605260e-310 4.67605435e-310 1.58101007e-322], [33.91504740715027]
[4.67605435e-310 4.67605260e-310 1.58101007e-322], [34.00043797492981]
[4.67604840e-310 4.67605486e-310 1.58101007e-322], [34.08453178405762]
[4.67605486e-310 4.67604832e-310 1.58101007e-322], [34.168487548828125]
[4.67604832e-310 4.67605486e-310 1.58101007e-322], [34.2522029876709]
[4.67604845e-310 4.67605266e-310 1.58101007e-322], [34.33605933189392]
[4.67605266e-310 4.67605238e-310 1.58101007e-322], [34.420510053634644]
[4.67605238e-310 4.67605266e-310 1.58101007e-322], [34.50541353225708]
[4.67605007e-310 4.67605313e-310 1.58101007e-322], [34.59152150154114]
[4.67605313e-310 4.67605002e-310 1.58101007e-322], [34.67584276199341]
[4.67605002e-310 4.67605313e-310 1.58101007e-322], [34.759703397750854]
[4.67604800e-310 4.67604802e-310 1.58101007e-322], [34.843749046325684]
[4.67604802e-310 4.67604838e-310 1.58101007e-322], [34.928146839141846]
[4.67604838e-310 4.67604802e-310 1.58101007e-322], [35.011290550231934]
[4.67604780e-310 4.67605435e-310 1.58101007e-322], [35.096317291259766]
[4.67605435e-310 4.67605260e-310 1.58101007e-322], [35.1807165145874]
[4.67605260e-310 4.67605435e-310 1.58101007e-322], [35.265002965927124]
[4.67605052e-310 4.67605435e-310 1.58101007e-322], [35.34855318069458]
[4.67604853e-310 4.67604989e-310 1.58101007e-322], [35.43242073059082]
[4.67605238e-310 4.67604862e-310 1.58101007e-322], [35.515981912612915]
[4.67605278e-310 4.67604836e-310 1.58101007e-322], [35.59895849227905]
[4.67604836e-310 4.67605278e-310 1.58101007e-322], [35.68300223350525]
[4.67604816e-310 4.67604793e-310 1.58101007e-322], [35.76686906814575]
[4.67604822e-310 4.67604853e-310 1.58101007e-322], [35.85038876533508]
[4.67605266e-310 4.67604815e-310 1.58101007e-322], [35.934722900390625]
[4.67605332e-310 4.67604802e-310 1.58101007e-322], [36.0199179649353]
[4.67604802e-310 4.67605332e-310 1.58101007e-322], [36.105215549468994]
[4.67604853e-310 4.67605131e-310 1.58101007e-322], [36.190067529678345]
[4.67604832e-310 4.67604853e-310 1.58101007e-322], [36.275370836257935]
[4.67604775e-310 4.67605332e-310 1.58101007e-322], [36.3599009513855]
[4.67604936e-310 4.67605047e-310 1.58101007e-322], [36.44386386871338]
[4.67605287e-310 4.67604854e-310 1.58101007e-322], [36.52822780609131]
[-0.19721486 -0.22387668  0.40079126], [36.6127233505249]
[4.67604989e-310 4.67605260e-310 1.58101007e-322], [36.69626593589783]
[4.67605066e-310 4.67604780e-310 1.58101007e-322], [36.78319311141968]
[4.67604832e-310 4.67605402e-310 1.58101007e-322], [36.86830687522888]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [36.95223331451416]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.036494970321655]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.12116742134094]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.204760789871216]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.28922176361084]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.37219166755676]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.46183753013611]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.55339598655701]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.63892436027527]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.72336935997009]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.80716514587402]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.891228437423706]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [37.975188970565796]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.05921697616577]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.14312553405762]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.227256298065186]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.310417890548706]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.395134687423706]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.47939944267273]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.565253019332886]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.649548053741455]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.733378410339355]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.818000078201294]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.90110969543457]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [38.9852991104126]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.07035303115845]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.15504550933838]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.239380836486816]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.32410645484924]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.40893292427063]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.49318075180054]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.57707953453064]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.6624596118927]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.74666118621826]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.83233046531677]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [39.91699552536011]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.00277781486511]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.087854862213135]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.18182110786438]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.27455425262451]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.35932159423828]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.443251848220825]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.527743339538574]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.611863136291504]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.69632029533386]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.780760049819946]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.865288972854614]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [40.94993185997009]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.03468918800354]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.11903667449951]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.20387029647827]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.28925800323486]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.37310743331909]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.45779371261597]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.542091608047485]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.6272554397583]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.711177587509155]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.795743227005005]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.88068628311157]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [41.965100049972534]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.04926109313965]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.133872509002686]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.219242572784424]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.30293011665344]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.38718271255493]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.47154378890991]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.55564475059509]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.63990116119385]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.72468876838684]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.809598207473755]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.89346933364868]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [42.977306604385376]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.06147861480713]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.14492845535278]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.22995901107788]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.31459879875183]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.400177240371704]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.48388314247131]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.569366693496704]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.65555787086487]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.74560523033142]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.83129096031189]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [43.9160840511322]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.00086998939514]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.08618879318237]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.17077398300171]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.255709648132324]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.34061002731323]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.425196409225464]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.50947904586792]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.59514021873474]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.6797034740448]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.76481509208679]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.84978699684143]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [44.93416213989258]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.01841187477112]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.10311794281006]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.193626403808594]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.28033781051636]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.36490988731384]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.44943308830261]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.534440994262695]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.61909341812134]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.703474283218384]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.788761615753174]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.87424373626709]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [45.96001982688904]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.045631647109985]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.130178451538086]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.215352058410645]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.30039954185486]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.38513946533203]
[4.67604838e-310 0.00000000e+000 1.58101007e-322], [46.47056198120117]
