[  0.   0. 100.], [33.81249952316284]
[4.66960520e-310 4.66960294e-310 1.58101007e-322], [34.342700481414795]
[1.00000000e+000 0.00000000e+000 4.66960292e-310], [34.466724157333374]
[4.66960329e-310 4.66960422e-310 1.58101007e-322], [34.58700108528137]
[6.92649562e-310 2.12199579e-314 4.66960396e-310], [34.708253383636475]
[4.66960383e-310 4.66960158e-310 1.58101007e-322], [34.82799029350281]
[4.66960728e-310 5.36864935e-312 0.00000000e+000], [34.949946641922]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.071025371551514]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.19178605079651]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.31338572502136]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.442004442214966]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.56312966346741]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.6919629573822]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.820635080337524]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [35.944326400756836]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.06464695930481]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.184860706329346]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.305283546447754]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.42619061470032]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.546842098236084]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.667675733566284]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.788330078125]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [36.91030478477478]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.03039216995239]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.1524863243103]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.273146867752075]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.392985343933105]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.51447868347168]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.63492751121521]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.756229639053345]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.87679409980774]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [37.9962694644928]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.119425535202026]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.24038529396057]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.36163592338562]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.483776330947876]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.6028938293457]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.723787784576416]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.84551024436951]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [38.96733903884888]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.089285135269165]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.20953106880188]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.33166217803955]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.45351457595825]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.57496404647827]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.70339512825012]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.8327100276947]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [39.95345902442932]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.076945304870605]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.197914123535156]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.31849980354309]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.439621448516846]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.561280965805054]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.68090200424194]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.80082321166992]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [40.921249866485596]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.04212474822998]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.166152238845825]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.28803753852844]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.41003155708313]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.530959606170654]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.65285348892212]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.77437901496887]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [41.89470815658569]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.01691293716431]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.13938927650452]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.26028871536255]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.39112854003906]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.51984763145447]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.652034759521484]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.776856660842896]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [42.89841842651367]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.01871156692505]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.14148807525635]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.2666802406311]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.38764309883118]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.51142191886902]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.635418176651]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.75576639175415]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [43.88088059425354]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.00335955619812]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.12409234046936]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.24720644950867]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.371315002441406]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.49250078201294]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.622591495513916]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.743744134902954]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.86553168296814]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [44.986836671829224]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.10737752914429]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.22993564605713]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.35582733154297]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.48049449920654]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.60534715652466]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.728330850601196]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.85034513473511]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [45.97257423400879]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.093074321746826]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.21449089050293]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.33631777763367]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.45714712142944]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.578569173812866]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.70018219947815]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.821969509124756]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [46.942787885665894]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [47.06455659866333]
[9.08367217e+223 8.28496052e+016 4.66945174e-310], [47.18462061882019]
[4.66960329e-310 1.00158201e-311 4.61746284e-310], [47.304609537124634]
[4.66960329e-310 4.66960158e-310 4.61746284e-310], [47.428910970687866]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [47.551557779312134]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [47.67332863807678]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [47.79353594779968]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [47.91446018218994]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.037185192108154]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.15747833251953]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.2852840423584]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.405484437942505]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.52676820755005]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.64794659614563]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.76917338371277]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [48.89547848701477]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.01720070838928]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.13927364349365]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.26003360748291]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.38088417053223]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.502840995788574]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.625308990478516]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.745487689971924]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.866257429122925]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [49.986729860305786]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [50.10764837265015]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [50.22883081436157]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [50.349870443344116]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [50.47145175933838]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [50.592137813568115]
[6.92646126e-310 2.12199579e-314 4.66960240e-310], [50.714701890945435]
