[4.68803771e-310 4.68803504e-310 1.58101007e-322], [30.269161462783813]
[4.68803486e-310 4.68804085e-310 1.58101007e-322], [30.864089727401733]
[-0.15353388  0.32900174 -0.15353388], [30.947869777679443]
[4.68803332e-310 4.68803327e-310 1.58101007e-322], [31.03065586090088]
[4.68803870e-310 4.68803886e-310 1.58101007e-322], [31.115995168685913]
[4.68803793e-310 4.68803869e-310 1.58101007e-322], [31.19854211807251]
[4.68803486e-310 4.68803306e-310 1.58101007e-322], [31.28109884262085]
[6.90613071e-310 2.12199579e-314 4.68803488e-310], [31.364524841308594]
[4.68803577e-310 4.68803897e-310 1.58101007e-322], [31.447571277618408]
[6.90613071e-310 2.12199579e-314 4.68803488e-310], [31.531162977218628]
[4.68803870e-310 4.68803897e-310 1.58101007e-322], [31.6153564453125]
[4.68803886e-310 4.68803903e-310 1.58101007e-322], [31.69967818260193]
[ 0.33628846 -0.15093616 -0.15104052], [31.783058404922485]
[4.68803919e-310 4.68803332e-310 1.58101007e-322], [31.86621928215027]
[4.68803852e-310 4.68803658e-310 1.58101007e-322], [31.949674367904663]
[6.90613071e-310 2.12199579e-314 4.68803537e-310], [32.033071994781494]
[1.00000000e+000 0.00000000e+000 4.68803639e-310], [32.116950273513794]
[4.68804085e-310 4.68803931e-310 1.58101007e-322], [32.199870109558105]
[-0.14819766  0.31976543 -0.16005532], [32.28328537940979]
[4.68803933e-310 4.68803880e-310 1.58101007e-322], [32.366677045822144]
[4.68803793e-310 4.68803897e-310 1.58101007e-322], [32.449620723724365]
[4.68803795e-310 4.68803927e-310 1.58101007e-322], [32.53257989883423]
[4.68803310e-310 4.68803816e-310 1.58101007e-322], [32.6159393787384]
[4.68803343e-310 4.68803939e-310 1.58101007e-322], [32.69981098175049]
[4.68803931e-310 4.68803939e-310 1.58101007e-322], [32.78342413902283]
[4.68803577e-310 4.68803816e-310 1.58101007e-322], [32.865797996520996]
[4.68803488e-310 4.68803816e-310 1.58101007e-322], [32.94916796684265]
[4.68803449e-310 4.68803747e-310 1.58101007e-322], [33.03264760971069]
[4.68803939e-310 4.68803449e-310 1.58101007e-322], [33.11732578277588]
[6.90613071e-310 2.12199579e-314 4.68803930e-310], [33.20077085494995]
[4.68803897e-310 4.68803886e-310 1.58101007e-322], [33.2847855091095]
[-0.13913335  0.30587205 -0.16580292], [33.3696665763855]
[4.68803321e-310 4.68803840e-310 1.58101007e-322], [33.45327544212341]
[4.68803914e-310 4.68803488e-310 1.58101007e-322], [33.53718972206116]
[-0.13804116 -0.16631708  0.3019448 ], [33.62066030502319]
[4.68803693e-310 4.68803792e-310 1.58101007e-322], [33.710646629333496]
[4.68803676e-310 4.68803795e-310 1.58101007e-322], [33.79717206954956]
[4.68803534e-310 4.68803693e-310 1.58101007e-322], [33.882904052734375]
[4.68803931e-310 4.68803442e-310 1.58101007e-322], [33.96806812286377]
[4.68803377e-310 4.68803656e-310 1.58101007e-322], [34.05297231674194]
[4.68803939e-310 4.68803748e-310 1.58101007e-322], [34.13734316825867]
[4.68804084e-310 4.68803914e-310 1.58101007e-322], [34.221293687820435]
[4.68803310e-310 4.68803897e-310 1.58101007e-322], [34.30480885505676]
[6.90613071e-310 2.12199579e-314 4.68803930e-310], [34.389211654663086]
[4.68803534e-310 4.68804085e-310 1.58101007e-322], [34.47612905502319]
