[ 0.0 0.0 0.0],[ 185.35161512350348 185.35161512350302 185.35161512350288][ 0.0 0.0 0.0],[ 185.35161512350322 185.35161512350282 185.35161512350237], [2.6896286010742188]
[ 0.0 0.25443796987059153 0.25444454974500447],[ 185.35161512350348 185.35161512350302 185.35161512350288][ 0.0 0.09731802668716129 0.09731951096558425],[ 185.35161512350322 185.35161512350282 185.35161512350237], [3.583662748336792]
[ 0.0 0.17599476760750818 0.17601703445628117],[ 185.44825788576617 185.4755595085099 185.47556278680943][ 0.0 0.012524978237530229 0.012515585147383195],[ 185.37943171115046 185.40406385134847 185.40406756103485], [3.711399793624878]
[ 0.0 0.13134237396666837 0.13133992769007208],[ 185.47816752815856 185.54017225813658 185.5401809815019][ 0.0 0.0 0.0],[ 185.37828389983977 185.39779518801663 185.39779251282857], [3.833043098449707]
[ 0.0 0.1311842629976922 0.13118838450314302],[ 185.47543102553655 185.569696692078 185.56970630931977][ 0.0 0.0 0.0],[ 185.37267620970732 185.38641513478825 185.3864124973028], [3.9518256187438965]
[ 0.0 0.1483585411276872 0.14836557256126995],[ 185.46813155817546 185.59372358215828 185.59373398654216][ 0.0 0.0 0.0],[ 185.3677569379274 185.3779889767895 185.3779864434131], [4.081393480300903]
[ 0.0 0.16798049598648698 0.16798952296885103],[ 185.46534208779084 185.62200443062113 185.62201652003634][ 0.0 0.0 0.0],[ 185.3639927543083 185.37164393588668 185.37164164729808], [4.205831527709961]
[ 0.0 0.18751147885503047 0.1875222071182802],[ 185.4669793672566 185.65481964786073 185.6548341277564][ 0.0 0.0 0.0],[ 185.3611051975798 185.3669250123126 185.36692029356558], [4.337994813919067]
[ 0.0 0.20627848160844606 0.20599159315522136],[ 185.47190859088195 185.69101265968018 185.69103018892957][ 0.0 0.0006765077909636749 0.0010194940663991396],[ 185.35907732589467 185.36333075211164 185.3633262002705], [4.46061372756958]
[ 0.0 0.22383115663931052 0.22359538689266054],[ 185.47898458736944 185.72929884875305 185.72926235202772][ 0.0 0.002996728343366127 0.003529132565648344],[ 185.35788117699755 185.3609922905834 185.36114138888163], [4.57811164855957]
[ 0.0 0.24216608426006883 0.2418899862844496],[ 185.48735377003337 185.7685713857827 185.76847512660333][ 0.0 0.005390031210272542 0.0061124820356640835],[ 185.35725920764574 185.36073545471484 185.36107333455016], [4.695972442626953]
[ 0.0 0.2607941235129146 0.2604468801856592],[ 185.4970068848124 185.80891970267066 185.80875498262702][ 0.0 0.0076285636032283775 0.008565892227619974],[ 185.35719793415916 185.36201338451576 185.362579867841], [4.810835838317871]
[ 0.0 0.27928514686048933 0.2788481952122349],[ 185.50772921910712 185.85021924062215 185.849974958634][ 0.0 0.009849828872927754 0.011036920645742711],[ 185.35761710898865 185.36431444242208 185.36513988343864], [4.924193859100342]
[ 0.0 0.2975778734906652 0.297034160665568],[ 185.5191892644865 185.89216812062276 185.89183083564365][ 0.0 0.012178820870553672 0.013657767718000695],[ 185.35829697037437 185.36741714397112 185.36855455836468], [5.041871547698975]
[ 0.0 0.31569264936911406 0.3150237592772993],[ 185.5311218204644 185.9345029783616 185.9340567016739][ 0.0 0.01471661498698639 0.01653687176370275],[ 185.35927114730464 185.371157734928 185.37264900049277], [5.162258148193359]
