[4.67605309e-310 4.67605219e-310 1.58101007e-322], [31.060532093048096]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [31.66303825378418]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [31.750935554504395]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [31.83719515800476]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [31.92246127128601]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.00684404373169]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.09125733375549]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.17746067047119]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.26202583312988]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.345879316329956]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.429824352264404]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.519840478897095]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.603878021240234]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.68770217895508]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.771851778030396]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.85581922531128]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [32.939908504486084]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.0238196849823]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.107542514801025]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.19186472892761]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.275290966033936]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.3603937625885]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.445133447647095]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.53025960922241]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.61512589454651]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.70002198219299]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.78402924537659]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.869181632995605]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [33.95394277572632]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.038108110427856]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.12288212776184]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.207226514816284]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.29108214378357]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.37499284744263]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.4596745967865]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.54371690750122]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.62695121765137]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.711682081222534]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.796494245529175]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.880000829696655]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [34.965171813964844]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.049819469451904]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.135111570358276]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.2189724445343]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.302796363830566]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.387479305267334]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.472028732299805]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.55713105201721]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.64078068733215]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.72547745704651]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.81083798408508]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.89569973945618]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [35.98071622848511]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.06590962409973]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.15125370025635]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.237542152404785]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.32187581062317]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.407402753829956]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.49174618721008]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.57651734352112]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.66207027435303]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.74673318862915]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.83150672912598]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [36.916001319885254]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [37.00036954879761]
[6.93163945e-310 2.12199579e-314 4.67604992e-310], [37.08467221260071]
