[1.11022302e-14 0.00000000e+00 5.00000000e+01], [2.3716554641723633]
[-1.17686752e-06  6.68389662e-07  5.00000012e+01], [2.7949283123016357]
[-1.58016584e-06  8.67288134e-07  5.00000015e+01], [2.8898186683654785]
[-1.61356909e-06  8.79559324e-07  5.00000013e+01], [2.9876954555511475]
[-1.51573532e-06  8.25545078e-07  5.00000010e+01], [3.078505277633667]
[-1.49151362e-06  7.93695381e-07  5.00000009e+01], [3.1704049110412598]
[-1.51493315e-06  7.98121399e-07  5.00000008e+01], [3.2687675952911377]
[-1.53784822e-06  8.07781518e-07  5.00000007e+01], [3.3543384075164795]
[-1.55510532e-06  8.15078668e-07  5.00000006e+01], [3.4423534870147705]
[-1.56782726e-06  8.20325639e-07  5.00000005e+01], [3.5290017127990723]
[-1.57722712e-06  8.24164373e-07  5.00000005e+01], [3.6201298236846924]
[-1.58417750e-06  8.26985384e-07  5.00000005e+01], [3.7081806659698486]
[-1.58931618e-06  8.29057991e-07  5.00000004e+01], [3.8057150840759277]
[-1.59311513e-06  8.30580229e-07  5.00000004e+01], [3.89654278755188]
[-1.59592359e-06  8.31698101e-07  5.00000004e+01], [3.991945505142212]
[-1.59799981e-06  8.32518958e-07  5.00000004e+01], [4.083550691604614]
[-1.59953470e-06  8.33121669e-07  5.00000004e+01], [4.182015657424927]
[-1.60066939e-06  8.33564154e-07  5.00000004e+01], [4.269191026687622]
[-1.60150822e-06  8.33888976e-07  5.00000004e+01], [4.3629443645477295]
[-1.60212833e-06  8.34127406e-07  5.00000004e+01], [4.4542505741119385]
[-1.60258675e-06  8.34302394e-07  5.00000004e+01], [4.54632830619812]
[-1.60292565e-06  8.34430824e-07  5.00000004e+01], [4.637906312942505]
[-1.60317617e-06  8.34525062e-07  5.00000004e+01], [4.727306842803955]
[-1.60336137e-06  8.34594207e-07  5.00000004e+01], [4.825776815414429]
[-1.60349827e-06  8.34644929e-07  5.00000004e+01], [4.9178080558776855]
[-1.60359948e-06  8.34682139e-07  5.00000004e+01], [5.007877588272095]
[-1.60367429e-06  8.34709433e-07  5.00000004e+01], [5.105061054229736]
[-1.60372960e-06  8.34729450e-07  5.00000004e+01], [5.198225736618042]
[-1.60377048e-06  8.34744123e-07  5.00000004e+01], [5.291923761367798]
[-1.60380070e-06  8.34754886e-07  5.00000004e+01], [5.3807573318481445]
[-1.60382304e-06  8.34762770e-07  5.00000004e+01], [5.472708463668823]
[-1.60383956e-06  8.34768559e-07  5.00000004e+01], [5.562940359115601]
[-1.60385176e-06  8.34772798e-07  5.00000004e+01], [5.6570494174957275]
[-1.60386079e-06  8.34775903e-07  5.00000004e+01], [5.749838829040527]
[-1.60386746e-06  8.34778178e-07  5.00000004e+01], [5.844106912612915]
[-1.60387239e-06  8.34779846e-07  5.00000004e+01], [5.943997859954834]
[-1.60387603e-06  8.34781063e-07  5.00000004e+01], [6.044252634048462]
[-1.60387873e-06  8.34781959e-07  5.00000004e+01], [6.143109083175659]
[-1.60388072e-06  8.34782613e-07  5.00000004e+01], [6.237797975540161]
[-1.60388219e-06  8.34783083e-07  5.00000004e+01], [6.332600355148315]
[-1.60388328e-06  8.34783442e-07  5.00000004e+01], [6.423850059509277]
[-1.60388408e-06  8.34783694e-07  5.00000004e+01], [6.51789665222168]
[-1.60388468e-06  8.34783883e-07  5.00000004e+01], [6.607956409454346]
[-1.60388512e-06  8.34784018e-07  5.00000004e+01], [6.705312013626099]
[-1.60388544e-06  8.34784118e-07  5.00000004e+01], [6.800319671630859]
[-1.60388568e-06  8.34784198e-07  5.00000004e+01], [6.89449667930603]
[-1.60388586e-06  8.34784254e-07  5.00000004e+01], [6.98836088180542]
[-1.60388599e-06  8.34784287e-07  5.00000004e+01], [7.079597473144531]
[-1.60388608e-06  8.34784315e-07  5.00000004e+01], [7.172276735305786]
[-1.60388616e-06  8.34784341e-07  5.00000004e+01], [7.267385482788086]
