[ 5.85436533 -1.5485197  55.78619461], [55.56134057044983]
[ 5.883019   -1.50862579 55.78819773], [55.64577126502991]
[ 5.91161788 -1.46812307 55.79056413], [55.730767011642456]
[ 5.94022653 -1.42750065 55.79318833], [55.815468311309814]
[ 5.96938419 -1.38732597 55.79603697], [55.899714946746826]
[ 5.99864278 -1.34651491 55.79900879], [55.984537839889526]
[ 6.02846975 -1.30613054 55.80210453], [56.07028865814209]
[ 6.0583658  -1.26621713 55.80520905], [56.154242277145386]
[ 6.08731248 -1.2256716  55.8082399 ], [56.23880481719971]
[ 6.11575443 -1.18773274 55.8111867 ], [56.323875427246094]
[ 6.14208992 -1.15310161 55.8138119 ], [56.40862512588501]
[ 2.43516016 -0.92551746 56.38952224], [56.49258780479431]
[ 1.20543809 -0.69370231 56.09150499], [56.576870918273926]
[ 0.80031991 -0.67814538 55.84768098], [56.66077280044556]
[ 0.74985059 -0.86329916 55.67760849], [56.74454069137573]
[ 0.70990404 -0.92980502 55.53315282], [56.82873177528381]
[ 0.66273342 -0.92976014 55.42145084], [56.91285943984985]
[ 0.61069021 -0.89539802 55.33567357], [56.996877670288086]
[ 0.56456931 -0.85591261 55.27098892], [57.08083486557007]
[ 0.52315288 -0.81429149 55.22148705], [57.1646044254303]
[ 0.48019326 -0.76267838 55.18224383], [57.24856472015381]
[ 0.44249787 -0.71459544 55.15226077], [57.33237028121948]
[ 0.40779178 -0.66747569 55.12861343], [57.41620874404907]
[ 0.37502915 -0.62052654 55.10968392], [57.500099658966064]
[ 0.34318701 -0.57274975 55.09417769], [57.583500146865845]
[ 0.32411589 -0.5452052  55.08392534], [57.66732716560364]
[ 0.30945896 -0.52391407 55.07576615], [57.75218152999878]
[ 0.30214305 -0.49272846 55.07069844], [57.83653998374939]
[ 0.29725176 -0.4655514  55.06679385], [57.92113137245178]
[ 0.29344414 -0.44122829 55.06379414], [58.00537467002869]
[ 0.28959701 -0.41754686 55.06134027], [58.08977746963501]
[ 0.28666998 -0.39443109 55.05958563], [58.173951625823975]
[ 0.28393958 -0.37187076 55.05817107], [58.25698924064636]
[ 0.28178029 -0.35041687 55.05713877], [58.34069871902466]
[ 0.28072565 -0.32899944 55.05654167], [58.424840688705444]
[ 0.28012028 -0.30812908 55.05612752], [58.50833749771118]
[ 0.97320628 -0.26093708 56.75034499], [58.592862606048584]
[ 0.97283458 -0.24475444 57.26932087], [58.67723631858826]
[ 1.03905173 -0.19153707 57.51447   ], [58.76164126396179]
[ 1.12794707 -0.43431039 57.45829233], [58.84584379196167]
[ 0.99831799 -0.35636236 57.45656061], [58.930373191833496]
[ 0.99243768 -0.35727238 57.48256111], [59.01509761810303]
[ 0.91944498 -0.28144375 57.56495686], [59.09973430633545]
[ 0.88051811 -0.31090089 57.64840498], [59.185117959976196]
[ 0.82607486 -0.29883086 57.74132104], [59.270066261291504]
[ 0.77235346 -0.2965211  57.82806848], [59.35427212715149]
[ 0.70833251 -0.33260127 57.90600363], [59.438982248306274]
[ 0.66434371 -0.33854583 57.98783902], [59.524304151535034]
[ 0.61465091 -0.33649206 58.06338468], [59.609126806259155]
[ 0.57933529 -0.32724942 58.13554466], [59.694092988967896]
[ 0.52921432 -0.34616621 58.20519547], [59.779175758361816]
[ 0.46397357 -0.35566827 58.26462901], [59.86903119087219]
[ 0.43213381 -0.35839187 58.32755512], [59.953251361846924]
[ 0.39557598 -0.36201854 58.3855413 ], [60.03769516944885]
[ 0.35692727 -0.35250564 58.4507093 ], [60.121992349624634]
[ 0.30701018 -0.35075061 58.50198292], [60.207109689712524]
[ 0.26086553 -0.36662723 58.55472413], [60.29119563102722]
[ 0.23586621 -0.36314573 58.60219164], [60.37569761276245]
[ 0.2104103  -0.35940505 58.65045292], [60.460731983184814]
[ 0.17293609 -0.39336897 58.69258979], [60.54539704322815]
[ 0.13711492 -0.41901649 58.73379165], [60.63030552864075]
[-4.97540233  4.54492061 59.59406798], [60.714701652526855]
[-5.41741136  5.0497659  58.96853532], [60.79930806159973]
[-5.50621748  5.36568874 58.88992747], [60.8826949596405]
[-5.50484163  5.36327267 58.8836826 ], [60.96377873420715]
[-5.30465979  5.2285731  59.00718634], [61.048492431640625]
[-4.82489836  5.05619272 59.20959137], [61.13310503959656]
[-4.47805532  4.83623077 59.35724223], [61.21790957450867]
[-4.33785365  4.63710127 59.42377471], [61.30257439613342]
[-4.17524527  4.48859133 59.44578307], [61.38779950141907]
[-4.0722452  4.3431231 59.4659393], [61.472387075424194]
[-3.95538081  4.2295079  59.4740421 ], [61.55692148208618]
[-3.83943872  4.12174778 59.49370903], [61.64188575744629]
[-3.75486573  4.04994313 59.49133086], [61.72643280029297]
[-3.73017287  3.97891143 59.46221699], [61.81060600280762]
[-3.69251619  3.91082679 59.43782787], [61.89464449882507]
[-3.63593067  3.86788728 59.4235528 ], [61.97912812232971]
[-3.60953807  3.83114281 59.40399871], [62.06369185447693]
[-3.58389788  3.78527979 59.38460894], [62.1479697227478]
[-3.57007958  3.74578113 59.36430546], [62.231438875198364]
[-3.56237615  3.70451815 59.33948316], [62.31580352783203]
[-3.54254031  3.67603502 59.32263791], [62.39928460121155]
[-3.53544034  3.64110687 59.30585791], [62.4837441444397]
[-3.52509173  3.60705774 59.28804245], [62.5679931640625]
[-3.52457989  3.5690608  59.27203754], [62.65169954299927]
[-3.52412891  3.54540985 59.25706306], [62.736027002334595]
[-8.71250458  8.64280466 59.38352243], [62.820005893707275]
[-9.01476011  8.9542345  59.23023339], [62.904648542404175]
[-9.19066692  9.05074288 59.28830085], [62.9894278049469]
[-8.27360926  8.36402671 60.17404367], [63.073896646499634]
[-7.75702778  8.12801611 60.6034648 ], [63.15881824493408]
[-6.70999012  7.45156939 61.44718729], [63.24348187446594]
[-5.68276842  6.93032288 62.01675334], [63.32788920402527]
[-5.00563601  6.48714515 62.16489095], [63.41276025772095]
[-4.50232309  6.14150498 62.17202179], [63.497124910354614]
[-4.73085294  5.71188672 61.99622562], [63.58213758468628]
[-5.1517609   5.46295333 61.6602401 ], [63.66573452949524]
[-5.78667719  5.36266039 61.28686918], [63.74910259246826]
[-6.29833065  5.43724338 60.93942068], [63.83448123931885]
[-6.3848065   5.64933877 60.69886528], [63.91866683959961]
[-6.33693114  5.88517527 60.55088683], [64.00343322753906]
[-6.18320735  6.11992305 60.45252815], [64.08747386932373]
[-6.05432825  6.22294936 60.38853363], [64.17107439041138]
[-5.92048585  6.29136413 60.34585809], [64.25560116767883]
[-5.84233118  6.29931104 60.30552907], [64.3398687839508]
[-5.77310359  6.30347397 60.25542022], [64.42428374290466]
[-5.69970778  6.28708642 60.21730212], [64.50774097442627]
[-5.67234512  6.24525583 60.16817678], [64.59220051765442]
[-5.68021334  6.21894533 60.11752398], [64.67632365226746]
[-5.69946686  6.18893389 60.06520215], [64.76079821586609]
[-5.70535996  6.19654496 60.01156432], [64.84473013877869]
[-5.75806009  1.04475372 60.29892331], [64.92896127700806]
[-5.75889885  0.76215583 60.01816276], [65.013436794281]
[-5.90063631  0.67375016 59.82923258], [65.09807467460632]
[-6.43482626  1.77886543 59.79076338], [65.18189597129822]
[-6.50341166  1.99531921 59.76732105], [65.26558542251587]
[-6.66992986  2.65589454 59.79764439], [65.35647058486938]
[-6.3768984   2.88304112 59.74976879], [65.4417827129364]
[-6.29568158  3.32196152 59.65639678], [65.52695083618164]
[-6.1658438   3.40761507 59.57502174], [65.61227774620056]
[-6.15031208  3.51111984 59.50692865], [65.696848154068]
[-6.14899736  3.54977681 59.47510853], [65.78059220314026]
[-6.19622437  3.59975432 59.42758392], [65.86475682258606]
[-6.22822469  3.63371165 59.39416006], [65.94864630699158]
[-6.27494904  3.63222316 59.35897253], [66.03241562843323]
[-6.29504154  3.6498076  59.32980438], [66.11655807495117]
[-6.33620618  3.65356702 59.29850686], [66.201247215271]
[-6.36653591  3.68081349 59.2681086 ], [66.28556323051453]
[-6.40290251  3.69990388 59.23704327], [66.3703100681305]
[-6.43936795  3.74756669 59.20647201], [66.45494270324707]
[-6.46713394  3.76387415 59.18216753], [66.53869223594666]
[-6.48980316  3.80067726 59.15888663], [66.62279438972473]
[-6.50465692  3.84315272 59.13694841], [66.70650291442871]
[-6.54008704  3.87602372 59.11322164], [66.79087567329407]
[-6.55269817  3.94531978 59.09068941], [66.87516164779663]
[-6.56457236  3.97677736 59.0756795 ], [66.95960664749146]
[-6.60734269 -1.120121   59.4887738 ], [67.04422163963318]
[-6.63471699 -1.46605971 59.16325996], [67.1281316280365]
[-6.73421867 -1.7389741  59.02000812], [67.21309542655945]
[-7.18744317 -0.76658873 59.18312569], [67.29789352416992]
[-7.28833742 -0.69859187 59.20400417], [67.382572889328]
[-7.36853202 -0.12228654 59.27525654], [67.46665239334106]
[-7.18241176e+00 -5.56242187e-02  5.93283283e+01], [67.54975533485413]
[-7.20251791  0.20435437 59.35771   ], [67.63446283340454]
[-7.16866562  0.24413782 59.36356679], [67.71886801719666]
[-7.08699684  0.26129681 59.36061922], [67.80317258834839]
[-7.0378903   0.27048554 59.3538717 ], [67.88735747337341]
[-6.98051689  0.25134791 59.34492175], [67.97140789031982]
[-6.95181243  0.25547222 59.33593091], [68.05573177337646]
[-6.93454766  0.22694475 59.32459075], [68.14011216163635]
[-6.93336178  0.192341   59.31238196], [68.22457575798035]
[-6.92036652  0.15268466 59.30374053], [68.30943584442139]
[-6.92963128  0.11984309 59.29489154], [68.39439797401428]
[-6.93962867  0.08013829 59.28703606], [68.47940254211426]
[-6.95154535e+00  5.21958703e-02  5.92824500e+01], [68.56369042396545]
[-6.96347753e+00  3.29570076e-02  5.92784605e+01], [68.6483702659607]
[-6.94729731e+00  4.81424282e-02  5.92754912e+01], [68.73220539093018]
[-6.94778539e+00  2.56143499e-02  5.92748099e+01], [68.81603932380676]
[-6.95064884e+00  9.20782296e-03  5.92721243e+01], [68.90007281303406]
[-6.93572595e+00 -2.48426735e-03  5.92740022e+01], [68.98396062850952]
[-6.94505700e+00 -2.75047715e-02  5.92736452e+01], [69.06968069076538]
[-6.94173256 -5.24810076 59.4439069 ], [69.15497756004333]
[-6.96301316 -5.55593185 59.32009246], [69.23987317085266]
[-6.97537196 -5.68235863 59.26988766], [69.32498574256897]
[-7.31368908 -4.44301155 59.62065796], [69.40951943397522]
[-7.35122288 -4.14256505 59.72248888], [69.49460983276367]
[-7.5703243  -3.33537729 59.96292904], [69.57942628860474]
[-7.25154661 -3.40048948 60.05814891], [69.66475510597229]
[-7.18304169 -2.93339815 60.02465997], [69.74975442886353]
[-6.73214454 -3.16697671 60.03206996], [69.83399415016174]
[-6.7735097  -3.04971994 59.97930334], [69.9187159538269]
[-6.71580961 -3.35324986 59.9265625 ], [70.0039496421814]
[-6.87018641 -3.22851625 59.8686614 ], [70.08838129043579]
[-6.86253228 -3.37084202 59.80426745], [70.17396855354309]
[-6.90263292 -3.24752221 59.76198509], [70.25855016708374]
[-6.88935226 -3.32301289 59.72562797], [70.34252691268921]
[-6.85909708 -3.36415817 59.70789486], [70.42775821685791]
[-6.83978637 -3.42505639 59.67500266], [70.5124294757843]
[-6.81352911 -3.5358038  59.6487336 ], [70.59701156616211]
