[ 5.  0. 55.], [54.8003351688385]
[ 5.  0. 55.], [54.88463854789734]
[ 5.  0. 55.], [54.96947455406189]
[ 5.  0. 55.], [55.05424356460571]
[ 5.  0. 55.], [55.138745069503784]
[ 5.  0. 55.], [55.223304986953735]
[ 5.  0. 55.], [55.30800414085388]
[ 5.  0. 55.], [55.393670082092285]
[ 5.  0. 55.], [55.4778208732605]
[ 5.  0. 55.], [55.56158185005188]
[ 5.  0. 55.], [55.64595937728882]
[ 5.  0. 55.], [55.730950117111206]
[ 5.  0. 55.], [55.81560564041138]
[ 5.  0. 55.], [55.89986538887024]
[ 5.  0. 55.], [55.98469042778015]
[ 5.  0. 55.], [56.070451736450195]
[ 5.  0. 55.], [56.15440058708191]
[ 5.  0. 55.], [56.238959074020386]
[ 5.  0. 55.], [56.32426142692566]
[ 0.  0. 55.], [56.408825635910034]
[ 0.  0. 55.], [56.49318790435791]
[ 0.  0. 55.], [56.57723355293274]
[ 0.  0. 55.], [56.661279916763306]
[ 0.  0. 55.], [56.74476361274719]
[ 0.  0. 55.], [56.82897710800171]
[ 0.  0. 55.], [56.913145303726196]
[ 0.  0. 55.], [56.997031450271606]
[ 0.  0. 55.], [57.08099031448364]
[ 0.  0. 55.], [57.16479301452637]
[ 0.  0. 55.], [57.24872136116028]
[ 0.  0. 55.], [57.332518577575684]
[ 0.  0. 55.], [57.416362047195435]
[ 0.  0. 55.], [57.50025010108948]
[ 0.  0. 55.], [57.583736419677734]
[ 0.  0. 55.], [57.667521238327026]
[ 0.  0. 55.], [57.75233602523804]
[ 0.  0. 55.], [57.83671498298645]
[ 0.  0. 55.], [57.921282052993774]
[ 0.  0. 55.], [58.005533933639526]
[ 0.  0. 55.], [58.090009927749634]
[ 0.  0. 55.], [58.17412710189819]
[ 0.  0. 55.], [58.25719094276428]
[ 0.  0. 55.], [58.34088206291199]
[ 0.  0. 55.], [58.42501878738403]
[ 0.  0. 60.], [58.50893187522888]
[ 0.  0. 60.], [58.59311389923096]
[ 0.  0. 60.], [58.677491426467896]
[ 0.  0. 60.], [58.76194763183594]
[ 0.  0. 60.], [58.8460533618927]
[ 0.  0. 60.], [58.93055438995361]
[ 0.  0. 60.], [59.01530122756958]
[ 0.  0. 60.], [59.09989094734192]
[ 0.  0. 60.], [59.185271978378296]
[ 0.  0. 60.], [59.27022624015808]
[ 0.  0. 60.], [59.354453563690186]
[ 0.  0. 60.], [59.4392728805542]
[ 0.  0. 60.], [59.524521827697754]
[ 0.  0. 60.], [59.60935926437378]
[ 0.  0. 60.], [59.694313287734985]
[ 0.  0. 60.], [59.77950716018677]
[ 0.  0. 60.], [59.869389295578]
[ 0.  0. 60.], [59.95339632034302]
[ 0.  0. 60.], [60.03783321380615]
[ 0.  0. 60.], [60.122119665145874]
[ 0.  0. 60.], [60.207430839538574]
[ 0.  0. 60.], [60.29145646095276]
[ 0.  0. 60.], [60.37598633766174]
[ 0.  0. 60.], [60.46128702163696]
[ 0.  0. 60.], [60.545708656311035]
[-5.  5. 60.], [60.630468130111694]
