[6.90613061e-310 2.12199579e-314 4.68803952e-310], [44.42226696014404]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [44.50607252120972]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [44.59027600288391]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [44.674089670181274]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [44.75804090499878]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [44.841949462890625]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [44.925607681274414]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.01039457321167]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.09564781188965]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.18027138710022]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.26429057121277]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.34770488739014]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.431764364242554]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.51611042022705]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.599764585494995]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.68457508087158]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.76913070678711]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.853516578674316]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [45.93797206878662]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.02173447608948]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.10624122619629]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.1904718875885]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.27493381500244]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.3589448928833]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.443466901779175]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.527653217315674]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.61195135116577]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.69546389579773]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.779481410980225]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.863584995269775]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [46.9472541809082]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.03103017807007]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.11505150794983]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.19937014579773]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.283130168914795]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.36775279045105]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.451576471328735]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.53511691093445]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.61962032318115]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.70310187339783]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.787288188934326]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.871047496795654]
[6.90613061e-310 2.12199579e-314 4.68803952e-310], [47.9549446105957]
