[ 0.0 0.0 0.0],[ 185.35161512350368 185.35161512350288 185.35161512350265], [36.79646873474121]
[ 1.0526791814564593e-05 0.0 4.611856079779131e-06],[ 185.35161512350368 185.35161512350288 185.35161512350265], [37.397780418395996]
[ 0.0 3.144365014306297 13.844767603879625],[ 185.3516210178372 185.35161687816728 185.35161869178356], [37.483856439590454]
[ 0.0 0.675406087198501 1.907641111177409],[ 189.51080526514698 190.68034273776564 194.7028424656325], [37.56946039199829]
[ 0.0 0.7702369802070622 3.715191528236536],[ 188.5342534269633 189.8148776782147 193.82723370700884], [37.653971672058105]
[ 0.0 0.46446961486833255 2.130992756535607],[ 188.22086745071752 189.50431057973972 193.71725483295518], [37.73731994628906]
[ 0.0 0.7357737557943108 3.155009141009682],[ 187.7680210359579 188.93903869201154 192.8703901854198], [37.821465730667114]
[ 0.0 0.6893704627189154 3.1481917850637897],[ 187.6048758970642 188.77052107553067 192.69287731115074], [37.906144857406616]
[ 0.0 0.7365965926159905 3.2016923132700903],[ 187.45412649348762 188.6126975152787 192.57882912965206], [37.989890813827515]
[ 0.0 0.7803162968469611 3.2469850479633693],[ 187.34457530281082 188.51959675459074 192.5376808592906], [38.07347393035889]
[ 0.0 0.7843154792399408 3.2680293415987958],[ 187.26691069341453 188.47602241590891 192.5419725613488], [38.15768027305603]
[ 0.0 0.796517241873756 3.2900496638629013],[ 187.20674851960356 188.44749162624242 192.5613991023801], [38.2427978515625]
[ 0.0 0.8116231160583043 3.3282172797995355],[ 187.1629127829975 188.4338184019256 192.5919384225912], [38.32706642150879]
[ 0.0 0.8265464393188247 3.364380041238628],[ 187.1344692910925 188.43500249305876 192.63801052046756], [38.411598205566406]
[ 0.0 0.8397159825316896 3.397182886923045],[ 187.1174391237765 188.44702555541488 192.69457228493354], [38.496023178100586]
[ 0.0 0.8545383682505007 3.4339651412761203],[ 187.1085944853027 188.46600894061186 192.75672846286525], [38.58054232597351]
[ 0.0 0.8682910039168302 3.469822238017554],[ 187.1068983806132 188.49163068585543 192.82478921347996], [38.6644332408905]
[ 0.0 0.8841570285760996 3.5094383226944315],[ 187.11041874250117 188.5216560094962 192.89652785962812], [38.748324155807495]
[ 0.0 0.9004937029474627 3.5484826476419524],[ 187.11874080894546 188.55654652484955 192.97290039076063], [38.83296585083008]
[ 0.0 0.9189771374442829 3.5627204923534177],[ 187.13068045743697 188.595311852686 193.05244125505521], [38.9175283908844]
[ 0.0 0.9309634068325175 3.606379243258999],[ 187.14257889911204 188.63513940405443 193.12232097612812], [39.00230836868286]
[ 0.0 0.9424615781158369 3.641615102556745],[ 187.15771113329993 188.6764912508898 193.19774184751685], [39.08602023124695]
[ 0.0 0.9560416176017814 3.6718437352921383],[ 187.17392004175787 188.7171486780782 193.27398569313215], [39.17141771316528]
[ 0.0 0.9697671812853403 3.707614332736048],[ 187.19067751321205 188.7577540661675 193.34847872921614], [39.255297899246216]
[ 0.0 0.9826922189939101 3.743060636686665],[ 187.20865317182555 188.79924640609806 193.4241096514409], [39.339372634887695]
[ 0.0 0.9927307908216578 3.7732929342993424],[ 187.22735626970442 188.84093209467352 193.50042768352392], [39.423579454422]
[ 0.0 1.0046529792262238 3.792744993144783],[ 187.24560781059438 188.88065679652163 193.57437942841628], [39.50723934173584]
[ 0.0 5.0168755386684705 19.201608090628895],[ 187.26254479559825 188.91856170534 193.64137254226705], [39.59321355819702]
[ 0.0 2.3977395971603457 8.162566456651623],[ 191.97247605127998 194.98994456738384 203.597370287785], [39.67738151550293]
[ 0.0 2.9215267258623654 10.637592196185697],[ 191.60397283671207 194.73706086382498 203.37549433675952], [39.76111650466919]
[ 0.0 2.880597193893378 10.333803470419504],[ 191.93547807915996 195.17881890766012 204.0965086527858], [39.844775676727295]
[ 0.0 2.852588935636121 9.250226519300757],[ 192.1058054248656 195.44091915238846 204.542101526594], [39.92899417877197]
[ 0.0 2.576228875764405 8.285384144607026],[ 192.03157039835335 195.47380496889974 204.4578610783482], [40.01354384422302]
[ 0.0 2.464791632385699 7.802139659829081],[ 191.7581652715415 195.2264997601859 203.99466004920566], [40.09757995605469]
[ 0.28273573343503067 2.725717446696229 8.115819777878354],[ 191.43250081652334 194.90548172100628 203.4604902843263], [40.18100953102112]
[ 0.42011260095747566 2.8237817023569476 8.226478352585126],[ 191.38432341524236 194.85435226492945 203.2887976937765], [40.26446175575256]
[ 0.7251845659044452 3.139397553686452 8.467663945974085],[ 191.42449826691103 194.8877902264635 203.26323966226383], [40.34760856628418]
[ 0.6423786602454531 3.0668076432692652 8.302728954887685],[ 191.67436299644731 195.13765839083726 203.44051895640555], [40.43157482147217]
[ 0.5445130324415118 2.89823194506672 8.025563272976312],[ 191.77624877295898 195.25782426370327 203.49156041653464], [40.51632571220398]
[ 0.7150464620073039 3.029477146185903 8.090691625333433],[ 191.731304495866 195.2157975872142 203.38194480767152], [40.5998318195343]
[ 0.8308534555426302 3.1747429437001067 8.182379723801022],[ 191.80587144689548 195.2790307569751 203.36988449646165], [40.68341612815857]
[ 0.7906386377367407 3.108826085852455 8.117030268408989],[ 191.9493862801608 195.42550486580657 203.4374466646654], [40.76781678199768]
[ 0.8001539046929385 3.161331166444859 8.127635628992008],[ 192.01368805432548 195.4893540750494 203.45027389205072], [40.85785245895386]
[ 0.8343007983619717 3.160528646264753 8.084627273458667],[ 192.07211367075453 195.56512971842605 203.4746526762445], [40.949151277542114]
[ 0.8881986370186045 3.2219076679506826 8.124537969281183],[ 192.12569794129539 195.62143479066444 203.4786327512497], [41.03964066505432]
[ 0.9147023299310677 3.2536642577324395 8.128481745401858],[ 192.20675797284102 195.70628588237096 203.51365261867147], [41.12410259246826]
[ 0.9404118473370026 3.277430079272106 8.127682027301187],[ 192.285186677616 195.790302689971 203.54912688177353], [41.20874643325806]
[ 0.9609959791114023 3.3082265058416693 8.13041338463572],[ 192.35965927169627 195.86895613850962 203.5814102342953], [41.29372715950012]
[ 0.984498652914731 3.3374133179278354 8.132944277993456],[ 192.43033901661016 195.94674133959805 203.61284118358486], [41.37782859802246]
[ 1.0102175816356607 3.365429412519683 8.138716827594825],[ 192.4995885006647 196.02345976801772 203.64356837240823], [41.46210789680481]
[ 1.0102084059237437 3.3811295803607697 8.132440582936876],[ 192.56941689737218 196.09938288615564 203.67525865769417], [41.54825472831726]
[ 1.0398807845977123 3.409981137418705 8.138656275449236],[ 192.62332525221981 196.1636377685834 203.69757561794316], [41.632580280303955]
[ 0.0 7.438889539414272 0.9976105073823309],[ 192.6839246169393 196.2311795680205 203.72356644296661], [41.716856241226196]
[ 0.0 3.8880573372741885 5.639035766806584],[ 192.9235936074301 198.27227021667844 201.8602220548498], [41.80010223388672]
[ 0.0 4.399447075675279 4.939267377511334],[ 192.1461686968935 197.59696437579916 201.09001015458932], [41.88440704345703]
[ 0.0 3.157162249609008 5.270115238815592],[ 191.51650613068904 197.11716485344644 200.3790940715552], [41.969260692596436]
[ 0.0 3.424379288060699 4.982182364805628],[ 190.9337227484919 196.25464074706474 199.85186252880183], [42.053242444992065]
[ 0.0 3.3162598445137084 5.340469278273814],[ 190.47537599494675 195.70173152650946 199.31474183587636], [42.13782215118408]
[ 0.0 3.302806356844138 5.405644819869091],[ 190.15702659641548 195.31851192877184 199.03509914401116], [42.22203087806702]
[ 0.0 3.1741943229405707 5.512247917864066],[ 189.9161937535486 195.0546592124632 198.83843024311557], [42.30625057220459]
[ 0.0 3.1431010604709972 5.540563931870592],[ 189.72960816329848 194.82584008678577 198.71149946142228], [42.39144945144653]
[ 0.0 3.1040511487421907 5.560290630220113],[ 189.58796412785662 194.6534604951107 198.61514287021114], [42.4766263961792]
[ 0.0 3.080633908400612 5.599230673692243],[ 189.47846551102856 194.51742559297946 198.53806555553115], [42.56088972091675]
[ 0.0 3.0737293813390876 5.63298122458608],[ 189.39808826726616 194.41551515129092 198.48932877030686], [42.64457178115845]
[ 0.0 3.061244888607282 5.655865037302286],[ 189.34092032472253 194.3444292012749 198.46371667990772], [42.7284255027771]
[ 0.0 3.050616615499088 5.674218766322456],[ 189.29905844707665 194.29110798998286 198.4509463165024], [42.812790870666504]
[ 0.0 3.043948159725719 5.689430596711027],[ 189.26860986051278 194.2502593165073 198.44676090999187], [42.89724135398865]
[ 0.0 3.0357678376529735 5.701360624290426],[ 189.2469255311053 194.21957396577395 198.44863050880787], [42.982306241989136]
[ 0.0 3.046356157553915 5.702714488025699],[ 189.2311661879167 194.19489831344762 198.45380192839337], [43.06679344177246]
[ 0.0 3.0477124291927082 5.711443944914166],[ 189.221008197014 194.18233097532124 198.45889261302648], [43.150641679763794]
[ 0.0 3.050168981940094 5.715840915692465],[ 189.21474017000173 194.17519450977218 198.466447803971], [43.23483109474182]
[ 0.0 3.052448554825056 5.722593526831102],[ 189.21098047556384 194.17158075790456 198.47445564919786], [43.31990194320679]
[ 0.0 3.0536896320449993 5.727884748653232],[ 189.2094180741568 194.17065552212085 198.48399858501344], [43.403745889663696]
[ 0.0 3.057276893230064 5.734576011674058],[ 189.2091393290927 194.1709759854613 198.49399937715975], [43.48802042007446]
[ 0.0 3.060276120992803 5.741720887887173],[ 189.21033078897884 194.17354033437903 198.50526804435577], [43.572285890579224]
[ 0.0 3.0639885504066267 5.748534290764362],[ 189.21256974101306 194.17759445711923 198.517636462317], [43.655978202819824]
[ 0.0 3.068929872567652 5.756698639925632],[ 189.21564837102002 194.18307690145963 198.5307518755707], [43.73995900154114]
[ 0.0 8.28482091120398 0.017849127323709444],[ 189.21970702990242 194.1904222968368 198.54517440527647], [43.824350357055664]
[ 0.0 4.428616899162458 4.639492351270222],[ 190.315812119271 197.1372869320563 197.51669811246228], [43.91101789474487]
[ 0.0 4.797651787115792 3.979249282365852],[ 190.11949496933613 197.0007361199514 197.32472496675243], [43.99746632575989]
[ 0.0 3.8834537415862522 4.030882138350185],[ 189.9124752139532 196.8505566917643 197.05751830487523], [44.08307933807373]
[ 0.0 4.087145088504088 3.9914183368770835],[ 189.64821762110347 196.33880556715093 196.7712498568181], [44.1675980091095]
[ 0.0 4.188896040281673 4.082612166553148],[ 189.46497756020057 196.04800079530725 196.53826621788346], [44.252811431884766]
[ 0.0 4.191082113492091 4.14734932175397],[ 189.34419564454817 195.9174935101696 196.3929796875718], [44.33722901344299]
[ 0.0 4.147606447155799 4.184608445980534],[ 189.25702895221693 195.84969704057195 196.29935612633938], [44.42216467857361]
[ 0.0 4.101660777450252 4.207127148142494],[ 189.1891402359585 195.79476973025461 196.23147693057516], [44.505972385406494]
[ 0.0 4.092141344126468 4.213661404048951],[ 189.13534751814115 195.74162860927217 196.178404977016], [44.590174198150635]
[ 0.0 4.085712971860322 4.2208956790014796],[ 189.09518223119363 195.70356983747496 196.13449135685244], [44.67398929595947]
[ 0.0 4.082804359326415 4.222576315162214],[ 189.06541873137326 195.67788971946615 196.0990219555306], [44.7579402923584]
[ 0.0 4.083666807447494 4.224606998877809],[ 189.0430183627171 195.66140894079308 196.06891247254603], [44.841848373413086]
[ 0.0 4.082992353077194 4.222765155850924],[ 189.02665547344444 195.65273704606568 196.0443824323715], [44.925546646118164]
[ 0.0 4.086538423979113 4.219459294267585],[ 189.01405935481537 195.64798865237424 196.02276351182167], [45.010287046432495]
[ 0.0 4.091832927347238 4.214522544541813],[ 189.00469952627995 195.64748045122496 196.0036207910338], [45.09554934501648]
[ 0.0 4.096766209520703 4.208287956376952],[ 188.99775873722177 195.6504852289788 195.9861002129256], [45.18017339706421]
[ 0.0 4.1026047968290325 4.201329137417208],[ 188.99240417441843 195.65552390180244 195.9694014952795], [45.26418876647949]
[ 0.0 4.108920907346899 4.193783234353673],[ 188.98827303800752 195.66220040402652 195.9532964712809], [45.34760332107544]
[ 0.0 4.1150055463248405 4.186369794686485],[ 188.9850368356097 195.67011396127964 195.93756650154054], [45.43166160583496]
[ 0.0 4.121297194888059 4.178713269868601],[ 188.98245025797755 195.67874169492504 195.92227157948986], [45.516014099121094]
[ 0.0 4.1297795288705395 4.170866700899986],[ 188.98034149381505 195.68788239955535 195.90730553224404], [45.59966778755188]
[ 0.0 4.138988385143809 4.164599330012705],[ 188.97885665152398 195.69839988767632 195.89279821340932], [45.68447709083557]
[ 0.0 4.1483300028823535 4.15689833762729],[ 188.97812910281542 195.71047442537963 195.8795045484323], [45.7690315246582]
[ 0.0 4.157662359434355 4.1500087134124435],[ 188.9777893827119 195.72357517165815 195.86650059831322], [45.85341835021973]
[ 0.0 10.356602592519419 0.0],[ 188.97786746048473 195.7375074188052 195.8541028197649], [45.937926054000854]
[ 0.0 4.753357218702732 1.9284762560157986],[ 190.31329860966335 199.2561289554299 195.5471486351362], [46.021631956100464]
[ 0.0 6.243398375436259 2.424166962377378],[ 189.7757658980745 198.56843584279738 194.50330090072904], [46.10613799095154]
[ 0.0 5.024805367279335 2.4508096171064793],[ 189.6405222478162 198.59623898577289 194.27744021130127], [46.19036889076233]
[ 0.0 5.278577051885062 2.307539485510659],[ 189.3705912496103 198.08736712402987 193.98877951648188], [46.274834394454956]
[ 0.0 5.388641602390113 2.4420598299271026],[ 189.17780893753755 197.79851678816772 193.71486159870278], [46.35884666442871]
[ 0.0 5.448140922621196 2.523539772837099],[ 189.05999909649427 197.67566127663747 193.56073481270602], [46.443422079086304]
