[2.22044605e-14 0.00000000e+00 1.00000000e+02], [1.0594537258148193]
[-4.58759549e-06  2.13271205e-06  1.00000001e+02], [2.021091938018799]
[-5.43040665e-06  2.61686537e-06  1.00000002e+02], [2.153135061264038]
[-5.28557891e-06  2.61336159e-06  1.00000001e+02], [2.2918612957000732]
[-4.87459885e-06  2.45437432e-06  1.00000001e+02], [2.4244308471679688]
[-4.73715048e-06  2.37643303e-06  1.00000001e+02], [2.5502357482910156]
[-4.75159848e-06  2.40080568e-06  1.00000001e+02], [2.686558246612549]
[-4.76998079e-06  2.43213482e-06  1.00000001e+02], [2.8177433013916016]
[-4.78258529e-06  2.45398819e-06  1.00000001e+02], [2.942643880844116]
[-4.79159162e-06  2.46960065e-06  1.00000001e+02], [3.074284315109253]
[-4.79822664e-06  2.48110238e-06  1.00000000e+02], [3.2020206451416016]
[-4.80313264e-06  2.48960711e-06  1.00000000e+02], [3.3301236629486084]
[-4.80675697e-06  2.49589009e-06  1.00000000e+02], [3.4547975063323975]
[-4.80943352e-06  2.50053007e-06  1.00000000e+02], [3.576162338256836]
[-4.81140999e-06  2.50395644e-06  1.00000000e+02], [3.6991167068481445]
[-4.81286944e-06  2.50648653e-06  1.00000000e+02], [3.8268685340881348]
[-4.81394704e-06  2.50835468e-06  1.00000000e+02], [3.971798896789551]
[-4.81474265e-06  2.50973397e-06  1.00000000e+02], [4.107995271682739]
[-4.81533002e-06  2.51075225e-06  1.00000000e+02], [4.237952470779419]
[-4.81576363e-06  2.51150398e-06  1.00000000e+02], [4.366755962371826]
[-4.81608372e-06  2.51205891e-06  1.00000000e+02], [4.48682975769043]
[-4.81631997e-06  2.51246849e-06  1.00000000e+02], [4.609465599060059]
[-4.81649435e-06  2.51277082e-06  1.00000000e+02], [4.735011100769043]
[-4.81662304e-06  2.51299392e-06  1.00000000e+02], [4.85644268989563]
[-4.81671800e-06  2.51315857e-06  1.00000000e+02], [4.983449459075928]
[-4.81678807e-06  2.51328005e-06  1.00000000e+02], [5.107739210128784]
[-4.81683978e-06  2.51336969e-06  1.00000000e+02], [5.23357367515564]
[-4.81687792e-06  2.51343583e-06  1.00000000e+02], [5.356287002563477]
[-4.81690606e-06  2.51348461e-06  1.00000000e+02], [5.4855797290802]
[-4.81692681e-06  2.51352060e-06  1.00000000e+02], [5.6060566902160645]
[-4.81694212e-06  2.51354715e-06  1.00000000e+02], [5.727401494979858]
[-4.81695341e-06  2.51356672e-06  1.00000000e+02], [5.867236852645874]
[-4.81696173e-06  2.51358115e-06  1.00000000e+02], [6.008322715759277]
[-4.81696788e-06  2.51359180e-06  1.00000000e+02], [6.145419359207153]
[-4.81697240e-06  2.51359963e-06  1.00000000e+02], [6.2703537940979]
[-4.81697573e-06  2.51360542e-06  1.00000000e+02], [6.405625343322754]
[-4.81697819e-06  2.51360969e-06  1.00000000e+02], [6.534343481063843]
[-4.81698001e-06  2.51361283e-06  1.00000000e+02], [6.661937952041626]
[-4.81698135e-06  2.51361515e-06  1.00000000e+02], [6.7878806591033936]
[-4.81698234e-06  2.51361687e-06  1.00000000e+02], [6.918530225753784]
