[1.1449174941446927e-14, 0.0, 51.5625], [1.060668706893921]
[-1.1013740572386125e-06, 6.748440105591324e-07, 51.56250111496024], [2.0231854915618896]
[-1.5133281407174962e-06, 8.745152553081755e-07, 51.56250141671984], [2.154867172241211]
[-1.5829377858278844e-06, 8.965154950508495e-07, 51.56250119206709], [2.293588161468506]
[-1.5188740229631637e-06, 8.516604038962063e-07, 51.56250089495067], [2.425722122192383]
[-1.5217111660344143e-06, 8.283257093118694e-07, 51.56250078724571], [2.5525636672973633]
[-1.5645084145042343e-06, 8.389244144386431e-07, 51.562500708447885], [2.687788248062134]
[-1.6009605770595943e-06, 8.524914594205101e-07, 51.56250061605555], [2.8197054862976074]
[-1.6282525679620583e-06, 8.625641844155182e-07, 51.56250054273926], [2.9443061351776123]
[-1.6484373909352964e-06, 8.698760449038769e-07, 51.562500488831226], [3.075666666030884]
[-1.663380086448338e-06, 8.752480257401392e-07, 51.56250044920685], [3.2032318115234375]
[-1.6744449072498402e-06, 8.792042210934402e-07, 51.562500419989334], [3.3312556743621826]
[-1.6826376200749293e-06, 8.821169284045565e-07, 51.5625003984365], [3.456153154373169]
[-1.6887036809693456e-06, 8.842609969036869e-07, 51.56250038254028], [3.5786995887756348]
[-1.6931952551352875e-06, 8.858392241720235e-07, 51.562500370817546], [3.701418161392212]
[-1.696521133494867e-06, 8.870009499926203e-07, 51.56250036217338], [3.828770875930786]
[-1.698983935527331e-06, 8.878560815695933e-07, 51.562500355799855], [3.973501205444336]
[-1.7008076994867597e-06, 8.884855281061135e-07, 51.562500351101], [4.109728574752808]
[-1.7021582891459482e-06, 8.889488506313676e-07, 51.56250034763711], [4.23966646194458]
[-1.703158507536692e-06, 8.892898953808267e-07, 51.56250034508389], [4.367868185043335]
[-1.7038992794760435e-06, 8.895409329981441e-07, 51.5625003432021], [4.488565444946289]
[-1.7044479183231199e-06, 8.897257063969643e-07, 51.562500341815316], [4.610848426818848]
[-1.7048542806787357e-06, 8.898617204131458e-07, 51.56250034079346], [4.7363808155059814]
[-1.7051552683263848e-06, 8.899618303598677e-07, 51.56250034004056], [4.858358860015869]
[-1.705378217312522e-06, 8.90035522438838e-07, 51.56250033948591], [4.9850780963897705]
[-1.7055433643917021e-06, 8.900897569181277e-07, 51.56250033907733], [5.108999967575073]
[-1.7056657076246574e-06, 8.901296819194093e-07, 51.56250033877642], [5.23520040512085]
[-1.7057563393206083e-06, 8.901590691373159e-07, 51.56250033855481], [5.357873916625977]
[-1.7058234816414985e-06, 8.901806972083503e-07, 51.562500338391644], [5.486807346343994]
[-1.7058732281815697e-06, 8.901966180535354e-07, 51.56250033827151], [5.607590675354004]
[-1.7059100851237872e-06, 8.902083362054971e-07, 51.56250033818308], [5.728868007659912]
[-1.7059373936145733e-06, 8.902169616318128e-07, 51.56250033811799], [5.868107795715332]
[-1.7059576237606356e-06, 8.902233043390383e-07, 51.562500338070095], [6.009501218795776]
[-1.7059726181906212e-06, 8.902279762226244e-07, 51.562500338034866], [6.146520614624023]
[-1.705983729014182e-06, 8.902314085268049e-07, 51.56250033800894], [6.271468877792358]
[-1.7059919635052459e-06, 8.9023393949126e-07, 51.562500337989874], [6.407261848449707]
[-1.7059980667046813e-06, 8.902358055903933e-07, 51.56250033797587], [6.535681486129761]
[-1.7060025887964982e-06, 8.902371757830706e-07, 51.56250033796555], [6.663074254989624]
[-1.7060059427769448e-06, 8.902381877696964e-07, 51.56250033795797], [6.788938045501709]
[-1.7060084289006966e-06, 8.902389346136264e-07, 51.562500337952414], [6.919588565826416]
