[  0.   0. 100.], [1.0598583221435547]
[4.67181577e-310 6.94190983e-310 1.58101007e-322], [2.0214829444885254]
[4.67182137e-310 4.67181581e-310 1.58101007e-322], [2.153399705886841]
[4.67182132e-310 4.67180863e-310 1.58101007e-322], [2.2922658920288086]
[4.67182126e-310 4.67181124e-310 1.58101007e-322], [2.424806833267212]
[4.67181169e-310 6.94190983e-310 1.58101007e-322], [2.5506622791290283]
[0.00000000e+000 4.67180863e-310 1.58101007e-322], [2.6867990493774414]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [2.8181614875793457]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [2.9429030418395996]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.074613571166992]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.202193021774292]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.3303475379943848]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.455059051513672]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.5765068531036377]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.6995177268981934]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.8273000717163086]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [3.9722628593444824]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.108379364013672]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.238178968429565]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.366946220397949]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.487115144729614]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.609680652618408]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.73529052734375]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.856707572937012]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [4.98373556137085]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [5.108116388320923]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [5.233968257904053]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [5.356573104858398]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [5.485875606536865]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [5.606331825256348]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [5.7276611328125]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [5.867383718490601]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.0086424350738525]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.1456170082092285]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.270561933517456]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.40582799911499]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.534539699554443]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.662165880203247]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.788041353225708]
[4.67180982e-310 0.00000000e+000 1.58101007e-322], [6.918746471405029]
