[0. 0. 0.], [0.9485869407653809]
[22.6  28.95 48.94], [17.928332328796387]
[22.23 29.29 48.92], [18.050011157989502]
[21.74 29.59 49.01], [18.170560836791992]
[21.26 30.18 48.81], [18.291112422943115]
[20.92 29.99 49.23], [18.412220239639282]
[20.4  30.53 49.09], [18.531993865966797]
[19.84 30.8  49.21], [18.654720544815063]
[19.32 31.12 49.26], [18.77157211303711]
[19.11 31.16 49.37], [18.88984489440918]
[18.67 31.8  49.03], [19.011600017547607]
[18.01 32.07 49.14], [19.12998914718628]
[17.25 32.32 49.3 ], [19.246796131134033]
[16.68 32.49 49.42], [19.364375352859497]
[16.25 32.61 49.53], [19.484249353408813]
[15.79 32.84 49.54], [19.613020420074463]
[14.94 33.14 49.62], [19.737454891204834]
[14.01 33.38 49.75], [19.856337308883667]
[13.88 33.43 49.82], [19.98003602027893]
[13.1  33.6  49.95], [20.09831690788269]
[12.33 33.76 50.1 ], [20.22401261329651]
[11.8  33.85 50.19], [20.342733144760132]
[11.48 34.02 50.16], [20.458921909332275]
[10.83 34.22 50.18], [20.577420711517334]
[10.11 34.38 50.25], [20.694632530212402]
[ 9.99 34.38 50.31], [20.811716318130493]
[ 9.06 34.61 50.33], [20.92826199531555]
[ 8.4  34.71 50.39], [21.04654574394226]
[ 7.99 34.8  50.43], [21.161288022994995]
[ 7.46 34.91 50.45], [21.282079219818115]
[ 6.47 35.08 50.48], [21.406951427459717]
[ 5.82 35.18 50.49], [21.52491044998169]
[ 4.96 35.31 50.49], [21.667810201644897]
[ 4.96 35.3  50.56], [21.805065393447876]
[ 4.03 35.41 50.6 ], [21.941631078720093]
[ 3.43 35.38 50.74], [22.078811407089233]
[ 3.18 35.29 50.92], [22.21691060066223]
[ 2.68 35.38 50.91], [22.350934743881226]
[ 1.61 35.57 50.73], [22.490219593048096]
[ 1.26 35.58 50.75], [22.630665063858032]
[ 0.35 35.67 50.7 ], [22.772839546203613]
[-0.39 35.72 50.67], [22.909782648086548]
[-1.14 35.79 50.6 ], [23.052018404006958]
[-1.3  35.88 50.52], [23.189697980880737]
[-2.14 35.97 50.42], [23.316578149795532]
[-2.4  35.88 50.55], [23.43451499938965]
[-3.09 35.79 50.65], [23.552983045578003]
[-3.53 35.73 50.73], [23.669267416000366]
[-4.05 35.65 50.81], [23.79171633720398]
[-4.27 35.65 50.82], [23.91821265220642]
[-5.25 35.67 50.71], [24.039255380630493]
[-5.57 35.68 50.67], [24.155745267868042]
[-6.36 35.69 50.56], [24.274351596832275]
[-6.97 35.69 50.48], [24.396783113479614]
[-7.83 35.74 50.27], [24.515127182006836]
[-7.9  35.73 50.31], [24.635685682296753]
[-8.86 35.68 50.17], [24.75294542312622]
[-9.39 35.66 50.1 ], [24.87037467956543]
[-9.41 35.62 50.18], [24.987272262573242]
[-10.39  35.53  50.06], [25.104653120040894]
[-10.52  35.48  50.11], [25.221999645233154]
[-11.39  35.38  50.02], [25.34117341041565]
[-11.76  35.29  50.05], [25.461394786834717]
[-12.45  35.21  49.97], [25.57976269721985]
[-12.55  34.98  50.24], [25.704001665115356]
[-13.4   34.83  50.16], [25.831225395202637]
[-13.56  34.66  50.34], [25.946417331695557]
[-14.43  34.6   50.13], [26.108826875686646]
[-14.96  34.49  50.07], [26.233198404312134]
[-15.92  34.39  49.83], [26.36059308052063]
[-16.11  34.35  49.84], [26.493472814559937]
[-16.17  34.18  50.04], [26.643450021743774]
[-16.01  33.9   50.5 ], [26.796817302703857]
[-15.36  32.6   52.3 ], [26.923786163330078]
[-13.47  29.61  56.09], [27.0525119304657]
[-11.87  26.64  59.34], [27.17347526550293]
[-8.41 20.24 64.96], [27.299631595611572]
[-22.79 -37.8   51.72], [27.419420957565308]
[-6.04 30.91 60.71], [27.542170763015747]
[-19.05 -52.51  31.8 ], [27.66364049911499]
[-12.95  46.67  37.04], [27.787270545959473]
