[1.42108547e-14 0.00000000e+00 5.50000000e+01], [40.23655104637146]
[9.89502750e+00 5.03700365e-05 5.59571516e+01], [48.817161083221436]
[9.89506583e+00 7.38116747e-05 5.59566621e+01], [48.90030264854431]
[9.89509614e+00 9.16069601e-05 5.59562756e+01], [48.984851121902466]
[9.89512011e+00 1.05055353e-04 5.59559702e+01], [49.069682359695435]
[9.89513907e+00 1.15174243e-04 5.59557289e+01], [49.15359020233154]
[10.40897152 -4.67697227 56.02251517], [49.23768758773804]
[ 9.91267753 -5.10287965 55.87869583], [49.3218138217926]
[ 9.89547192 -5.09996701 55.83949165], [49.40559911727905]
[ 9.89915678 -5.09222285 55.79089027], [49.48922419548035]
[ 9.90152082 -5.08701235 55.75292311], [49.57401251792908]
[ 9.90303728 -5.08312922 55.72498827], [49.65798234939575]
[ 9.90406701 -5.08020703 55.70459753], [49.74239420890808]
[ 9.90464046 -5.07799647 55.68975483], [49.826372146606445]
[ 9.90503699 -5.07634025 55.67897709], [49.91055107116699]
[ 9.90532018 -5.07509905 55.67114978], [49.99487781524658]
[ 9.90552654 -5.07416781 55.66545891], [50.078465700149536]
[ 9.90568064 -5.07346766 55.6613098 ], [50.16197657585144]
[ 9.90579886 -5.07293967 55.65827031], [50.24727392196655]
[ 9.90589205 -5.07253991 55.65602835], [50.33193349838257]
[ 9.90596739 -5.0722358  55.65435967], [50.41679000854492]
[ 9.90602964 -5.07200313 55.65310397], [50.501216650009155]
[ 9.90608194 -5.07182403 55.65214702], [50.58511829376221]
[ 9.90612641 -5.07168522 55.6514077 ], [50.67447280883789]
[ 9.90616452 -5.07157689 55.65082842], [50.7647659778595]
[ 9.90619729 -5.07149176 55.65036826], [50.848920822143555]
[ 9.90622552 -5.07142441 55.64999805], [50.933260917663574]
[ 9.90624981 -5.07137076 55.64969688], [51.01685857772827]
[ 9.90627065 -5.0713278  55.64944958], [51.100839376449585]
[ 9.90628847 -5.0712932  55.64924503], [51.18485760688782]
[ 9.90630366 -5.07126522 55.64907493], [51.268871545791626]
[10.20790961 -9.82930981 55.4580354 ], [51.35311031341553]
[  9.93109581 -10.05144268  55.24761028], [51.436290979385376]
[  9.92666049 -10.01862959  55.13352193], [51.5190167427063]
[ 9.93164656 -9.99358452 55.03611937], [51.60241103172302]
[ 9.9345281  -9.975503   54.96361343], [51.68673753738403]
[ 9.93638722 -9.9624362  54.9108684 ], [51.77089715003967]
[ 9.93792912 -9.95310744 54.87271629], [51.854419231414795]
[ 9.93913923 -9.946459   54.84522267], [51.937885999679565]
[ 9.9400209  -9.94172137 54.82547309], [52.02099680900574]
[ 9.93991495 -9.93959789 54.81648597], [52.103342056274414]
[ 9.93946643 -9.93922784 54.81478317], [52.18680763244629]
[ 9.93937194 -9.93919553 54.81445119], [52.27036452293396]
[ 9.93935186 -9.93922135 54.8143905 ], [52.35450720787048]
[ 9.93934659 -9.93925071 54.81437994], [52.43877625465393]
[ 9.93934452 -9.93927449 54.81437655], [52.52155089378357]
[ 9.93934331 -9.93929237 54.81437285], [52.605403900146484]
[ 9.93934243 -9.93930543 54.81436813], [52.689353704452515]
[ 9.93934177 -9.93931482 54.81436278], [52.773199796676636]
[ 9.93934125 -9.93932147 54.81435725], [52.85725927352905]
[ 9.93934085 -9.9393261  54.81435186], [52.9414176940918]
[ 9.93934053 -9.93932927 54.81434683], [53.024821519851685]
[ 9.93934029 -9.93933139 54.81434225], [53.107194900512695]
[ 9.9393401  -9.93933277 54.81433819], [53.19136428833008]
[ 9.93933995 -9.93933363 54.81433465], [53.274582624435425]
[ 9.93933984 -9.93933415 54.8143316 ], [53.357062339782715]
