[ 10. -10.  55.], [51.35365962982178]
[ 10. -10.  55.], [51.43658256530762]
[ 10. -10.  55.], [51.51927137374878]
[ 10. -10.  55.], [51.60309290885925]
[ 10. -10.  55.], [51.68737554550171]
[ 10. -10.  55.], [51.771240234375]
[ 10. -10.  55.], [51.85471320152283]
[ 10. -10.  55.], [51.938467502593994]
[ 10. -10.  55.], [52.021498680114746]
[ 10. -10.  55.], [52.10384964942932]
[ 10. -10.  55.], [52.187379121780396]
[ 10. -10.  55.], [52.270994901657104]
[ 10. -10.  55.], [52.35505294799805]
[ 10. -10.  55.], [52.43923997879028]
[ 10. -10.  55.], [52.522090435028076]
[ 10. -10.  55.], [52.60585570335388]
[ 10. -10.  55.], [52.68968152999878]
[ 10. -10.  55.], [52.77364706993103]
[ 10. -10.  55.], [52.85771083831787]
[ 10. -10.  55.], [52.94193887710571]
[ 10. -10.  55.], [53.02523875236511]
[ 10. -10.  55.], [53.1075918674469]
[ 10. -10.  55.], [53.19186353683472]
[ 10. -10.  55.], [53.27509355545044]
[ 10. -10.  55.], [53.357586145401]
[  5. -10.  55.], [53.44055223464966]
[  5. -10.  55.], [53.52457046508789]
[  5. -10.  55.], [53.60932111740112]
[  5. -10.  55.], [53.693036794662476]
[  5. -10.  55.], [53.776719093322754]
[  5. -10.  55.], [53.86122465133667]
[  5. -10.  55.], [53.945255517959595]
[  5. -10.  55.], [54.02994227409363]
[  5. -10.  55.], [54.11329889297485]
[  5. -10.  55.], [54.197043895721436]
[  5. -10.  55.], [54.28128719329834]
[  5. -10.  55.], [54.36460638046265]
[  5. -10.  55.], [54.44847369194031]
[  5. -10.  55.], [54.53240442276001]
[  5. -10.  55.], [54.61609482765198]
[  5. -10.  55.], [54.700347900390625]
[  5. -10.  55.], [54.784340143203735]
[  5. -10.  55.], [54.86796569824219]
[  5. -10.  55.], [54.951534271240234]
[  5. -10.  55.], [55.034613370895386]
[  5. -10.  55.], [55.11798071861267]
[  5. -10.  55.], [55.20100283622742]
[  5. -10.  55.], [55.2843918800354]
[  5. -10.  55.], [55.367777824401855]
[  5. -10.  55.], [55.45218205451965]
[ 5. -5. 55.], [55.535547494888306]
[ 5. -5. 55.], [55.61951565742493]
[ 5. -5. 55.], [55.70345497131348]
[ 5. -5. 55.], [55.78690767288208]
[ 5. -5. 55.], [55.869956970214844]
[ 5. -5. 55.], [55.95324420928955]
[ 5. -5. 55.], [56.03696060180664]
[ 5. -5. 55.], [56.120529890060425]
[ 5. -5. 55.], [56.20407295227051]
[ 5. -5. 55.], [56.286956548690796]
[ 5. -5. 55.], [56.37099862098694]
[ 5. -5. 55.], [56.454575538635254]
[ 5. -5. 55.], [56.53872036933899]
[ 5. -5. 55.], [56.62242794036865]
[ 5. -5. 55.], [56.70611906051636]
[ 5. -5. 55.], [56.78940534591675]
[ 5. -5. 55.], [56.87331295013428]
[ 5. -5. 55.], [56.95639371871948]
[ 5. -5. 55.], [57.03987431526184]
[ 5. -5. 55.], [57.12293100357056]
[ 5. -5. 55.], [57.20641827583313]
[ 5. -5. 55.], [57.29167580604553]
[ 5. -5. 55.], [57.37454128265381]
[ 5. -5. 55.], [57.457916259765625]
[ 5. -5. 55.], [57.54176092147827]
[ 5.  0. 55.], [57.62473273277283]
[ 5.  0. 55.], [57.70757746696472]
[ 5.  0. 55.], [57.79113793373108]
[ 5.  0. 55.], [57.87459874153137]
[ 5.  0. 55.], [57.95747351646423]
[ 5.  0. 55.], [58.041027307510376]
[ 5.  0. 55.], [58.12482690811157]
[ 5.  0. 55.], [58.20934748649597]
[ 5.  0. 55.], [58.293126821517944]
[ 5.  0. 55.], [58.37743782997131]
[ 5.  0. 55.], [58.46134853363037]
[ 5.  0. 55.], [58.54525923728943]
[ 5.  0. 55.], [58.629483699798584]
[ 5.  0. 55.], [58.71245622634888]
[ 5.  0. 55.], [58.79574227333069]
[ 5.  0. 55.], [58.880271911621094]
[ 5.  0. 55.], [58.963632583618164]
[ 5.  0. 55.], [59.04857778549194]
[ 5.  0. 55.], [59.13323664665222]
[ 5.  0. 55.], [59.21717023849487]
[ 5.  0. 55.], [59.30191683769226]
[ 5.  0. 55.], [59.38609719276428]
[ 5.  0. 55.], [59.47049593925476]
[ 5.  0. 55.], [59.55505633354187]
[ 5.  0. 55.], [59.63897728919983]
[ 0.  0. 55.], [59.72349810600281]
[ 0.  0. 55.], [59.808204889297485]
[ 0.  0. 55.], [59.892322301864624]
[ 0.  0. 55.], [59.97551441192627]
[ 0.  0. 55.], [60.05930829048157]
[ 0.  0. 55.], [60.142980337142944]
[ 0.  0. 55.], [60.22550320625305]
[ 0.  0. 55.], [60.3094003200531]
[ 0.  0. 55.], [60.3923180103302]
[ 0.  0. 55.], [60.47516846656799]
[ 0.  0. 55.], [60.558218479156494]
[ 0.  0. 55.], [60.64214825630188]
[ 0.  0. 55.], [60.72548007965088]
[ 0.  0. 55.], [60.80883979797363]
[ 0.  0. 55.], [60.89266395568848]
[ 0.  0. 55.], [60.975011348724365]
[ 0.  0. 55.], [61.058571577072144]
[ 0.  0. 55.], [61.1410973072052]
[ 0.  0. 55.], [61.22408175468445]
[ 0.  0. 55.], [61.307183027267456]
[ 0.  0. 55.], [61.38940072059631]
[ 0.  0. 55.], [61.471391439437866]
[ 0.  0. 55.], [61.554173946380615]
[ 0.  0. 55.], [61.637962341308594]
[ 0.  0. 55.], [61.720579624176025]
[ 0.  0. 60.], [61.80350136756897]
[ 0.  0. 60.], [61.88571739196777]
[ 0.  0. 60.], [61.96890735626221]
[ 0.  0. 60.], [62.05226469039917]
[ 0.  0. 60.], [62.13516163825989]
[ 0.  0. 60.], [62.21756148338318]
[ 0.  0. 60.], [62.30086326599121]
[ 0.  0. 60.], [62.389634132385254]
[ 0.  0. 60.], [62.47295308113098]
[ 0.  0. 60.], [62.55569911003113]
[ 0.  0. 60.], [62.63944745063782]
[ 0.  0. 60.], [62.72222709655762]
[ 0.  0. 60.], [62.80563998222351]
[ 0.  0. 60.], [62.88831329345703]
[ 0.  0. 60.], [62.97192883491516]
[ 0.  0. 60.], [63.0547091960907]
[ 0.  0. 60.], [63.13772988319397]
[ 0.  0. 60.], [63.22114562988281]
[ 0.  0. 60.], [63.30497765541077]
[ 0.  0. 60.], [63.38817596435547]
[ 0.  0. 60.], [63.47115612030029]
[ 0.  0. 60.], [63.55486464500427]
[ 0.  0. 60.], [63.637778997421265]
[ 0.  0. 60.], [63.720187187194824]
[ 0.  0. 60.], [63.803447246551514]
[-5.  5. 60.], [63.88672924041748]
[-5.  5. 60.], [63.9701509475708]
[-5.  5. 60.], [64.05405616760254]
[-5.  5. 60.], [64.13427782058716]
[-5.  5. 60.], [64.21359252929688]
[-5.  5. 60.], [64.29651474952698]
[-5.  5. 60.], [64.3802661895752]
[-5.  5. 60.], [64.4645836353302]
[-5.  5. 60.], [64.54732060432434]
[-5.  5. 60.], [64.6308364868164]
[-5.  5. 60.], [64.71481323242188]
[-5.  5. 60.], [64.79876685142517]
[-5.  5. 60.], [64.88281345367432]
[-5.  5. 60.], [64.96687579154968]
[-5.  5. 60.], [65.05129265785217]
[-5.  5. 60.], [65.13482594490051]
[-5.  5. 60.], [65.21859216690063]
[-5.  5. 60.], [65.30311942100525]
[-5.  5. 60.], [65.38734817504883]
[-5.  5. 60.], [65.47085881233215]
[-5.  5. 60.], [65.55483484268188]
[-5.  5. 60.], [65.63951182365417]
[-5.  5. 60.], [65.72446203231812]
[-5.  5. 60.], [65.80865478515625]
[-5.  5. 60.], [65.89292645454407]
[-10.  10.  60.], [65.97700929641724]
[-10.  10.  60.], [66.0614857673645]
[-10.  10.  60.], [66.14560031890869]
[-10.  10.  60.], [66.22935199737549]
[-10.  10.  60.], [66.31349563598633]
[-10.  10.  60.], [66.39774894714355]
[-10.  10.  60.], [66.48093390464783]
[-10.  10.  60.], [66.56525778770447]
[-10.  10.  60.], [66.64951992034912]
[-10.  10.  60.], [66.73336887359619]
[-10.  10.  60.], [66.81730008125305]
[-10.  10.  60.], [66.90119743347168]
[-10.  10.  60.], [66.98593974113464]
[-10.  10.  60.], [67.06962561607361]
[-10.  10.  60.], [67.15330338478088]
[-10.  10.  60.], [67.23650884628296]
[-10.  10.  60.], [67.32050704956055]
[-10.  10.  60.], [67.40399932861328]
[-10.  10.  60.], [67.48759198188782]
[-10.  10.  60.], [67.57117486000061]
[-10.  10.  60.], [67.65465354919434]
[-10.  10.  60.], [67.73842477798462]
[-10.  10.  60.], [67.82291793823242]
[-10.  10.  60.], [67.90643215179443]
[-10.  10.  60.], [67.98975896835327]
[-10.   5.  60.], [68.07389044761658]
[-10.   5.  60.], [68.15778422355652]
[-10.   5.  60.], [68.2428126335144]
[-10.   5.  60.], [68.32708764076233]
[-10.   5.  60.], [68.41100978851318]
[-10.   5.  60.], [68.49502825737]
[-10.   5.  60.], [68.57910299301147]
[-10.   5.  60.], [68.66288208961487]
[-10.   5.  60.], [68.74663257598877]
[-10.   5.  60.], [68.83042645454407]
[-10.   5.  60.], [68.91429853439331]
[-10.   5.  60.], [68.99732732772827]
[-10.   5.  60.], [69.08223581314087]
[-10.   5.  60.], [69.16636109352112]
[-10.   5.  60.], [69.2505247592926]
[-10.   5.  60.], [69.33435153961182]
[-10.   5.  60.], [69.41842031478882]
[-10.   5.  60.], [69.50201392173767]
[-10.   5.  60.], [69.58510184288025]
[-10.   5.  60.], [69.66967272758484]
[-10.   5.  60.], [69.75298047065735]
[-10.   5.  60.], [69.83705019950867]
[-10.   5.  60.], [69.92050552368164]
[-10.   5.  60.], [70.00389957427979]
[-10.   5.  60.], [70.08695030212402]
[-10.   0.  60.], [70.17060112953186]
[-10.   0.  60.], [70.25414061546326]
[-10.   0.  60.], [70.33783507347107]
[-10.   0.  60.], [70.42058825492859]
[-10.   0.  60.], [70.50370407104492]
[-10.   0.  60.], [70.5872106552124]
[-10.   0.  60.], [70.6707558631897]
[-10.   0.  60.], [70.75486516952515]
[-10.   0.  60.], [70.83941841125488]
[-10.   0.  60.], [70.92314004898071]
[-10.   0.  60.], [71.00653743743896]
[-10.   0.  60.], [71.09000563621521]
[-10.   0.  60.], [71.17407536506653]
[-10.   0.  60.], [71.25774669647217]
[-10.   0.  60.], [71.34199786186218]
[-10.   0.  60.], [71.42581343650818]
[-10.   0.  60.], [71.51021265983582]
[-10.   0.  60.], [71.59505939483643]
[-10.   0.  60.], [71.67915654182434]
[-10.   0.  60.], [71.763174533844]
[-10.   0.  60.], [71.8480236530304]
[-10.   0.  60.], [71.9322440624237]
[-10.   0.  60.], [72.0162296295166]
[-10.   0.  60.], [72.09968900680542]
[-10.   0.  60.], [72.18288731575012]
[-10.  -5.  60.], [72.266934633255]
[-10.  -5.  60.], [72.35039806365967]
[-10.  -5.  60.], [72.43447828292847]
[-10.  -5.  60.], [72.51780009269714]
[-10.  -5.  60.], [72.60094738006592]
[-10.  -5.  60.], [72.68345022201538]
[-10.  -5.  60.], [72.76783585548401]
[-10.  -5.  60.], [72.85254621505737]
[-10.  -5.  60.], [72.93632173538208]
[-10.  -5.  60.], [73.02077221870422]
[-10.  -5.  60.], [73.10352230072021]
[-10.  -5.  60.], [73.18746662139893]
[-10.  -5.  60.], [73.27149271965027]
[-10.  -5.  60.], [73.35422205924988]
[-10.  -5.  60.], [73.4382107257843]
[-10.  -5.  60.], [73.52188849449158]
[-10.  -5.  60.], [73.6065046787262]
[-10.  -5.  60.], [73.68982911109924]
[-10.  -5.  60.], [73.77472472190857]
[-10.  -5.  60.], [73.85896110534668]
[-10.  -5.  60.], [73.94202995300293]
[-10.  -5.  60.], [74.02491307258606]
[-10.  -5.  60.], [74.10966992378235]
[-10.  -5.  60.], [74.19411373138428]
[-10.  -5.  60.], [74.27833962440491]
[-10. -10.  60.], [74.36114120483398]
[-10. -10.  60.], [74.4443051815033]
[-10. -10.  60.], [74.52755856513977]
[-10. -10.  60.], [74.6122829914093]
[-10. -10.  60.], [74.69535064697266]
[-10. -10.  60.], [74.77919411659241]
[-10. -10.  60.], [74.86238312721252]
[-10. -10.  60.], [74.945547580719]
[-10. -10.  60.], [75.02893495559692]
[-10. -10.  60.], [75.11364579200745]
[-10. -10.  60.], [75.1986186504364]
[-10. -10.  60.], [75.28355407714844]
[-10. -10.  60.], [75.36826252937317]
[-10. -10.  60.], [75.45278787612915]
[-10. -10.  60.], [75.53636884689331]
[-10. -10.  60.], [75.62063908576965]
[-10. -10.  60.], [75.70530796051025]
[-10. -10.  60.], [75.78972220420837]
[-10. -10.  60.], [75.87328696250916]
[-10. -10.  60.], [75.9589102268219]
[-10. -10.  60.], [76.04298257827759]
[-10. -10.  60.], [76.12694454193115]
[-10. -10.  60.], [76.211097240448]
[-10. -10.  60.], [76.29594087600708]
[-10. -10.  60.], [76.37926030158997]
[ -5. -10.  60.], [76.46379685401917]
[ -5. -10.  60.], [76.5474271774292]
[ -5. -10.  60.], [76.63164043426514]
[ -5. -10.  60.], [76.71418905258179]
[ -5. -10.  60.], [76.79847121238708]
[ -5. -10.  60.], [76.8819489479065]
[ -5. -10.  60.], [76.96585369110107]
[ -5. -10.  60.], [77.05007100105286]
[ -5. -10.  60.], [77.1346685886383]
[ -5. -10.  60.], [77.21816325187683]
[ -5. -10.  60.], [77.30175018310547]
[ -5. -10.  60.], [77.38512325286865]
[ -5. -10.  60.], [77.46939873695374]
[ -5. -10.  60.], [77.55225849151611]
[ -5. -10.  60.], [77.63657784461975]
[ -5. -10.  60.], [77.72034049034119]
[ -5. -10.  60.], [77.80407857894897]
[ -5. -10.  60.], [77.88752174377441]
[ -5. -10.  60.], [77.97193050384521]
[ -5. -10.  60.], [78.05550289154053]
[ -5. -10.  60.], [78.1388852596283]
[ -5. -10.  60.], [78.2221326828003]
[ -5. -10.  60.], [78.3055648803711]
[ -5. -10.  60.], [78.38950157165527]
[ -5. -10.  60.], [78.47329139709473]
[-5. -5. 60.], [78.5573194026947]
[-5. -5. 60.], [78.64152312278748]
[-5. -5. 60.], [78.72537732124329]
[-5. -5. 60.], [78.80937194824219]
[-5. -5. 60.], [78.89379644393921]
[-5. -5. 60.], [78.97686004638672]
[-5. -5. 60.], [79.06013870239258]
[-5. -5. 60.], [79.14402031898499]
[-5. -5. 60.], [79.22721290588379]
[-5. -5. 60.], [79.3118965625763]
[-5. -5. 60.], [79.39509177207947]
[-5. -5. 60.], [79.47871589660645]
[-5. -5. 60.], [79.56286096572876]
[-5. -5. 60.], [79.6481728553772]
[-5. -5. 60.], [79.73242092132568]
[-5. -5. 60.], [79.82190227508545]
[-5. -5. 60.], [79.91160106658936]
[-5. -5. 60.], [80.00032591819763]
[-5. -5. 60.], [80.08365774154663]
[-5. -5. 60.], [80.16685485839844]
[-5. -5. 60.], [80.25076246261597]
[-5. -5. 60.], [80.33507680892944]
[-5. -5. 60.], [80.41977334022522]
[-5. -5. 60.], [80.50416469573975]
[-5. -5. 60.], [80.58799505233765]
[-5.  0. 60.], [80.67170715332031]
[-5.  0. 60.], [80.755606174469]
[-5.  0. 60.], [80.83966946601868]
[-5.  0. 60.], [80.92379522323608]
[-5.  0. 60.], [81.00757670402527]
[-5.  0. 60.], [81.09234523773193]
[-5.  0. 60.], [81.17613792419434]
[-5.  0. 60.], [81.26031446456909]
[-5.  0. 60.], [81.3441653251648]
[-5.  0. 60.], [81.4272096157074]
[-5.  0. 60.], [81.50993967056274]
[-5.  0. 60.], [81.5938549041748]
[-5.  0. 60.], [81.67774844169617]
[-5.  0. 60.], [81.76125645637512]
[-5.  0. 60.], [81.84571313858032]
[-5.  0. 60.], [81.92929720878601]
[-5.  0. 60.], [82.01330924034119]
[-5.  0. 60.], [82.09763979911804]
[-5.  0. 60.], [82.18112778663635]
[-5.  0. 60.], [82.26616024971008]
[-5.  0. 60.], [82.3508665561676]
[-5.  0. 60.], [82.43528985977173]
[-5.  0. 60.], [82.51947569847107]
[-5.  0. 60.], [82.60336375236511]
[-5.  0. 60.], [82.68703603744507]
[ 0.  0. 60.], [82.77092003822327]
[ 0.  0. 60.], [82.85511445999146]
[ 0.  0. 60.], [82.9398307800293]
[ 0.  0. 60.], [83.02325201034546]
[ 0.  0. 60.], [83.10761022567749]
[ 0.  0. 60.], [83.19115710258484]
[ 0.  0. 60.], [83.27514600753784]
[ 0.  0. 60.], [83.35906863212585]
[ 0.  0. 60.], [83.44260263442993]
[ 0.  0. 60.], [83.52498865127563]
[ 0.  0. 60.], [83.60883402824402]
[ 0.  0. 60.], [83.69247651100159]
[ 0.  0. 60.], [83.77581906318665]
[ 0.  0. 60.], [83.86010122299194]
[ 0.  0. 60.], [83.94421792030334]
[ 0.  0. 60.], [84.02722430229187]
[ 0.  0. 60.], [84.11055135726929]
[ 0.  0. 60.], [84.1947250366211]
[ 0.  0. 60.], [84.27875518798828]
[ 0.  0. 60.], [84.36214923858643]
[ 0.  0. 60.], [84.44659113883972]
[ 0.  0. 60.], [84.52984309196472]
[ 0.  0. 60.], [84.61349606513977]
[ 0.  0. 60.], [84.6978828907013]
[ 0.  0. 60.], [84.78205704689026]
[ 0.  0. 55.], [84.86520648002625]
[ 0.  0. 55.], [84.9488754272461]
[ 0.  0. 55.], [85.03293967247009]
[ 0.  0. 55.], [85.11584830284119]
[ 0.  0. 55.], [85.19866251945496]
[ 0.  0. 55.], [85.28155326843262]
[ 0.  0. 55.], [85.36454439163208]
[ 0.  0. 55.], [85.44688630104065]
[ 0.  0. 55.], [85.52964115142822]
[ 0.  0. 55.], [85.61197710037231]
[ 0.  0. 55.], [85.69412422180176]
[ 0.  0. 55.], [85.77751851081848]
[ 0.  0. 55.], [85.86126518249512]
[ 0.  0. 55.], [85.94401383399963]
[ 0.  0. 55.], [86.02621102333069]
[ 0.  0. 55.], [86.10855054855347]
[ 0.  0. 55.], [86.19103693962097]
[ 0.  0. 55.], [86.2738778591156]
[ 0.  0. 55.], [86.35662364959717]
[ 0.  0. 55.], [86.43823480606079]
[ 0.  0. 55.], [86.5204267501831]
[ 0.  0. 55.], [86.60312056541443]
[ 0.  0. 55.], [86.68571543693542]
[ 0.  0. 55.], [86.76938891410828]
[ 0.  0. 55.], [86.85142540931702]
[ 5.  5. 55.], [86.93460178375244]
[ 5.  5. 55.], [87.01735019683838]
[ 5.  5. 55.], [87.10093212127686]
[ 5.  5. 55.], [87.18467378616333]
[ 5.  5. 55.], [87.26807737350464]
[ 5.  5. 55.], [87.35089635848999]
[ 5.  5. 55.], [87.43422174453735]
[ 5.  5. 55.], [87.5183334350586]
[ 5.  5. 55.], [87.60180568695068]
[ 5.  5. 55.], [87.68548655509949]
[ 5.  5. 55.], [87.7692985534668]
[ 5.  5. 55.], [87.85324907302856]
