[1.11022302e-14 0.00000000e+00 5.00000000e+01], [1.4206748008728027]
[-1.12149091e-06  6.68261516e-07  5.00000012e+01], [1.9058315753936768]
[-1.52983270e-06  8.67093989e-07  5.00000015e+01], [2.0063788890838623]
[-1.57602094e-06  8.79876817e-07  5.00000013e+01], [2.100604772567749]
[-1.49021795e-06  8.26684569e-07  5.00000009e+01], [2.2010836601257324]
[-1.47333284e-06  7.95525660e-07  5.00000008e+01], [2.294693946838379]
[-1.50159996e-06  7.99803754e-07  5.00000008e+01], [2.393188238143921]
[-1.52810286e-06  8.09259002e-07  5.00000007e+01], [2.4878909587860107]
[-1.54802898e-06  8.16406540e-07  5.00000006e+01], [2.5930421352386475]
[-1.56272704e-06  8.21542094e-07  5.00000005e+01], [2.693856954574585]
[-1.57358759e-06  8.25295896e-07  5.00000005e+01], [2.7947046756744385]
[-1.58161729e-06  8.28051911e-07  5.00000004e+01], [2.8922693729400635]
[-1.58755346e-06  8.30074810e-07  5.00000004e+01], [2.985443115234375]
[-1.59194166e-06  8.31559066e-07  5.00000004e+01], [3.075160026550293]
[-1.59518550e-06  8.32647948e-07  5.00000004e+01], [3.1711230278015137]
[-1.59758341e-06  8.33446701e-07  5.00000004e+01], [3.2675774097442627]
[-1.59935600e-06  8.34032573e-07  5.00000004e+01], [3.364943027496338]
[-1.60066632e-06  8.34462248e-07  5.00000004e+01], [3.483764171600342]
[-1.60163492e-06  8.34777331e-07  5.00000004e+01], [3.5834624767303467]
[-1.60235093e-06  8.35008367e-07  5.00000004e+01], [3.695330858230591]
[-1.60288020e-06  8.35177740e-07  5.00000004e+01], [3.8036692142486572]
[-1.60327144e-06  8.35301900e-07  5.00000004e+01], [3.908412218093872]
[-1.60356065e-06  8.35392902e-07  5.00000004e+01], [4.0025317668914795]
[-1.60377444e-06  8.35459599e-07  5.00000004e+01], [4.110909938812256]
[-1.60393247e-06  8.35508471e-07  5.00000004e+01], [4.204094409942627]
[-1.60404928e-06  8.35544273e-07  5.00000004e+01], [4.296657085418701]
[-1.60413563e-06  8.35570503e-07  5.00000004e+01], [4.3888208866119385]
[-1.60419946e-06  8.35589718e-07  5.00000004e+01], [4.484220743179321]
[-1.60424664e-06  8.35603785e-07  5.00000004e+01], [4.574479579925537]
[-1.60428151e-06  8.35614085e-07  5.00000004e+01], [4.675605297088623]
[-1.60430729e-06  8.35621626e-07  5.00000004e+01], [4.770886421203613]
[-1.60432635e-06  8.35627151e-07  5.00000004e+01], [4.864872932434082]
[-1.60434043e-06  8.35631191e-07  5.00000004e+01], [4.960610628128052]
[-1.60435085e-06  8.35634152e-07  5.00000004e+01], [5.053225040435791]
[-1.60435854e-06  8.35636314e-07  5.00000004e+01], [5.144197463989258]
[-1.60436423e-06  8.35637897e-07  5.00000004e+01], [5.235215663909912]
[-1.60436844e-06  8.35639054e-07  5.00000004e+01], [5.326707124710083]
[-1.60437155e-06  8.35639905e-07  5.00000004e+01], [5.416996955871582]
[-1.60437385e-06  8.35640524e-07  5.00000004e+01], [5.506720066070557]
[-1.60437555e-06  8.35640977e-07  5.00000004e+01], [5.596274375915527]
[-1.60437680e-06  8.35641306e-07  5.00000004e+01], [5.685227155685425]
[-1.60437773e-06  8.35641545e-07  5.00000004e+01], [5.776417016983032]
[-1.60437841e-06  8.35641723e-07  5.00000004e+01], [5.878873109817505]
[-1.60437892e-06  8.35641850e-07  5.00000004e+01], [5.973167181015015]
[-1.60437929e-06  8.35641933e-07  5.00000004e+01], [6.071441173553467]
[-1.60437957e-06  8.35642008e-07  5.00000004e+01], [6.1667444705963135]
[-1.60437977e-06  8.35642058e-07  5.00000004e+01], [6.261104106903076]
[-1.60437993e-06  8.35642100e-07  5.00000004e+01], [6.351153135299683]
[-1.60438004e-06  8.35642127e-07  5.00000004e+01], [6.444563150405884]
