[0. 0. 0.], [31.765079498291016]
[ 2.000e-02 -2.000e-02  5.502e+01], [32.37243413925171]
[ 3.000e-02 -1.000e-02  5.502e+01], [32.457645893096924]
[ 3.000e-02 -1.000e-02  5.503e+01], [32.54180836677551]
[ 1.000e-02 -1.000e-02  5.502e+01], [32.62614822387695]
[ 2.000e-02 -2.000e-02  5.501e+01], [32.709829330444336]
[1.000e-02 3.000e-02 5.505e+01], [32.79336404800415]
[ 2.900e-01 -1.000e-02  5.508e+01], [32.87741017341614]
[ 0.19 -0.07 55.03], [32.961562395095825]
[2.200e-01 5.000e-02 5.506e+01], [33.04487872123718]
[ 0.21  0.11 55.08], [33.127840518951416]
[ 0.23  0.12 55.09], [33.211448431015015]
[ 0.23  0.11 55.1 ], [33.29462671279907]
[ 0.25  0.09 55.09], [33.37870979309082]
[ 0.25  0.1  55.09], [33.46185350418091]
[ 0.25  0.11 55.08], [33.54446291923523]
[ 0.27  0.14 55.1 ], [33.6284339427948]
[ 0.28  0.13 55.09], [33.71212720870972]
[ 0.29  0.11 55.1 ], [33.7961642742157]
[ 0.33  0.1  55.1 ], [33.87942314147949]
[ 0.38  0.1  55.12], [33.963300943374634]
[ 0.42  0.11 55.14], [34.047202825546265]
[ 0.46  0.11 55.14], [34.13121581077576]
[ 0.49  0.11 55.15], [34.21560502052307]
[ 0.52  0.11 55.15], [34.30049538612366]
[ 0.54  0.09 55.15], [34.38499069213867]
[ 0.57  0.1  55.15], [34.468653202056885]
[ 0.64  0.1  55.17], [34.552979469299316]
[ 0.69  0.1  55.18], [34.64097189903259]
[ 0.76  0.11 55.2 ], [34.73052406311035]
[8.800e-01 4.000e-02 5.522e+01], [34.81657600402832]
[ 0.89  0.1  55.23], [34.9009428024292]
[ 0.89  0.07 55.22], [34.98473596572876]
[ 0.9   0.07 55.23], [35.069289207458496]
[ 0.93  0.08 55.24], [35.15331554412842]
[ 0.99  0.12 55.24], [35.2376651763916]
[ 1.15  0.16 55.31], [35.32311725616455]
[ 1.11  0.17 55.28], [35.40804648399353]
[ 1.16  0.16 55.29], [35.49288582801819]
[ 1.19  0.13 55.29], [35.57582211494446]
[ 1.24  0.11 55.3 ], [35.65972137451172]
[ 1.3   0.11 55.3 ], [35.74503564834595]
[ 1.55  0.11 55.38], [35.82951354980469]
[ 1.53  0.1  55.32], [35.91453409194946]
[1.620e+00 5.000e-02 5.534e+01], [35.99947214126587]
[1.680e+00 4.000e-02 5.535e+01], [36.084572315216064]
[1.730e+00 4.000e-02 5.536e+01], [36.168596029281616]
[1.750e+00 4.000e-02 5.536e+01], [36.25331497192383]
[1.760e+00 4.000e-02 5.536e+01], [36.337881565093994]
[1.780e+00 3.000e-02 5.537e+01], [36.424121379852295]
[1.850e+00 5.000e-02 5.536e+01], [36.508715867996216]
[ 1.93  0.2  55.39], [36.59327936172485]
[ 1.98  0.12 55.38], [36.677797079086304]
[ 2.    0.13 55.41], [36.762975215911865]
[ 2.02  0.12 55.41], [36.84814667701721]
[ 2.04  0.1  55.41], [36.93352127075195]
[ 2.09  0.11 55.4 ], [37.017740964889526]
[ 2.14  0.09 55.41], [37.10256099700928]
[ 2.19  0.09 55.41], [37.18794775009155]
[ 2.2   0.09 55.41], [37.27263903617859]
[2.420e+00 4.000e-02 5.541e+01], [37.357542276382446]
[2.40e+00 5.00e-02 5.54e+01], [37.441227197647095]
[ 2.47  0.12 55.45], [37.52635955810547]
[ 2.55  0.13 55.47], [37.6120126247406]
[ 2.62  0.15 55.49], [37.696242809295654]
[ 2.64  0.14 55.47], [37.78049087524414]
[ 2.65  0.13 55.47], [37.86451578140259]
[ 2.64  0.12 55.47], [37.95004868507385]
[ 2.66  0.14 55.48], [38.0354106426239]
[ 2.68  0.11 55.48], [38.119802951812744]
[ 2.71  0.08 55.49], [38.20350909233093]
[ 2.85  0.08 55.63], [38.287631034851074]
[ 3.    0.16 55.57], [38.37324500083923]
[ 3.14  0.1  55.64], [38.45712232589722]
[ 3.28  0.19 55.61], [38.54096174240112]
[ 3.27  0.17 55.55], [38.62483263015747]
[ 3.35  0.17 55.56], [38.708855390548706]
[ 3.5   0.07 55.72], [38.79320406913757]
[ 3.6   0.14 55.63], [38.87739181518555]
[ 3.7   0.08 55.63], [38.96177339553833]
[ 3.91  0.16 55.65], [39.04609274864197]
[ 3.89  0.17 55.56], [39.13098907470703]
[ 4.06  0.17 55.68], [39.21485948562622]
[ 4.05  0.14 55.67], [39.30639410018921]
[ 4.14  0.07 55.61], [39.39169931411743]
[ 4.31  0.21 55.72], [39.482203245162964]
[ 4.62  0.11 55.6 ], [39.57717299461365]
[ 4.99  0.07 55.72], [39.66079545021057]
[ 5.12  0.21 55.65], [39.74536752700806]
[ 5.19  0.29 55.71], [39.82949471473694]
[ 5.23  0.17 55.57], [39.91286873817444]
[ 5.33  0.22 55.68], [39.995890378952026]
[ 5.38  0.21 55.62], [40.07978367805481]
[ 5.46  0.23 55.44], [40.1640465259552]
[ 5.69  0.21 55.7 ], [40.249016761779785]
