[  0.   0. 100.], [9.105448246002197]
[4.66220066e-310 4.66219558e-310 1.58101007e-322], [10.324166536331177]
[1.00000000e+000 0.00000000e+000 4.66219469e-310], [10.460846185684204]
[6.92374635e-310 2.12199579e-314 4.66219602e-310], [10.584609985351562]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [10.712384223937988]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [10.836889743804932]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [10.959575176239014]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.08554720878601]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.212524890899658]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.336788654327393]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.45812726020813]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.578308343887329]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.700704574584961]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.822253227233887]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [11.940080404281616]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.05014443397522]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.167861938476562]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.28818154335022]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.406258821487427]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.53490138053894]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.668674230575562]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.806916236877441]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [12.931812524795532]
[1.39067124e-308 9.71412110e-319 4.66219542e-310], [13.050520658493042]
