[1.11022302e-14 0.00000000e+00 5.00000000e+01], [9.107268333435059]
[ 8.92056031e-02 -2.65487035e-09  5.00498397e+01], [10.325342416763306]
[ 2.27427270e-01 -6.31655231e-09  5.00631962e+01], [10.461605072021484]
[ 3.69240919e-01 -9.49195887e-09  5.00689582e+01], [10.585994482040405]
[ 5.09424221e-01 -1.31671847e-08  5.00757535e+01], [10.71298623085022]
[ 6.47968626e-01 -1.87676554e-08  5.00836968e+01], [10.837131261825562]
[ 7.82262628e-01 -2.76050213e-08  5.00916165e+01], [10.960891723632812]
[ 9.11128725e-01 -4.06541868e-08  5.00994699e+01], [11.086162567138672]
[ 1.03506071e+00 -5.86316047e-08  5.01074003e+01], [11.212698936462402]
[ 1.15475627e+00 -8.19550920e-08  5.01153084e+01], [11.337189197540283]
[ 1.27073791e+00 -1.10657716e-07  5.01230663e+01], [11.459452152252197]
[ 1.38335470e+00 -1.44335349e-07  5.01305803e+01], [11.578871250152588]
[ 1.49286430e+00 -1.82142088e-07  5.01377968e+01], [11.701075553894043]
[ 1.59950663e+00 -2.22824079e-07  5.01446938e+01], [11.823110818862915]
[ 1.70355498e+00 -2.64776379e-07  5.01512726e+01], [11.940540552139282]
[ 1.80534831e+00 -3.06113477e-07  5.01575500e+01], [12.050642728805542]
[ 1.90531030e+00 -3.44746602e-07  5.01635538e+01], [12.168405055999756]
[ 2.00395845e+00 -3.78475228e-07  5.01693178e+01], [12.288797378540039]
[ 2.10190420e+00 -4.05101095e-07  5.01748784e+01], [12.40701174736023]
[ 2.19984379e+00 -4.22575594e-07  5.01802705e+01], [12.535773038864136]
[ 2.29853892e+00 -4.29196544e-07  5.01855239e+01], [12.669588804244995]
[ 2.41181588e+00 -3.51643293e-06  5.01931647e+01], [12.807788133621216]
[ 2.53740112e+00 -2.53768062e-06  5.02002202e+01], [12.932515859603882]
[ 2.67143507e+00 -1.68351601e-06  5.02063300e+01], [13.050703763961792]
