[10.74784352 -5.40543114 55.85799707], [42.06740593910217]
[10.75744418 -5.42483968 55.85163016], [42.15178036689758]
[10.76699945  5.44454243 55.84549041], [42.23577880859375]
[10. -5. 55.], [42.318960189819336]
[10.85596  -5.52038  56.039116], [42.40349507331848]
[ 10.76700782 -10.60388197  55.69467467], [42.48749256134033]
[ 10.78983987 -10.78833533  55.75267992], [42.571110010147095]
[10.77806266 10.7835183  55.78207318], [42.655192613601685]
[ 10. -10.  55.], [42.73931121826172]
[ 10.55372  -10.18936   56.579428], [42.82298827171326]
[10.40627857 -9.93021196 56.3488838 ], [42.906601667404175]
[10.29892188 -9.85751126 56.38689243], [42.98953294754028]
[10.25218274  9.71027524 56.44046866], [43.07298040390015]
[ 10. -10.  55.], [43.1558952331543]
[10.2657   -9.62198  56.791552], [43.23983907699585]
[10.13077284 -9.48112722 56.5218371 ], [43.32286477088928]
[10.08686817 -9.42839096 56.5431179 ], [43.406962156295776]
[10.04565621  9.37422973 56.56384369], [43.4914288520813]
[ 10. -10.  55.], [43.57567238807678]
[10.05044  -9.3648   56.896876], [43.66030406951904]
[ 9.92501362 -9.24729881 56.61904785], [43.744202852249146]
[ 9.88658001 -9.21669254 56.63220825], [43.82867789268494]
[ 9.84597315  9.18543634 56.64642217], [43.91217255592346]
[ 10. -10.  55.], [43.995994091033936]
[ 9.85     -9.2021   56.970844], [44.08131766319275]
[ 9.72610812 -9.09514877 56.68697985], [44.165473222732544]
[ 9.68654912 -9.06720655 56.70014835], [44.249096632003784]
[ 9.64760349  9.039856   56.71313096], [44.33287811279297]
[ 10. -10.  55.], [44.41630220413208]
[ 9.65086  -9.06468  57.036316], [44.49992346763611]
[ 4.77577943 -8.94202827 57.75089183], [44.58423948287964]
[ 4.22853776 -9.01155825 57.09548856], [44.66835951805115]
[ 4.19570853  8.87352968 56.88544213], [44.75154137611389]
[  5. -10.  55.], [44.83556294441223]
[ 4.74364  -9.07562  57.185824], [44.91845917701721]
[ 4.75463027 -9.04461317 56.89316165], [45.001797676086426]
[ 4.7667738  -9.04530452 56.87615671], [45.08631706237793]
[ 4.77554824  9.08428287 56.85540583], [45.170050621032715]
[  5. -10.  55.], [45.254297494888306]
[ 4.84544 -9.25606 57.05836], [45.337552547454834]
[ 4.81712139 -9.22510054 56.78478788], [45.42068696022034]
[ 4.82611112 -9.26876334 56.76333382], [45.50677967071533]
[ 4.83886011  9.31750746 56.74062713], [45.59166646003723]
[  5. -10.  55.], [45.67589020729065]
[ 4.8978  -9.48132 56.9455 ], [45.76077461242676]
[ 4.87316171 -9.4575832  56.67367148], [45.84529089927673]
[ 4.88362232 -9.50430714 56.65142302], [45.92980480194092]
[ 4.89349323  9.55129001 56.62917856], [46.01456260681152]
[  5. -10.  55.], [46.0986168384552]
[ 4.9503   -9.71574  56.830312], [46.183255195617676]
[ 4.92536348 -9.69177156 56.56405316], [46.268198013305664]
[ 4.93553523 -9.73716332 56.54313392], [46.35231947898865]
[ 4.94542985  9.7822978  56.52243404], [46.43614935874939]
[  5. -10.  55.], [46.52040386199951]
[ 4.99938  -9.94206  56.721892], [46.603983879089355]
[ 5.20460429 -5.22114974 57.37753527], [46.6881582736969]
[ 5.01908313 -4.70514802 56.91381355], [46.77258586883545]
[ 4.96911771  4.64143202 56.56578942], [46.855751514434814]
[ 5. -5. 55.], [46.94033980369568]
[ 4.90326 -5.1322  56.54266], [47.02423906326294]
[ 4.91822923 -5.14649777 56.36052564], [47.10836386680603]
[ 4.93985932 -5.22049333 56.33574552], [47.19930624961853]
[ 4.95711789  5.29677247 56.30670422], [47.29039764404297]
[ 5. -5. 55.], [47.3746874332428]
[ 5.01732  -5.46828  56.413888], [47.45874261856079]
[ 5.00696487 -5.50904821 56.22584416], [47.54305648803711]
[ 5.02356517 -5.57872033 56.19978337], [47.627203702926636]
[ 5.04076225  5.64584416 56.17419833], [47.71115565299988]
[ 5. -5. 55.], [47.79519033432007]
[ 5.1023   -5.80276  56.279572], [47.8789439201355]
[ 5.09535005 -5.8345202  56.09914494], [47.96273732185364]
[ 5.11525464 -5.89427466 56.07448865], [48.04677772521973]
[ 5.13509103  5.95348281 56.05023444], [48.13028812408447]
[ 5. -5. 55.], [48.21385908126831]
[ 5.1996  -6.10164 56.1517 ], [48.29824757575989]
[ 5.19403355 -6.12908217 55.978447  ], [48.38190722465515]
[ 5.21449481 -6.18622485 55.95467997], [48.46664261817932]
[ 5.2355639   6.24276435 55.9310916 ], [48.551347970962524]
[ 5. -5. 55.], [48.63610768318176]
[ 5.30162  -6.38552  56.027896], [48.71975302696228]
[ 5.32046   1.281    56.003668], [48.804105281829834]
[ 5.2355067  -1.19477494 56.51790389], [48.88818144798279]
[ 5.32144  -1.15386  55.953652], [48.971884965896606]
[ 5.2361    1.53636  55.903048], [49.05605363845825]
[ 5.16995066 -1.48532567 56.0719146 ], [49.13983917236328]
[ 5.23906  -1.45606  55.889044], [49.224485874176025]
[ 5.25386  1.4433  55.86826], [49.30836057662964]
[ 5.23549808 -1.44959294 55.88092278], [49.3923773765564]
[ 5.2944  -1.44574 55.81984], [49.47661352157593]
[ 5.31422   1.43768  55.799872], [49.55985450744629]
[ 5.29718743 -1.4281601  55.80151949], [49.644219398498535]
[ 5.3557   -1.42084  55.758568], [49.72871255874634]
[ 5.37702  1.41244 55.73818], [49.81298041343689]
[ 5.3564413  -1.40401687 55.7709088 ], [49.896796464920044]
[ 5.42056  -1.39628  55.697872], [49.98071813583374]
[ 5.44278   1.38848  55.677712], [50.06540560722351]
[ 5.4155682  -1.38236086 55.76098461], [50.15013289451599]
[ 5.48812  -1.37288  55.637392], [50.23354911804199]
[ 5.51092   1.36508  55.617484], [50.3174352645874]
[ 5.47542252 -1.36089009 55.75996235], [50.40117406845093]
[ 5.55716  -1.34948  55.578388], [50.48461627960205]
[ 5.58056   1.34168  55.558696], [50.56922650337219]
[ 5.53711354 -1.33977364 55.76289189], [50.65303373336792]
[ 5.62798  -1.3267   55.519084], [50.73728966712952]
[ 5.65168   1.3192   55.499164], [50.821645736694336]
[ 0.88230205 -1.08121235 56.63329394], [50.905585289001465]
[ 0.38908  -1.30514  55.459324], [50.98977851867676]
[ 0.34662   1.26048  55.445704], [51.074317932128906]
[ 0.55603099 -1.41059675 55.89984546], [51.15936088562012]
[ 0.70312  -1.36676  55.449316], [51.24383282661438]
[ 0.6823    1.30046  55.440388], [51.32661509513855]
[ 0.65218442 -1.24801133 55.44450306], [51.41067957878113]
[ 0.62056  -1.22238  55.424548], [51.49499487876892]
[ 0.59882   1.19132  55.418236], [51.579752683639526]
[ 0.57610841 -1.16187458 55.37704845], [51.66444253921509]
[ 0.55598  -1.13442  55.404556], [51.74903869628906]
[ 0.54428   1.10696  55.399084], [51.83382058143616]
[ 0.53217147 -1.07653264 55.36032298], [51.91726517677307]
[ 0.51992 -1.0502  55.3873 ], [52.00166320800781]
[ 0.50064   1.02586  55.379284], [52.085036277770996]
[ 0.48589437 -0.9986437  55.34161105], [52.169760942459106]
[ 0.47436 -0.9735  55.36642], [52.254762172698975]
[ 0.46208   0.94778  55.360168], [52.33897590637207]
[ 0.44922813 -0.9189315  55.32451461], [52.42365646362305]
[ 0.43842  -0.89338  55.347196], [52.508352518081665]
[ 0.42672   0.86672  55.340716], [52.59277081489563]
[ 0.40692183 -0.83812139 55.30818038], [52.6775438785553]
[ 0.38938  -0.81174  55.330444], [52.76126146316528]
[ 0.37076   0.78416  55.325428], [52.84559464454651]
[ 0.3515308  -0.75453875 55.29422412], [52.929017543792725]
[ 0.33356 -0.72868 60.44184], [53.01348304748535]
[ 0.31496  0.70298 60.55704], [53.09807991981506]
[ 0.33840095 -0.62012908 60.12407585], [53.18263220787048]
[ 0.7539   -0.31136  60.419724], [53.266478538513184]
[ 1.50794   0.23934  60.396516], [53.3506555557251]
[ 1.23104193 -0.09163644 59.94193086], [53.434712409973145]
[ 1.37966  -0.20982  60.335796], [53.5192608833313]
[ 1.11684  0.24918 60.38226], [53.603538036346436]
[ 1.13939458 -0.36219702 59.89027305], [53.687335729599]
[ 0.9533   -0.36686  60.347532], [53.771870374679565]
[ 0.96602   0.44438  60.319836], [53.85614490509033]
[ 0.82993207 -0.42337978 59.88630312], [53.940781593322754]
[ 0.79274  -0.47668  60.326124], [54.02456760406494]
[ 0.71428   0.49226  60.332688], [54.10806345939636]
[ 0.65708386 -0.51911886 59.88012258], [54.19122242927551]
[ 0.61274  -0.53346  60.323016], [54.27695608139038]
[ 0.56404   0.56256  60.315468], [54.36121654510498]
[ 0.50877452 -0.5828353  59.86299459], [54.444974184036255]
[ 0.46532 -0.61266 60.30234], [54.52866792678833]
[ 0.41612   0.63414  60.297096], [54.61318778991699]
[ 0.37371791 -0.64383164 59.84764719], [54.696609020233154]
[ 0.33464  -0.66866  60.287796], [54.78114438056946]
[ 0.2927   0.68766 60.28296], [54.86526870727539]
[ 0.24612886 -0.69757756 59.83539094], [54.94879198074341]
[ 0.2053   -0.72264  60.274848], [55.0317165851593]
[-4.8428561   4.18055513 60.4969002 ], [55.116137742996216]
[-5.14517619  4.51636234 59.96840327], [55.19978880882263]
[ 5.20980883  4.67606758 59.88866577], [55.28382754325867]
[-5.  5. 60.], [55.36823749542236]
[-4.09175715  4.07630945 60.68546335], [55.44862246513367]
[-3.86058  3.87404 61.40346], [55.53284502029419]
[-3.86058  3.87404 61.40346], [55.613271951675415]
[-3.66899503  3.53015313 60.94578321], [55.6969268321991]
[-3.34368087  3.18851091 61.09813625], [55.78140068054199]
[ 3.23958865  2.9622058  61.14586752], [55.864651679992676]
[-5.  5. 60.], [55.947746992111206]
[-3.01926   2.74614  61.732212], [56.03160810470581]
[-2.88698274  2.61887289 61.14182438], [56.11533975601196]
[-2.89200403  2.56184784 61.10010745], [56.19988989830017]
[ 2.86505733  2.50585246 61.05843508], [56.28371548652649]
[-5.  5. 60.], [56.367350816726685]
[-2.9036    2.4846   61.524024], [56.45124864578247]
[-2.86038325  2.41280646 60.94231904], [56.53438448905945]
[-2.84018481  2.39824717 60.91058755], [56.61796545982361]
[ 2.83608471  2.36460541 60.87679457], [56.70239305496216]
[-5.  5. 60.], [56.7870147228241]
[-2.86148   2.3313   61.346256], [56.870521545410156]
[-2.82112179  2.26665783 60.78521064], [56.95391511917114]
[-2.81031904  2.23241145 60.75980341], [57.037129163742065]
[ 2.80957906  2.20289849 60.73490574], [57.12065863609314]
[-10.  10.  60.], [57.20463490486145]
[-8.1581    7.48194  61.204308], [57.289140701293945]
[-8.13304782  7.52521353 60.69925312], [57.37226629257202]
[-7.53811708  7.08543217 61.7565378 ], [57.45569634437561]
[ 6.88669322  6.72905284 62.42551473], [57.53903102874756]
[-10.  10.  60.], [57.622153520584106]
[-6.24602  6.47348 64.87128], [57.705487966537476]
[-5.50638872  5.86997048 64.04888289], [57.78927659988403]
[-4.96080321  5.22400307 64.0313335 ], [57.872655153274536]
[ 4.34757905  4.55092151 64.0324342 ], [57.9559543132782]
[-10.  10.  60.], [58.038758516311646]
[-4.50724   4.02874  64.564884], [58.1226863861084]
[-4.85673167  3.98755322 63.56584902], [58.20637083053589]
[-5.26892519  4.05764245 63.32337311], [58.28989887237549]
[ 5.48059762  4.30923741 63.09131318], [58.373029470443726]
[-10.  10.  60.], [58.45756506919861]
[-5.25324   4.5289   63.597468], [58.541663646698]
[-4.94107484  4.46314389 62.84294058], [58.62450289726257]
[-4.74823977  4.36668724 62.83683641], [58.707695960998535]
[ 4.59413357  4.21157716 62.82883669], [58.79176616668701]
[-10.  10.  60.], [58.87543272972107]
[-4.45418   3.99192  63.490692], [58.95813465118408]
[-4.35050737  3.92843338 62.72143725], [59.04080772399902]
[-4.38380753  3.93317309 62.64336547], [59.12491512298584]
[ 4.41216795  3.93409123 62.5529664 ], [59.20868182182312]
[-10.   5.  60.], [59.29210090637207]
[-4.4833   -1.01588  63.112296], [59.37503266334534]
[-4.44542503 -0.98049507 62.39527196], [59.458964347839355]
[-4.59187991 -0.11237386 62.37347818], [59.54269790649414]
[ 4.49690002  0.78297095 62.533174  ], [59.62624979019165]
[-10.   5.  60.], [59.70975422859192]
[-4.47666   1.88204  63.206076], [59.79301404953003]
[-4.22023636  1.82987546 62.44753676], [59.87687087059021]
[-4.27326214  1.78167702 62.33555451], [59.96017837524414]
[ 4.13518354  1.61196964 62.29347053], [60.04416751861572]
[-10.   5.  60.], [60.12822461128235]
[-4.24352   1.37782  62.803896], [60.21201419830322]
[-4.19491801  1.18275444 62.08406202], [60.29547357559204]
[-4.22436311  1.16933494 61.99726127], [60.379244565963745]
[ 4.1758811   1.1312167  61.92989221], [60.46303844451904]
[-10.   5.  60.], [60.546327352523804]
[-4.2257   1.16096 62.39166], [60.62897443771362]
[-4.16127626  1.13374518 61.70311052], [60.71224021911621]
[-4.14644139  1.16081755 61.63228525], [60.79578948020935]
[ 4.12364999  1.14776067 61.57103843], [60.88067960739136]
[-10.   5.  60.], [60.96494960784912]
[-4.15256   1.17256  62.037348], [61.04782509803772]
[-4.09572173  1.14478997 61.39368046], [61.130897760391235]
[-4.09506285  1.1307709  61.3382641 ], [61.21490550041199]
[-4.08491314  1.12393135 61.28609943], [61.298502922058105]
[-4.14058  -4.02298  61.801788], [61.38110303878784]
[ 4.12502   4.17184  61.751892], [61.47063875198364]
[-4.12693169 -4.17456519 61.14580554], [61.55403256416321]
[-4.44848 -3.15492 62.10552], [61.6384859085083]
[ 4.3034    2.71638  62.246688], [61.72187542915344]
[-4.37569775 -2.00748649 61.79431623], [61.80565094947815]
[-4.28112  -1.68182  62.565372], [61.889697551727295]
[ 4.37582   1.56424  62.461356], [61.973167419433594]
[-4.26194513 -1.39030483 61.78298337], [62.05699563026428]
[-4.3298   -1.53432  62.287704], [62.13991928100586]
[ 4.3633    1.53274  62.206272], [62.223087310791016]
[-4.15351389 -1.56982147 61.56684739], [62.307260513305664]
[-4.25674  -1.60166  62.091648], [62.39056420326233]
[ 4.19774   1.6584   62.036736], [62.47431254386902]
[-4.16104939 -1.68608149 61.38760854], [62.558656215667725]
[-4.18704  -1.71826  61.919208], [62.64259195327759]
[ 4.19444   1.76102  61.856916], [62.726271629333496]
[-4.12940159 -1.7288001  61.23904571], [62.810198068618774]
[-4.18688  -1.7695   61.754904], [62.89386534690857]
[ 4.19842   1.75314  61.705356], [62.97753047943115]
[-4.1455615  -1.75436019 61.09835441], [63.061326026916504]
[-4.2083   -1.76218  61.612332], [63.14485263824463]
[ 4.21462   1.7727   61.565088], [63.22874188423157]
[-4.15760408 -1.73078612 60.98083996], [63.31246614456177]
[-4.22926  -1.76232  61.488612], [63.396032094955444]
[-4.17367006 -6.87272135 60.8538928 ], [63.47922229766846]
[-4.20260519 -6.98805224 60.89176757], [63.563164710998535]
[ 4.26273285  7.1494571  60.85678255], [63.64699149131775]
[-10.  -5.  60.], [63.73017191886902]
[-4.60266  -5.48714  62.274444], [63.812931537628174]
[-4.49010283 -4.68606737 61.87843016], [63.89662313461304]
[-4.38045057 -4.08142462 62.05564668], [63.98026371002197]
[ 4.32712959  4.03696397 62.02871423], [64.06327414512634]
[-10.  -5.  60.], [64.14645648002625]
[-4.34368  -4.24306  62.504148], [64.2310745716095]
[-4.27628489 -4.24797332 61.81601937], [64.31463170051575]
[-4.25717541 -4.34031771 61.74779113], [64.39843034744263]
[ 4.25545402  4.39376558 61.68893251], [64.48149704933167]
[-10.  -5.  60.], [64.56519865989685]
[-4.38704  -4.51674  62.173716], [64.64892792701721]
[-4.35009935 -4.40800497 61.53081218], [64.73258709907532]
[-4.36313766 -4.40140357 61.48442501], [64.81656265258789]
[ 4.38051223  4.36874288 61.45087235], [64.89956712722778]
[-10.  -5.  60.], [64.98380613327026]
[-4.46216  -4.38796  61.973196], [65.06762623786926]
[-4.39333652 -4.29095732 61.34628695], [65.15111494064331]
[-4.39121823 -4.27612532 61.31389905], [65.2356493473053]
[ 4.40398459  4.2689416  61.28158546], [65.31894564628601]
[-10.  -5.  60.], [65.40310406684875]
[-4.43618  -4.29578  61.811988], [65.48757934570312]
[-4.35826565 -9.3476405  61.07948373], [65.57127618789673]
[-4.37821413 -9.4614313  61.18846974], [65.65497827529907]
[ 4.41360389  9.57085163 61.20693316], [65.73955059051514]
[-10. -10.  60.], [65.8239917755127]
[-4.64742  -7.79388  62.803764], [65.90763854980469]
[-4.4923831  -6.82705406 62.49749632], [65.991446018219]
[-4.48515513 -6.00628069 62.75456272], [66.07586622238159]
[ 4.49778519  5.81795278 62.70308301], [66.15914130210876]
[-10. -10.  60.], [66.24325799942017]
[-4.632   -6.19532 63.14778], [66.32623863220215]
[-4.46344846 -6.45745117 62.34530151], [66.40944147109985]
[-4.35708027 -6.59252806 62.26252944], [66.49305605888367]
[ 4.25166092  6.69214465 62.18316145], [66.57618284225464]
[-10. -10.  60.], [66.66031813621521]
[-4.18648  -6.68092  62.747436], [66.74375629425049]
[-4.13354036 -6.50152763 62.04545551], [66.82803058624268]
[-4.13697932 -6.3797218  62.02319376], [66.91175985336304]
[ 4.15810252  6.33867071 61.9828341 ], [66.99496006965637]
[-10. -10.  60.], [67.07935738563538]
[-4.25564  -6.33428  62.548968], [67.16341757774353]
[-4.22477928 -6.2224555  61.86335727], [67.24790573120117]
[-4.24626194 -6.21796585 61.82465393], [67.33196902275085]
[ 4.25371344  6.23407805 61.78286508], [67.41538000106812]
[-10. -10.  60.], [67.49916911125183]
[-4.3229   -6.33198  62.334072], [67.58336853981018]
[ 0.84423732 -6.23881847 61.79594162], [67.6667890548706]
[ 0.93902839 -6.23225768 61.71727583], [67.75085949897766]
[ 0.97708428  6.28121207 61.65823479], [67.83440899848938]
[ -5. -10.  60.], [67.91815209388733]
[-0.49464 -6.35076 62.2947 ], [68.00104284286499]
[-1.17006581 -6.25241796 61.65622113], [68.08471393585205]
[-1.66515154 -6.25784575 61.59296507], [68.16781783103943]
[ 1.83002307  6.19891425 61.50876688], [68.2520534992218]
[ -5. -10.  60.], [68.33539342880249]
[-1.96356 -6.27336 61.98084], [68.4189658164978]
[-1.90886165 -6.0994296  61.35962522], [68.50437951087952]
[-1.89348733 -6.06658474 61.32312497], [68.58927750587463]
[ 1.85856035  6.00590383 61.30293271], [68.67268562316895]
[ -5. -10.  60.], [68.75696158409119]
[-1.84396  -6.01254  61.833588], [68.840993642807]
[-1.83392442 -5.92916786 61.20912364], [68.92449188232422]
[-1.82417714 -5.92596391 61.17370911], [69.00870895385742]
[ 1.86132146  5.93002783 61.12733129], [69.09602308273315]
[ -5. -10.  60.], [69.18124198913574]
[-1.9277   -6.02304  61.599528], [69.26572275161743]
[-1.9319999  -5.957716   61.00211785], [69.35114431381226]
[-1.95213548 -5.97378552 60.96382971], [69.43565392494202]
[ 1.97704279  5.96610387 60.93221765], [69.5199773311615]
[ -5. -10.  60.], [69.60406160354614]
[-2.06614  -6.05584  61.407816], [69.68778133392334]
[-2.07625097 -0.88308016 61.00773904], [69.77178406715393]
[-2.10392501 -0.7748131  60.87932688], [69.85654258728027]
[ 2.12330579  0.69499193 60.81509587], [69.94092011451721]
[-5. -5. 60.], [70.02410387992859]
[-2.29212  -1.75276  61.304952], [70.10817074775696]
[-2.36390243 -2.42870732 60.78569411], [70.1922333240509]
[-2.31699499 -2.66572098 60.74047007], [70.27703595161438]
[ 2.32959186  2.90364669 60.67631344], [70.36175870895386]
[-5. -5. 60.], [70.44577693939209]
[-2.33158 -3.1658  61.10646], [70.5301022529602]
[-2.29621342 -3.19698755 60.56478845], [70.6142327785492]
[-2.3163571  -3.29089178 60.52278377], [70.69820094108582]
[ 2.32660088  3.37697528 60.48567582], [70.78271508216858]
[-5. -5. 60.], [70.86626505851746]
