[1.11022302e-14 0.00000000e+00 5.00000000e+01], [3.1805002689361572]
[-4.74524803e-06  8.74228695e-14  4.99999994e+01], [3.7377350330352783]
[-4.80460813e-06  8.11135569e-14  4.99999995e+01], [3.792133092880249]
[-4.79799743e-06  7.96368719e-14  4.99999995e+01], [3.8475468158721924]
[-4.79707588e-06  7.97628767e-14  4.99999995e+01], [3.8977720737457275]
[-4.79661989e-06  8.02133837e-14  4.99999995e+01], [3.9501993656158447]
[-4.79628168e-06  8.05301521e-14  4.99999995e+01], [4.001287937164307]
[-4.79602848e-06  8.04433439e-14  4.99999995e+01], [4.047926187515259]
[-4.79583911e-06  8.01778064e-14  4.99999995e+01], [4.097969055175781]
[-4.79569748e-06  8.04808900e-14  4.99999995e+01], [4.151360273361206]
[-4.79559156e-06  8.21104779e-14  4.99999995e+01], [4.204314470291138]
[-4.79551234e-06  8.26445879e-14  4.99999995e+01], [4.251326084136963]
[-4.79545309e-06  8.29409985e-14  4.99999995e+01], [4.3091888427734375]
[-4.79540878e-06  8.38539050e-14  4.99999995e+01], [4.3573267459869385]
[-4.79537564e-06  8.44262835e-14  4.99999995e+01], [4.408824443817139]
[-4.79535086e-06  8.44700534e-14  4.99999995e+01], [4.45993971824646]
[-4.79533232e-06  8.53676499e-14  4.99999995e+01], [4.516821384429932]
[-4.79531846e-06  8.69565763e-14  4.99999995e+01], [4.569742918014526]
[-4.79530809e-06  8.78656361e-14  4.99999995e+01], [4.620412826538086]
[-4.79530033e-06  8.72666881e-14  4.99999995e+01], [4.675805568695068]
[-4.79529454e-06  8.68686007e-14  4.99999995e+01], [4.729893922805786]
[-4.79529020e-06  8.80202523e-14  4.99999995e+01], [4.784594774246216]
[-4.79528695e-06  8.71128709e-14  4.99999995e+01], [4.841925382614136]
[-4.79528453e-06  8.85036634e-14  4.99999995e+01], [4.8930816650390625]
[-4.79528272e-06  8.87131236e-14  4.99999995e+01], [4.947414875030518]
[-4.79528136e-06  8.96811905e-14  4.99999995e+01], [5.002828598022461]
[-4.79528035e-06  8.85743038e-14  4.99999995e+01], [5.054047107696533]
[-4.79527958e-06  8.86507819e-14  4.99999995e+01], [5.109493255615234]
[-4.79527902e-06  8.85851123e-14  4.99999995e+01], [5.1593310832977295]
[-4.79527858e-06  8.86526642e-14  4.99999995e+01], [5.216880798339844]
[-4.79527827e-06  8.79090306e-14  4.99999995e+01], [5.2686498165130615]
[-4.79527804e-06  8.76144421e-14  4.99999995e+01], [5.316659450531006]
[-4.79527786e-06  8.65939926e-14  4.99999995e+01], [5.380599021911621]
[-4.79527772e-06  8.71157538e-14  4.99999995e+01], [5.428517580032349]
[-4.79527763e-06  8.65217280e-14  4.99999995e+01], [5.487597703933716]
[-4.79527755e-06  8.46022088e-14  4.99999995e+01], [5.543751001358032]
[-4.79527749e-06  8.71932105e-14  4.99999995e+01], [5.598022222518921]
[-4.79527745e-06  8.77739925e-14  4.99999995e+01], [5.650112628936768]
[-4.79527742e-06  8.91850895e-14  4.99999995e+01], [5.709225416183472]
[-4.79527740e-06  8.88376829e-14  4.99999995e+01], [5.761647939682007]
[-4.79527738e-06  8.92327479e-14  4.99999995e+01], [5.824223518371582]
[-4.79527737e-06  8.91556653e-14  4.99999995e+01], [5.880481958389282]
[-4.79527735e-06  9.02184421e-14  4.99999995e+01], [5.94263219833374]
[-4.79527735e-06  8.92134561e-14  4.99999995e+01], [6.001394510269165]
[-4.79527735e-06  8.79419235e-14  4.99999995e+01], [6.064521551132202]
[-4.79527734e-06  8.78858738e-14  4.99999995e+01], [6.126408815383911]
[-4.79527734e-06  8.85896525e-14  4.99999995e+01], [6.18541407585144]
[-4.79527734e-06  8.92104472e-14  4.99999995e+01], [6.240437746047974]
[-4.79527734e-06  8.86794850e-14  4.99999995e+01], [6.291140794754028]
[-4.79527734e-06  8.82991591e-14  4.99999995e+01], [6.342944145202637]
[-4.79527733e-06  8.75354144e-14  4.99999995e+01], [6.393590927124023]
[-4.79527734e-06  8.75847799e-14  4.99999995e+01], [6.4525465965271]
[-4.79527733e-06  8.85909181e-14  4.99999995e+01], [6.519800186157227]
[-4.79527733e-06  8.83416363e-14  4.99999995e+01], [6.56653618812561]
