[1.1472304587793285e-14, 0.0, 51.66666666666667], [1.6674726009368896]
[-1.1159869957836977e-06, 6.890928640639354e-07, 51.66666779049254], [2.555537223815918]
[-1.52696807005472e-06, 8.872273977835746e-07, 51.66666809255916], [2.6858322620391846]
[-1.594261922687747e-06, 9.066745424298914e-07, 51.66666786608715], [2.8081114292144775]
[-1.5279099698845826e-06, 8.594589286859814e-07, 51.6666675671361], [2.9364936351776123]
[-1.5298809864353171e-06, 8.347729182150168e-07, 51.66666745886399], [3.064157009124756]
[-1.5723221589296147e-06, 8.445726427818231e-07, 51.66666737946588], [3.1875689029693604]
[-1.6084483764733164e-06, 8.575291945275505e-07, 51.66666728646686], [3.3092026710510254]
[-1.6354893689316628e-06, 8.671374645221999e-07, 51.66666721266186], [3.43599796295166]
[-1.6554903703579287e-06, 8.741063380438263e-07, 51.666667158373386], [3.5591559410095215]
[-1.6702996225525713e-06, 8.792262967984006e-07, 51.66666711845374], [3.6859705448150635]
[-1.6812676757070682e-06, 8.829972867974789e-07, 51.66666708900726], [3.8124678134918213]
[-1.6893902541909704e-06, 8.857738713218414e-07, 51.6666670672771], [3.94663667678833]
[-1.6954055000503586e-06, 8.878178823614875e-07, 51.666667051243735], [4.0768067836761475]
[-1.699860284237749e-06, 8.893225774003499e-07, 51.666667039415096], [4.208230495452881]
[-1.7031595435310902e-06, 8.904302600525221e-07, 51.66666703068924], [4.327650308609009]
[-1.70560309509235e-06, 8.912456757015961e-07, 51.6666670242528], [4.448151350021362]
[-1.7074129516931567e-06, 8.918459455603629e-07, 51.66666701950554], [4.5660154819488525]
[-1.7087534935544854e-06, 8.922878163823748e-07, 51.666667016004425], [4.682037591934204]
[-1.7097464658770706e-06, 8.926131044813321e-07, 51.66666701342264], [4.809135913848877]
[-1.7104820055721943e-06, 8.928525520185658e-07, 51.66666701151891], [4.92574667930603]
