[4.63990906e-310 4.63990905e-310 1.58101007e-322], [0.9991810321807861]
[0.0e+000 0.0e+000 1.6e-322], [1.9550158977508545]
[0.0e+000 0.0e+000 1.6e-322], [2.091341495513916]
[0.0e+000 0.0e+000 1.6e-322], [2.2147176265716553]
[0.0e+000 0.0e+000 1.6e-322], [2.340749502182007]
[0.0e+000 0.0e+000 1.6e-322], [2.464839458465576]
[0.0e+000 0.0e+000 1.6e-322], [2.5897297859191895]
[0.0e+000 0.0e+000 1.6e-322], [2.7078144550323486]
[0.0e+000 0.0e+000 1.6e-322], [2.8347113132476807]
[0.0e+000 0.0e+000 1.6e-322], [2.9518470764160156]
[0.0e+000 0.0e+000 1.6e-322], [3.0620079040527344]
[0.0e+000 0.0e+000 1.6e-322], [3.1713979244232178]
[0.0e+000 0.0e+000 1.6e-322], [3.279244899749756]
[0.0e+000 0.0e+000 1.6e-322], [3.3907904624938965]
[0.0e+000 0.0e+000 1.6e-322], [3.505298137664795]
[0.0e+000 0.0e+000 1.6e-322], [3.6248373985290527]
[0.0e+000 0.0e+000 1.6e-322], [3.7502787113189697]
[0.0e+000 0.0e+000 1.6e-322], [3.8744566440582275]
[0.0e+000 0.0e+000 1.6e-322], [3.9986226558685303]
[0.0e+000 0.0e+000 1.6e-322], [4.138432264328003]
[0.0e+000 0.0e+000 1.6e-322], [4.252580642700195]
[0.0e+000 0.0e+000 1.6e-322], [4.378528118133545]
[0.0e+000 0.0e+000 1.6e-322], [4.490496397018433]
[0.0e+000 0.0e+000 1.6e-322], [4.597574949264526]
[0.0e+000 0.0e+000 1.6e-322], [4.704097747802734]
[0.0e+000 0.0e+000 1.6e-322], [4.811593294143677]
[0.0e+000 0.0e+000 1.6e-322], [4.928357124328613]
[0.0e+000 0.0e+000 1.6e-322], [5.040313720703125]
[0.0e+000 0.0e+000 1.6e-322], [5.156734466552734]
[0.0e+000 0.0e+000 1.6e-322], [5.267090320587158]
[0.0e+000 0.0e+000 1.6e-322], [5.3805670738220215]
[0.0e+000 0.0e+000 1.6e-322], [5.494959831237793]
[0.0e+000 0.0e+000 1.6e-322], [5.605726003646851]
[0.0e+000 0.0e+000 1.6e-322], [5.71401047706604]
