[1.42108547e-14 0.00000000e+00 5.50000000e+01], [30.37535786628723]
[-4.64627593e-06  2.25732428e-06  5.50000011e+01], [30.972426414489746]
[-4.76080381e-06  2.41489745e-06  5.50000009e+01], [31.05638861656189]
[-4.74902891e-06  2.40206844e-06  5.50000009e+01], [31.140151500701904]
[-4.74623663e-06  2.39762128e-06  5.50000009e+01], [31.223347902297974]
[-4.74512318e-06  2.39569975e-06  5.50000009e+01], [31.306519508361816]
[-4.74434152e-06  2.39434502e-06  5.50000009e+01], [31.38988471031189]
[-4.74375660e-06  2.39333132e-06  5.50000009e+01], [31.47408127784729]
[-4.74331971e-06  2.39257420e-06  5.50000009e+01], [31.558762550354004]
[-4.74299371e-06  2.39200923e-06  5.50000009e+01], [31.641804218292236]
[-4.74275045e-06  2.39158768e-06  5.50000009e+01], [31.725292205810547]
[-4.74256893e-06  2.39127314e-06  5.50000009e+01], [31.808486461639404]
[-4.74243353e-06  2.39103846e-06  5.50000009e+01], [31.893244981765747]
[-4.74233246e-06  2.39086333e-06  5.50000009e+01], [31.98304581642151]
[-4.74225709e-06  2.39073269e-06  5.50000009e+01], [32.07323408126831]
[-4.74220084e-06  2.39063518e-06  5.50000009e+01], [32.15698456764221]
[-4.74215885e-06  2.39056244e-06  5.50000009e+01], [32.2392463684082]
[-4.74212753e-06  2.39050817e-06  5.50000009e+01], [32.32257270812988]
[-4.74210415e-06  2.39046768e-06  5.50000009e+01], [32.40585231781006]
[-4.74208672e-06  2.39043746e-06  5.50000009e+01], [32.488205671310425]
[-4.74207372e-06  2.39041490e-06  5.50000009e+01], [32.571340799331665]
[-4.74206401e-06  2.39039807e-06  5.50000009e+01], [32.65464472770691]
[-4.74205676e-06  2.39038553e-06  5.50000009e+01], [32.73797082901001]
[-4.74205136e-06  2.39037617e-06  5.50000009e+01], [32.8215606212616]
[-4.74204732e-06  2.39036917e-06  5.50000009e+01], [32.90385031700134]
[-4.74204431e-06  2.39036396e-06  5.50000009e+01], [32.98637270927429]
[-4.74204207e-06  2.39036006e-06  5.50000009e+01], [33.06928992271423]
[-4.74204040e-06  2.39035716e-06  5.50000009e+01], [33.15236043930054]
[-4.74203915e-06  2.39035500e-06  5.50000009e+01], [33.23576331138611]
[-4.74203821e-06  2.39035338e-06  5.50000009e+01], [33.31778907775879]
[-4.74203753e-06  2.39035217e-06  5.50000009e+01], [33.40066456794739]
[-4.74203701e-06  2.39035128e-06  5.50000009e+01], [33.48272490501404]
[-4.74203661e-06  2.39035061e-06  5.50000009e+01], [33.5643048286438]
[-4.74203632e-06  2.39035011e-06  5.50000009e+01], [33.647136211395264]
[-4.74203610e-06  2.39034973e-06  5.50000009e+01], [33.730138301849365]
[-4.74203595e-06  2.39034945e-06  5.50000009e+01], [33.81413459777832]
[-4.74203582e-06  2.39034924e-06  5.50000009e+01], [33.8973114490509]
[-4.74203573e-06  2.39034908e-06  5.50000009e+01], [33.979567766189575]
[-4.74203567e-06  2.39034897e-06  5.50000009e+01], [34.06931018829346]
[-4.74203563e-06  2.39034889e-06  5.50000009e+01], [34.1586389541626]
[-4.74203560e-06  2.39034882e-06  5.50000009e+01], [34.242181062698364]
[-4.74203555e-06  2.39034877e-06  5.50000009e+01], [34.32680869102478]
[-4.74203552e-06  2.39034872e-06  5.50000009e+01], [34.41070032119751]
[-4.74203551e-06  2.39034870e-06  5.50000009e+01], [34.49495244026184]
[-4.74203551e-06  2.39034867e-06  5.50000009e+01], [34.57906627655029]
[-4.74203550e-06  2.39034867e-06  5.50000009e+01], [34.662325859069824]
[-4.74203549e-06  2.39034866e-06  5.50000009e+01], [34.74507427215576]
[-4.74203550e-06  2.39034865e-06  5.50000009e+01], [34.82813882827759]
[-4.74203548e-06  2.39034865e-06  5.50000009e+01], [34.91116976737976]
[-4.74203549e-06  2.39034864e-06  5.50000009e+01], [34.99421787261963]
[-4.74203547e-06  2.39034863e-06  5.50000009e+01], [35.07761478424072]
[-4.74203548e-06  2.39034863e-06  5.50000009e+01], [35.161115884780884]
[-4.74203547e-06  2.39034863e-06  5.50000009e+01], [35.24380660057068]
[-4.74203546e-06  2.39034863e-06  5.50000009e+01], [35.326977491378784]
[-4.74203546e-06  2.39034862e-06  5.50000009e+01], [35.41018295288086]
[-4.74203547e-06  2.39034862e-06  5.50000009e+01], [35.49320697784424]
[-4.74203548e-06  2.39034862e-06  5.50000009e+01], [35.57705855369568]
[-4.74203547e-06  2.39034862e-06  5.50000009e+01], [35.66387224197388]
