[4.6490425e-310 4.6490442e-310 1.5810101e-322], [2.5536234378814697]
[0.0e+000 0.0e+000 1.6e-322], [3.495980739593506]
[0.0e+000 0.0e+000 1.6e-322], [3.610943078994751]
[0.0e+000 0.0e+000 1.6e-322], [3.726494789123535]
[0.0e+000 0.0e+000 1.6e-322], [3.8427388668060303]
[0.0e+000 0.0e+000 1.6e-322], [3.9608452320098877]
[0.0e+000 0.0e+000 1.6e-322], [4.08632755279541]
[0.0e+000 0.0e+000 1.6e-322], [4.212786436080933]
[0.0e+000 0.0e+000 1.6e-322], [4.322472810745239]
[0.0e+000 0.0e+000 1.6e-322], [4.433427810668945]
[0.0e+000 0.0e+000 1.6e-322], [4.549138307571411]
[0.0e+000 0.0e+000 1.6e-322], [4.665964603424072]
[0.0e+000 0.0e+000 1.6e-322], [4.786121606826782]
[0.0e+000 0.0e+000 1.6e-322], [4.900078296661377]
[0.0e+000 0.0e+000 1.6e-322], [5.008567810058594]
[0.0e+000 0.0e+000 1.6e-322], [5.1197967529296875]
[0.0e+000 0.0e+000 1.6e-322], [5.244793653488159]
[0.0e+000 0.0e+000 1.6e-322], [5.36769437789917]
[0.0e+000 0.0e+000 1.6e-322], [5.484584808349609]
[0.0e+000 0.0e+000 1.6e-322], [5.595499038696289]
[0.0e+000 0.0e+000 1.6e-322], [5.71769905090332]
[0.0e+000 0.0e+000 1.6e-322], [5.839236259460449]
[0.0e+000 0.0e+000 1.6e-322], [5.961046457290649]
[0.0e+000 0.0e+000 1.6e-322], [6.085912466049194]
[0.0e+000 0.0e+000 1.6e-322], [6.201782464981079]
[0.0e+000 0.0e+000 1.6e-322], [6.320328712463379]
[0.0e+000 0.0e+000 1.6e-322], [6.433504104614258]
[0.0e+000 0.0e+000 1.6e-322], [6.547344446182251]
[0.0e+000 0.0e+000 1.6e-322], [6.657831192016602]
[0.0e+000 0.0e+000 1.6e-322], [6.767420530319214]
[0.0e+000 0.0e+000 1.6e-322], [6.884874105453491]
[0.0e+000 0.0e+000 1.6e-322], [6.997140407562256]
[0.0e+000 0.0e+000 1.6e-322], [7.112504005432129]
[0.0e+000 0.0e+000 1.6e-322], [7.2373809814453125]
[0.0e+000 0.0e+000 1.6e-322], [7.3522491455078125]
[0.0e+000 0.0e+000 1.6e-322], [7.4783172607421875]
[0.0e+000 0.0e+000 1.6e-322], [7.5933918952941895]
[0.0e+000 0.0e+000 1.6e-322], [7.703186988830566]
[0.0e+000 0.0e+000 1.6e-322], [7.822434186935425]
[0.0e+000 0.0e+000 1.6e-322], [7.956832647323608]
[0.0e+000 0.0e+000 1.6e-322], [8.069087982177734]
[0.0e+000 0.0e+000 1.6e-322], [8.18046522140503]
[0.0e+000 0.0e+000 1.6e-322], [8.290022373199463]
[0.0e+000 0.0e+000 1.6e-322], [8.40754222869873]
[0.0e+000 0.0e+000 1.6e-322], [8.531091451644897]
[0.0e+000 0.0e+000 1.6e-322], [8.643200397491455]
[0.0e+000 0.0e+000 1.6e-322], [8.750712871551514]
[0.0e+000 0.0e+000 1.6e-322], [8.868439674377441]
[0.0e+000 0.0e+000 1.6e-322], [8.980843305587769]
[0.0e+000 0.0e+000 1.6e-322], [9.094186782836914]
[0.0e+000 0.0e+000 1.6e-322], [9.207106590270996]
[0.0e+000 0.0e+000 1.6e-322], [9.347219467163086]
[0.0e+000 0.0e+000 1.6e-322], [9.462674617767334]
[0.0e+000 0.0e+000 1.6e-322], [9.573818683624268]
[0.0e+000 0.0e+000 1.6e-322], [9.682045698165894]
[0.0e+000 0.0e+000 1.6e-322], [9.794000148773193]
[0.0e+000 0.0e+000 1.6e-322], [9.899588584899902]
[0.0e+000 0.0e+000 1.6e-322], [10.012284517288208]
[0.0e+000 0.0e+000 1.6e-322], [10.12134575843811]
[0.0e+000 0.0e+000 1.6e-322], [10.229015827178955]
[0.0e+000 0.0e+000 1.6e-322], [10.350369691848755]
[0.0e+000 0.0e+000 1.6e-322], [10.462980031967163]
[0.0e+000 0.0e+000 1.6e-322], [10.573572397232056]
[0.0e+000 0.0e+000 1.6e-322], [10.693493127822876]
[0.0e+000 0.0e+000 1.6e-322], [10.806461572647095]
[0.0e+000 0.0e+000 1.6e-322], [10.92248010635376]
[0.0e+000 0.0e+000 1.6e-322], [11.029958248138428]
[0.0e+000 0.0e+000 1.6e-322], [11.14078950881958]
[0.0e+000 0.0e+000 1.6e-322], [11.254733085632324]
[0.0e+000 0.0e+000 1.6e-322], [11.361287832260132]
[0.0e+000 0.0e+000 1.6e-322], [11.474467277526855]
[0.0e+000 0.0e+000 1.6e-322], [11.595849752426147]
[0.0e+000 0.0e+000 1.6e-322], [11.71916127204895]
[0.0e+000 0.0e+000 1.6e-322], [11.832366228103638]
[0.0e+000 0.0e+000 1.6e-322], [11.94822883605957]
[0.0e+000 0.0e+000 1.6e-322], [12.06153392791748]
[0.0e+000 0.0e+000 1.6e-322], [12.174331665039062]
[0.0e+000 0.0e+000 1.6e-322], [12.287650346755981]
[0.0e+000 0.0e+000 1.6e-322], [12.396156072616577]
[0.0e+000 0.0e+000 1.6e-322], [12.50638484954834]
[0.0e+000 0.0e+000 1.6e-322], [12.613345861434937]
[0.0e+000 0.0e+000 1.6e-322], [12.720394849777222]
[0.0e+000 0.0e+000 1.6e-322], [12.837961673736572]
[0.0e+000 0.0e+000 1.6e-322], [12.956095695495605]
[0.0e+000 0.0e+000 1.6e-322], [13.083408117294312]
[0.0e+000 0.0e+000 1.6e-322], [13.214224576950073]
[0.0e+000 0.0e+000 1.6e-322], [13.337461948394775]
[0.0e+000 0.0e+000 1.6e-322], [13.462357521057129]
[0.0e+000 0.0e+000 1.6e-322], [13.577610492706299]
[0.0e+000 0.0e+000 1.6e-322], [13.708847045898438]
[0.0e+000 0.0e+000 1.6e-322], [13.822420358657837]
[0.0e+000 0.0e+000 1.6e-322], [13.941633224487305]
[0.0e+000 0.0e+000 1.6e-322], [14.073421239852905]
[0.0e+000 0.0e+000 1.6e-322], [14.190515041351318]
[0.0e+000 0.0e+000 1.6e-322], [14.30617904663086]
[0.0e+000 0.0e+000 1.6e-322], [14.421085596084595]
[0.0e+000 0.0e+000 1.6e-322], [14.530195236206055]
[0.0e+000 0.0e+000 1.6e-322], [14.640291213989258]
[0.0e+000 0.0e+000 1.6e-322], [14.774401187896729]
[0.0e+000 0.0e+000 1.6e-322], [14.89241075515747]
[0.0e+000 0.0e+000 1.6e-322], [15.002341747283936]
[0.0e+000 0.0e+000 1.6e-322], [15.119961023330688]
[0.0e+000 0.0e+000 1.6e-322], [15.248307704925537]
[0.0e+000 0.0e+000 1.6e-322], [15.358271837234497]
[0.0e+000 0.0e+000 1.6e-322], [15.46840238571167]
[0.0e+000 0.0e+000 1.6e-322], [15.61512565612793]
[0.0e+000 0.0e+000 1.6e-322], [15.740388870239258]
[0.0e+000 0.0e+000 1.6e-322], [15.853715181350708]
[0.0e+000 0.0e+000 1.6e-322], [15.967519760131836]
[0.0e+000 0.0e+000 1.6e-322], [16.08245301246643]
[0.0e+000 0.0e+000 1.6e-322], [16.20817255973816]
