[ 8.59 -2.81 55.35], [42.20728802680969]
[ 8.58 -2.81 55.36], [42.29102444648743]
[ 7.19 -4.96 54.84], [42.37468409538269]
[ 14.14 -19.41  49.34], [42.45878839492798]
[ 12.61 -10.04  53.48], [42.542747497558594]
[ 8.78 -7.33 54.69], [42.62674307823181]
[ 9.18 -7.42 54.65], [42.710888147354126]
[ 9.02 -6.98 54.72], [42.79493808746338]
[ 9.37 -7.   54.66], [42.878894329071045]
[ 9.32 -6.68 54.67], [42.9624080657959]
[ 9.17 -6.71 54.67], [43.04720187187195]
[ 9.15 -6.62 54.68], [43.13068437576294]
[ 9.22 -6.67 54.68], [43.215585231781006]
[ 9.24 -6.62 54.7 ], [43.29960870742798]
[ 9.21 -6.59 54.7 ], [43.38427186012268]
[ 9.2  -6.57 54.72], [43.469438552856445]
[ 9.2  -6.54 54.72], [43.55287551879883]
[ 9.18 -6.53 54.73], [43.636592864990234]
[ 9.16 -6.51 54.73], [43.720287799835205]
[ 9.15 -6.52 54.74], [43.80515909194946]
[ 9.14 -6.51 54.74], [43.88856339454651]
[ 9.14 -6.5  54.73], [43.97211194038391]
[ 9.13 -6.49 54.74], [44.05568337440491]
[ 9.14 -6.48 54.74], [44.13960671424866]
[ 9.12 -6.46 54.75], [44.2236647605896]
[ 9.12 -6.46 54.76], [44.30795335769653]
[ 9.1  -6.45 54.76], [44.392192363739014]
[ 7.04 -6.59 54.35], [44.47786617279053]
[-6.2  -3.26 52.21], [44.562363624572754]
[ 0.75 -7.22 55.43], [44.647411584854126]
[ 2.3  -7.02 54.89], [44.731350898742676]
[ 2.81 -6.87 54.99], [44.81563878059387]
[ 2.83 -6.8  55.04], [44.89926815032959]
[ 2.96 -6.79 55.03], [44.983522176742554]
[ 3.09 -6.78 55.03], [45.06722092628479]
[ 3.16 -6.71 55.  ], [45.15087652206421]
[ 3.2  -6.7  54.97], [45.23524451255798]
[ 3.25 -6.68 54.94], [45.31865167617798]
[ 3.25 -6.68 54.94], [45.4023962020874]
[ 3.26 -6.67 54.93], [45.4859402179718]
[ 3.28 -6.69 54.92], [45.57004714012146]
[ 3.3  -6.71 54.9 ], [45.65376591682434]
[ 3.31 -6.73 54.89], [45.73767399787903]
[ 3.31 -6.74 54.89], [45.82104516029358]
[ 3.3  -6.74 54.89], [45.90493392944336]
[ 3.3  -6.73 54.89], [45.98927354812622]
[ 3.3  -6.73 54.88], [46.07263493537903]
[ 3.31 -6.72 54.88], [46.15539360046387]
[ 3.32 -6.71 54.88], [46.238815784454346]
[ 3.32 -6.72 54.88], [46.32307434082031]
[ 3.33 -6.72 54.87], [46.40690994262695]
