[10.  5. 55.], [37.67378330230713]
[10.  5. 55.], [37.758219957351685]
[10.  5. 55.], [37.84173369407654]
[10.  5. 55.], [37.9256796836853]
[10.  0. 55.], [38.010337114334106]
[10.  0. 55.], [38.09401488304138]
[10.  0. 55.], [38.17715263366699]
[10.  0. 55.], [38.260451555252075]
[10.  0. 55.], [38.345006227493286]
[10.  0. 55.], [38.428789377212524]
[10.  0. 55.], [38.513304471969604]
[10.  0. 55.], [38.59785485267639]
[10.  0. 55.], [38.68227291107178]
[10.  0. 55.], [38.76633334159851]
[10.  0. 55.], [38.850181341171265]
[10.  0. 55.], [38.93429207801819]
[10.  0. 55.], [39.01788330078125]
[10.  0. 55.], [39.101518392562866]
[10.  0. 55.], [39.18579030036926]
[10.  0. 55.], [39.27029824256897]
[10.  0. 55.], [39.354960203170776]
[10.  0. 55.], [39.43844676017761]
[10.  0. 55.], [39.522422313690186]
[10.  0. 55.], [39.60620665550232]
[10.  0. 55.], [39.69078826904297]
[10.  0. 55.], [39.774880170822144]
[10.  0. 55.], [39.85835576057434]
[10.  0. 55.], [39.942878007888794]
[10.  0. 55.], [40.026914834976196]
[10. -5. 55.], [40.11081051826477]
[10. -5. 55.], [40.194541215896606]
[10. -5. 55.], [40.27834367752075]
[10. -5. 55.], [40.36227011680603]
[10. -5. 55.], [40.44586896896362]
[10. -5. 55.], [40.529624223709106]
[10. -5. 55.], [40.613577127456665]
[10. -5. 55.], [40.69751858711243]
[10. -5. 55.], [40.781546115875244]
[10. -5. 55.], [40.86570692062378]
[10. -5. 55.], [40.949323654174805]
[10. -5. 55.], [41.03307843208313]
[10. -5. 55.], [41.11762356758118]
[10. -5. 55.], [41.20106840133667]
[10. -5. 55.], [41.284974813461304]
[10. -5. 55.], [41.369863748550415]
[10. -5. 55.], [41.45340609550476]
[10. -5. 55.], [41.53770351409912]
[10. -5. 55.], [41.62073802947998]
[10. -5. 55.], [41.703742265701294]
[10. -5. 55.], [41.787243127822876]
[10. -5. 55.], [41.87120819091797]
[10. -5. 55.], [41.95520329475403]
[10. -5. 55.], [42.0389347076416]
[10. -5. 55.], [42.12293219566345]
[ 10. -10.  55.], [42.207404136657715]
[ 10. -10.  55.], [42.291139364242554]
[ 10. -10.  55.], [42.37480068206787]
[ 10. -10.  55.], [42.4589056968689]
[ 10. -10.  55.], [42.54286551475525]
[ 10. -10.  55.], [42.62685823440552]
[ 10. -10.  55.], [42.71100640296936]
[ 10. -10.  55.], [42.795053482055664]
[ 10. -10.  55.], [42.879008293151855]
[ 10. -10.  55.], [42.96252226829529]
[ 10. -10.  55.], [43.047398805618286]
[ 10. -10.  55.], [43.13079762458801]
[ 10. -10.  55.], [43.215781927108765]
[ 10. -10.  55.], [43.29972267150879]
[ 10. -10.  55.], [43.38438868522644]
[ 10. -10.  55.], [43.46961188316345]
[ 10. -10.  55.], [43.55298924446106]
[ 10. -10.  55.], [43.63676571846008]
[ 10. -10.  55.], [43.72040319442749]
[ 10. -10.  55.], [43.80527472496033]
[ 10. -10.  55.], [43.88875150680542]
[ 10. -10.  55.], [43.97222948074341]
[ 10. -10.  55.], [44.05579948425293]
[ 10. -10.  55.], [44.13972330093384]
[ 10. -10.  55.], [44.22378134727478]
[  5. -10.  55.], [44.30806922912598]
[  5. -10.  55.], [44.3923077583313]
[  5. -10.  55.], [44.47798252105713]
[  5. -10.  55.], [44.562480211257935]
[  5. -10.  55.], [44.64752674102783]
[  5. -10.  55.], [44.731470584869385]
[  5. -10.  55.], [44.81575798988342]
[  5. -10.  55.], [44.89942765235901]
[  5. -10.  55.], [44.98371410369873]
[  5. -10.  55.], [45.06741547584534]
[  5. -10.  55.], [45.15107560157776]
[  5. -10.  55.], [45.23542094230652]
[  5. -10.  55.], [45.318774461746216]
[  5. -10.  55.], [45.40255045890808]
[  5. -10.  55.], [45.4861376285553]
[  5. -10.  55.], [45.5701687335968]
[  5. -10.  55.], [45.6538827419281]
[  5. -10.  55.], [45.73779559135437]
[  5. -10.  55.], [45.82123923301697]
[  5. -10.  55.], [45.90505504608154]
[  5. -10.  55.], [45.9893913269043]
[  5. -10.  55.], [46.072752475738525]
[  5. -10.  55.], [46.15551424026489]
[  5. -10.  55.], [46.238935232162476]
[  5. -10.  55.], [46.323232889175415]
[ 5. -5. 55.], [46.407028913497925]
[ 5. -5. 55.], [46.49139952659607]
[ 5. -5. 55.], [46.57748484611511]
[ 5. -5. 55.], [46.66117835044861]
[ 5. -5. 55.], [46.74612283706665]
