[1.42108547e-14 0.00000000e+00 5.50000000e+01], [31.057428121566772]
[9.89502750e+00 5.03700365e-05 5.59571516e+01], [39.690433979034424]
[9.89506583e+00 7.38116747e-05 5.59566621e+01], [39.774545431137085]
[9.89509614e+00 9.16069601e-05 5.59562756e+01], [39.858004570007324]
[9.89512011e+00 1.05055353e-04 5.59559702e+01], [39.94254779815674]
[9.89513907e+00 1.15174243e-04 5.59557289e+01], [40.02652168273926]
[10.40897152 -4.67697227 56.02251517], [40.110466957092285]
[ 9.91267753 -5.10287965 55.87869583], [40.19420671463013]
[ 9.89547192 -5.09996701 55.83949165], [40.277968406677246]
[ 9.89915678 -5.09222285 55.79089027], [40.361940145492554]
[ 9.90152082 -5.08701235 55.75292311], [40.44549894332886]
[ 9.90303728 -5.08312922 55.72498827], [40.529284715652466]
[ 9.90406701 -5.08020703 55.70459753], [40.61290407180786]
[ 9.90464046 -5.07799647 55.68975483], [40.69703030586243]
[ 9.90503699 -5.07634025 55.67897709], [40.78098225593567]
[ 9.90532018 -5.07509905 55.67114978], [40.86489796638489]
[ 9.90552654 -5.07416781 55.66545891], [40.94872307777405]
[ 9.90568064 -5.07346766 55.6613098 ], [41.03260159492493]
[ 9.90579886 -5.07293967 55.65827031], [41.11691117286682]
[ 9.90589205 -5.07253991 55.65602835], [41.2006049156189]
[ 9.90596739 -5.0722358  55.65435967], [41.28434085845947]
[ 9.90602964 -5.07200313 55.65310397], [41.36907124519348]
[ 9.90608194 -5.07182403 55.65214702], [41.45303559303284]
[ 9.90612641 -5.07168522 55.6514077 ], [41.537322759628296]
[ 9.90616452 -5.07157689 55.65082842], [41.62028384208679]
[ 9.90619729 -5.07149176 55.65036826], [41.703370094299316]
[ 9.90622552 -5.07142441 55.64999805], [41.786911964416504]
[ 9.90624981 -5.07137076 55.64969688], [41.87087392807007]
[ 9.90627065 -5.0713278  55.64944958], [41.9548282623291]
[ 9.90628847 -5.0712932  55.64924503], [42.03859734535217]
[ 9.90630366 -5.07126522 55.64907493], [42.122565031051636]
[10.20790961 -9.82930981 55.4580354 ], [42.20705723762512]
[  9.93109581 -10.05144268  55.24761028], [42.29079818725586]
[  9.92666049 -10.01862959  55.13352193], [42.37446069717407]
[ 9.93164656 -9.99358452 55.03611937], [42.458560943603516]
[ 9.9345281  -9.975503   54.96361343], [42.542527198791504]
[ 9.93638722 -9.9624362  54.9108684 ], [42.6265082359314]
[ 9.93792912 -9.95310744 54.87271629], [42.71065855026245]
[ 9.93913923 -9.946459   54.84522267], [42.794708490371704]
[ 9.9400209  -9.94172137 54.82547309], [42.87867259979248]
[ 9.93991495 -9.93959789 54.81648597], [42.962178468704224]
[ 9.93946643 -9.93922784 54.81478317], [43.04663348197937]
[ 9.93937194 -9.93919553 54.81445119], [43.130250692367554]
[ 9.93935186 -9.93922135 54.8143905 ], [43.215264081954956]
[ 9.93934659 -9.93925071 54.81437994], [43.29910492897034]
[ 9.93934452 -9.93927449 54.81437655], [43.38387084007263]
[ 9.93934331 -9.93929237 54.81437285], [43.46879029273987]
[ 9.93934243 -9.93930543 54.81436813], [43.552643060684204]
[ 9.93934177 -9.93931482 54.81436278], [43.63627004623413]
[ 9.93934125 -9.93932147 54.81435725], [43.7200665473938]
[ 9.93934085 -9.9393261  54.81435186], [43.80488300323486]
[ 9.93934053 -9.93932927 54.81434683], [43.88832330703735]
[ 9.93934029 -9.93933139 54.81434225], [43.9718804359436]
[ 9.9393401  -9.93933277 54.81433819], [44.05545687675476]
[ 9.93933995 -9.93933363 54.81433465], [44.13939094543457]
[ 9.93933984 -9.93933415 54.8143316 ], [44.223435401916504]
[ 5.51542567 -9.93270605 56.17585006], [44.3077278137207]
[  5.07695895 -10.04613726  55.84527421], [44.39196801185608]
[ 5.16177562 -9.94605185 55.57181084], [44.4775927066803]
[ 5.1233439  -9.94726406 55.4141629 ], [44.56213641166687]
[ 5.08670701 -9.95195628 55.2839407 ], [44.64710760116577]
[ 5.05811376 -9.95449433 55.18001559], [44.73110914230347]
[ 5.03580258 -9.95582379 55.09778186], [44.815359115600586]
[ 5.01833563 -9.95647897 55.03279709], [44.89869499206543]
[ 5.00464201 -9.95674968 54.9814906 ], [44.983285903930664]
[ 4.99390019 -9.95680893 54.94102654], [45.066951751708984]
[ 4.98547308 -9.95675965 54.90915097], [45.15063261985779]
[ 4.97886376 -9.95666147 54.88407219], [45.234697580337524]
[ 4.9778303  -9.95548117 54.877844  ], [45.31840133666992]
[ 4.97764553 -9.95514068 54.87653323], [45.40215730667114]
[ 4.97759092 -9.95506322 54.87623647], [45.4853138923645]
[ 4.97756725 -9.95504129 54.87615504], [45.56981658935547]
[ 4.97755302 -9.95503208 54.87612285], [45.65354299545288]
[ 4.97754304 -9.9550266  54.87610461], [45.73745369911194]
[ 4.9775357  -9.95502275 54.87609216], [45.82063889503479]
[ 4.97753024 -9.9550199  54.87608313], [45.90469574928284]
[ 4.97752388 -9.95501317 54.87606516], [45.989004373550415]
[ 4.97751875 -9.95500732 54.8760489 ], [46.07235860824585]
[ 4.97751491 -9.95500288 54.87603641], [46.15516686439514]
[ 4.97751209 -9.9549996  54.87602723], [46.238585472106934]
[ 4.97751003 -9.95499721 54.87602058], [46.32284474372864]
[ 5.28317767 -5.55912004 56.02432303], [46.40668225288391]
[ 5.02335405 -5.01245602 55.88816205], [46.49105644226074]
[ 4.85952146 -5.08082948 55.75784109], [46.57712769508362]
[ 4.86500417 -5.07590901 55.68365568], [46.66076683998108]
[ 4.87557828 -5.06845049 55.62055494], [46.745765209198]
[ 4.88326925 -5.06270215 55.57195569], [46.82989168167114]
[ 4.88901073 -5.05834732 55.53510696], [46.916239738464355]
[ 4.89335161 -5.05504356 55.50716985], [47.00042510032654]
[ 4.89664167 -5.05253565 55.4859711 ], [47.08435368537903]
[ 4.89913825 -5.05063126 55.46987421], [47.16850757598877]
[ 4.90103454 -5.04918475 55.45764415], [47.25276851654053]
[ 4.90247601 -5.04808577 55.44834742], [47.33655500411987]
[ 4.90357241 -5.04725063 55.44127755], [47.4205756187439]
[ 4.90440673 -5.04661588 55.43589932], [47.51080107688904]
[ 4.90504184 -5.04613334 55.43180687], [47.59463977813721]
[ 4.9055254  -5.04576647 55.42869219], [47.67870497703552]
[ 4.90589362 -5.0454875  55.42632133], [47.76246738433838]
[ 4.90617402 -5.04527535 55.4245165 ], [47.84656500816345]
[ 4.90638753 -5.04511402 55.42314254], [47.93053865432739]
[ 4.9065501  -5.04499132 55.42209659], [48.0147807598114]
[ 4.90667386 -5.04489801 55.4213004 ], [48.09883689880371]
[ 4.90676805 -5.04482706 55.42069439], [48.182135820388794]
[ 4.90683973 -5.0447731  55.42023319], [48.266430616378784]
[ 4.90689426 -5.04473208 55.41988228], [48.35080099105835]
[ 4.90693572 -5.04470089 55.41961532], [48.43450951576233]
[ 5.34978843 -0.53190425 56.28936307], [48.519476652145386]
[ 4.83212269e+00 -2.01620050e-03  5.60833961e+01], [48.60328674316406]
[4.81677695e+00 4.16287627e-03 5.60148293e+01], [48.68725275993347]
[4.82904873e+00 2.12802950e-03 5.59451346e+01], [48.771127223968506]
