[ 0.0 0.0 0.0],[ 185.35161512350368 185.35161512350288 185.35161512350265], [31.05773425102234]
[ 0.0 2.9807143879108327 13.12424195877163],[ 185.35161512350368 185.35161512350288 185.35161512350265], [31.706812858581543]
[ 0.0 0.4292102674664201 0.9168788295018004],[ 189.18742681924076 190.3009083259985 194.1286591925373], [31.791067600250244]
[ 0.0 0.7040907356378371 2.8371757981068493],[ 188.12518474751747 189.2818673297714 192.89450594454436], [31.87496066093445]
[ 0.0 0.7720629290272938 3.0175915652397274],[ 187.79795673532846 188.967798478651 192.58151899834237], [31.95889401435852]
[ 0.0 0.7632581287608087 2.97242485223165],[ 187.60028029929668 188.7918124483787 192.42895921707532], [32.04270887374878]
[ 0.0 0.7519999901470065 2.929671285495535],[ 187.43889658734386 188.64774011965923 192.30076639204816], [32.125438928604126]
[ 0.0 0.7436669855409447 2.898105579461822],[ 187.30545331734848 188.52698483413974 192.18971826696423], [32.20900273323059]
[ 0.0 0.7374407111183371 2.8746351679644464],[ 187.19620375481972 188.42701526618174 192.09539876670357], [32.29275393486023]
[ 0.0 0.7327330474221442 2.857067716445652],[ 187.10742985231835 188.34504115767925 192.01646121859596], [32.37644720077515]
[ 0.0 0.7291572765489893 2.8438742676612856],[ 187.03571309538202 188.27831109157927 191.9511209157257], [32.46126461029053]
[ 0.0 0.7264330576219133 2.8339420480000026],[ 186.9780531879244 188.2243099295809 191.89750500595977], [32.545320987701416]
[ 0.0 0.724352486882332 2.8264509879288893],[ 186.93188172228483 188.18082354901918 191.8538206207599], [32.6295690536499]
[ 0.0 0.7227602248053073 2.82079281337883],[ 186.89503716216876 188.14594959376882 191.81843694249193], [32.713191986083984]
[ 0.0 0.7215395639791445 2.81651411729011],[ 186.8657232899408 188.11808171613853 191.78991859170273], [32.79783630371094]
[ 0.0 0.7206024164430266 2.8132756092815336],[ 186.84246199598238 188.09588106514494 191.76703083656727], [32.88197875022888]
[ 0.0 0.7198820407723735 2.8108226125173075],[ 186.82404636164077 188.07824295881036 191.74872927530336], [32.96659255027771]
[ 0.0 0.719327708082128 2.8089634998480184],[ 186.80949711897264 188.06426324273832 191.7341417884411], [33.05085349082947]
[ 0.0 0.718900757557346 2.807553810142191],[ 186.7980238739929 188.05320673924396 191.7225474656338], [33.135321617126465]
[ 0.0 0.718571659316776 2.8064844755233147],[ 186.78899150162673 188.0444789270342 191.7133552501687], [33.21968078613281]
[ 0.0 0.7183178147980677 2.8056730520520596],[ 186.7818915794168 188.03760124644077 191.70608381080217], [33.3032066822052]
[ 0.0 0.7181219015340593 2.8050571617761584],[ 186.77631845006667 188.03219000233145 191.70034338540736], [33.38718390464783]
[ 0.0 0.7179706226368131 2.8045895731682045],[ 186.7719493830757 188.027938612172 191.6958198771618], [33.470783710479736]
[ 0.0 0.7178537588194426 2.804234501479461],[ 186.76852827698966 188.02460284245913 191.69226121279272], [33.55431509017944]
[ 0.0 0.7177634477186899 2.8039648210680674],[ 186.76585236538065 188.0219886437286 191.68946582331796], [33.63754940032959]
[ 0.0 0.7176936346820701 2.8037599616621245],[ 186.76376143679397 188.0199422018967 191.68727303466852], [33.721786975860596]
[ 0.0 4.298609101694765 16.968023792997993],[ 186.7621291366731 188.01834185266026 191.68555512898993], [33.8057005405426]
[ 0.0 1.4522485739510498 4.739081253865654],[ 190.9382031133212 193.4412358966405 200.82544695663884], [33.889464378356934]
[ 0.0 1.816690821834138 6.853704317688505],[ 190.10535594834434 192.63813348688035 199.79506083729763], [33.97389531135559]
[ 0.0 1.8454140720802847 6.804622772211953],[ 189.99919983523492 192.54348038976994 199.73479071527913], [34.05719256401062]
[ 0.0 1.786363183782055 6.57823724568364],[ 189.90364590798796 192.4731535467381 199.6945228153129], [34.14670515060425]
[ 0.0 1.739746943152543 6.405667670497605],[ 189.7659930308053 192.3539545645798 199.58613428673846], [34.23116111755371]
[ 0.0 1.7055524851185093 6.278444660173262],[ 189.61246348571893 192.21287719519148 199.4443429742113], [34.31437873840332]
[ 0.0 1.6798338726758408 6.183471742095481],[ 189.460153023147 192.06896216342304 199.2935836052707], [34.39842224121094]
[ 0.0 1.6602174334285005 6.112023785545325],[ 189.31804664563163 191.93249238062245 199.14743051113103], [34.48288321495056]
[ 0.0 1.645113970432363 6.057978378918708],[ 189.19037912908374 191.80857449914035 199.01294678512366], [34.566059589385986]
[ 0.0 1.6333969550514669 6.016918560335755],[ 189.07857792433893 191.69923203747115 198.89326959358314], [34.649978160858154]
[ 0.0 1.6242504860385432 5.9856143066462355],[ 188.9824516425126 191.6046830057555 198.78920376939567], [34.73349738121033]
[ 0.0 1.6170743239205356 5.961679289061873],[ 188.900932114999 191.5241411267757 198.70022665510004], [34.817100048065186]
[ 0.0 1.6114208557101566 5.943335682890652],[ 188.8325331237708 191.45631465023985 198.6251176717716], [34.90156865119934]
[ 0.0 1.6069523263278727 5.929249928379293],[ 188.7756277277489 191.39971093389735 198.56234616934967], [34.98511719703674]
[ 0.0 1.6034112548980617 5.918416134024024],[ 188.72860978194313 191.35281655905217 198.5103038446921], [35.069514751434326]
[ 0.0 1.6005996071252402 5.9100721147869475],[ 188.68998212038235 191.3141982556541 198.46743782770793], [35.15290808677673]
[ 0.020985149535115624 1.6173302878500366 5.926215206364129],[ 188.65839896411063 191.28255408215017 198.432321002211], [35.236504554748535]
[ 0.029458008373115574 1.6242895745021173 5.93172414436827],[ 188.648903392638 191.2717546057529 198.4187919365867], [35.3203239440918]
[ 0.03227341175816023 1.6257028156181725 5.931424014355824],[ 188.6472367850944 191.26886365420322 198.4137084950657], [35.404483795166016]
[ 0.03375104001160319 1.6259633266758788 5.93026199052497],[ 188.64708864974318 191.26770261777807 198.4107843741673], [35.488802433013916]
[ 0.03472464339281388 1.6260088440422056 5.929196435403013],[ 188.6472160696462 191.26698284415966 198.4086524310796], [35.571868658065796]
[ 0.035430634615026005 1.6260178331683282 5.92834826630149],[ 188.64736993981154 191.2664361496635 198.4069770651423], [35.654839515686035]
[ 0.03595682370069437 1.6260239027766963 5.9276940716655915],[ 188.64750432834686 191.2659971984675 198.40563726193437], [35.738025426864624]
[ 0.036351310059521476 1.626032280389557 5.927193355075033],[ 188.64761393185276 191.26564166961006 198.4045634066737], [35.8221640586853]
[ 0.0 6.329452913445174 0.30435358349708047],[ 188.6477012450948 191.26535447451457 198.40370383232337], [35.90580081939697]
[ 0.0 2.3742479448930487 5.285100250495778],[ 189.54423925051856 193.86134420449378 197.25557123279762], [35.988914251327515]
[ 0.0 2.9585587987747783 4.58525540333684],[ 189.36360820384255 193.6222407673062 197.19012628620376], [36.07314157485962]
[ 0.0 2.923989426521173 4.577028859630939],[ 189.1903037382412 193.48625245209894 197.03170953715554], [36.15728235244751]
[ 0.0 2.8533873791005138 4.622513989117696],[ 189.0508092929991 193.37714752224377 196.8970057836184], [36.24139213562012]
[ 0.0 2.795547798041004 4.65874742776299],[ 188.94055851645385 193.28351528314272 196.79449152167126], [36.32525181770325]
[ 0.0 2.749661591948413 4.685889121814725],[ 188.85295550552217 193.20333917789887 196.71626497348782], [36.4089937210083]
[ 0.0 2.7136018242768345 4.706175028087535],[ 188.78295196911702 193.13510543625054 196.65595704319], [36.49322748184204]
[ 0.0 2.6855223700997057 4.721310001560262],[ 188.7268034750632 193.07743782212904 196.60905779277067], [36.57694363594055]
[ 0.0 2.663839024152361 4.73258091341979],[ 188.6816810709115 193.02905826299568 196.57234070826263], [36.66053819656372]
[ 0.0 2.6472231838837 4.740959176875768],[ 188.6454033018035 192.98877208770804 196.54345659014345], [36.744423151016235]
[ 0.0 2.6345824554097597 4.747175899460035],[ 188.61625761537599 192.9554699986137 196.52066405026522], [36.828062534332275]
[ 0.0 2.625032523236523 4.751780010579262],[ 188.59287994975324 192.92813536368055 196.50264961075715], [36.912041425704956]
[ 0.0 2.6178665482223678 4.755182924575106],[ 188.57417197711365 192.90585053653186 196.48840667752947], [37.001978635787964]
[ 0.0 2.6125256059477224 4.757692544443002],[ 188.5592428192144 192.8877998073916 196.47715325510552], [37.086172342300415]
[ 0.0 2.608571891406962 4.759539000070161],[ 188.54736674824906 192.87326853543442 196.46827513698037], [37.17004728317261]
[ 0.0 2.605665380869085 4.7608940628183785],[ 188.53795149041403 192.86163897005943 196.4612859224923], [37.253751277923584]
[ 0.0 2.6035440590082857 4.761885760589687],[ 188.53051373039025 192.85238361788552 196.45579824113963], [37.33806228637695]
[ 0.0 2.6020075079838283 4.762609366502461],[ 188.52465966761085 192.8450570502581 196.45150254295189], [37.421544313430786]
