[ 0.0 0.0 0.0],[ 737.0051661178929 737.0051661178917 737.0051661178907], [1.5979931354522705]
[ 0.0 0.0 0.0],[ 737.0051661178929 737.0051661178917 737.0051661178907], [2.5290138721466064]
[ 0.1032754436463533 0.0 0.0],[ 737.0051661178944 737.0051661178927 737.0051661178925], [2.6648073196411133]
[ 0.028490686188159278 0.0 0.0],[ 737.2064192969522 737.0754312047644 737.076453799231], [2.7868940830230713]
[ 0.0 0.021408732463051233 0.036743207903799674],[ 737.0858928624016 737.0158505499694 737.0159353452492], [2.905404806137085]
[ 0.0 0.20437972494647808 0.22106849544483098],[ 737.06800640894 737.061192305463 737.081453518555], [3.0328054428100586]
[ 0.0 0.43759875667769255 0.45580447423458786],[ 737.308088073432 737.55103646917 737.5725314169102], [3.148669719696045]
[ 0.0 0.732805151864316 0.7549793075056103],[ 737.5843330390328 738.1993459138398 738.2290937642543], [3.2704739570617676]
[ 0.0 1.091141526892207 1.1163925737983877],[ 737.926379394502 739.0308146871619 739.0654021596911], [3.387798309326172]
[ 0.0 1.5149900141680306 1.5429185098518639],[ 738.3288019533132 740.0459118301687 740.0848868629308], [3.5084848403930664]
[ 0.0 2.006748723583109 2.0368007517772613],[ 738.7970885044735 741.2508206834515 741.2934499346069], [3.6243295669555664]
[ 0.0 2.5692944489402674 2.6007810633235167],[ 739.3359940482262 742.6512826555767 742.6966576826287], [3.7499022483825684]
[ 0.0 3.2036788056044143 3.2357587104375454],[ 739.9514599836174 744.2540691985133 744.3010802692702], [3.8615784645080566]
[ 0.0 3.9170118405078655 3.948706532301705],[ 740.6474071886042 746.0607800920252 746.1081074018391], [3.9776394367218018]
[ 0.0 4.713481805538664 4.743656771013515],[ 741.437524779253 748.0885826033509 748.1346395049336], [4.0913026332855225]
[ 0.0 5.598527833716014 5.625893938176042],[ 742.3316371637667 750.3469454570267 750.38988228968], [4.1999218463897705]
[ 0.0 6.5809799148593715 6.572389527583234],[ 743.3425192529378 752.8479418178317 752.8856269572486], [4.304943084716797]
[ 0.0 7.630340308139961 7.448179097155987],[ 744.4656654476054 755.5905642804852 755.5790623247738], [4.411706209182739]
[ 0.0 8.659293013579791 8.433521919681306],[ 745.5858384266949 758.4213784376025 758.1732425273195], [4.522993326187134]
[ 0.0 9.72904909833835 9.475961111514168],[ 746.7894208533877 761.2902722924714 760.9402987359937], [4.628962278366089]
[ 0.0 10.918280618546865 10.583226989006175],[ 748.092001857463 764.2591107006639 763.8415285178264], [4.736754894256592]
[ 0.0 12.234943628721853 11.791823310179895],[ 749.5652335327412 767.4862436000076 766.9450360226338], [4.8571858406066895]
[ 0.0 13.629439128666657 13.075672447296844],[ 751.2479368539914 771.018441415655 770.3179826147871], [4.970804691314697]
[ 0.0 15.1159893448371 14.461366119017384],[ 753.0873247809053 774.73561523207 773.8696070522344], [5.0878894329071045]
[ 0.0 16.695288183926632 15.937512878922153],[ 755.1277368410589 778.67416349151 777.6575393188447], [5.205315589904785]
[ 0.0 18.38627843309273 17.510671894421353],[ 757.3742381274346 782.8188474242837 781.6558076505443], [5.358992099761963]
[ 0.0 20.16118358328362 19.17560020927035],[ 759.8608973163768 787.2044853827114 785.883845105509], [5.4732825756073]
[ 0.0 21.994491292266233 20.921874693426776],[ 762.5748800835414 791.7659255266319 790.3040088937472], [5.584729433059692]
[ 0.0 23.891131661020303 22.67823078355428],[ 765.4999734809343 796.4396987026917 794.8722163448475], [5.7141499519348145]
[ 0.0 25.878155039355434 24.561381014950676],[ 768.5928554410982 801.1829595702281 799.4512475008331], [5.834903955459595]
[ 0.0 27.872404828965625 26.439993008023663],[ 771.9820732151693 806.1255874960052 804.2810295786908], [5.948869943618774]
[ 0.0 29.867238641506464 28.344607886362237],[ 775.4966014950527 811.0136428074661 809.0473272844547], [6.056209564208984]
[ 0.0 31.831249144599504 30.195803184508158],[ 779.1530508406045 815.8614947719469 813.8076250279651], [6.172816753387451]
[ 0.0 33.694656591311215 31.966200530671827],[ 782.8556303657579 820.5597229959275 818.3930812009131], [6.288607120513916]
[ 0.0 35.44100548360968 33.67638386361268],[ 786.5053004555665 824.9664826959263 822.7142060455662], [6.398128986358643]
[ 0.0 37.05619916128691 35.213586272170616],[ 790.0884278292044 829.0786955475993 826.8063244735158], [6.51078200340271]
[ 0.0 38.50587682766799 36.57653694785702],[ 793.4761796518466 832.8078276698985 830.4572341845015], [6.631001234054565]
[ 0.0 39.752913679296256 37.775154125377156],[ 796.6080392088053 836.0947192409327 833.6613910442333], [6.745818138122559]
[ 0.0 40.87094018851989 38.89707295799592],[ 799.4362336091689 838.8878908144645 836.4210347584202], [6.8598480224609375]
[ 0.0 41.762910988612404 39.8642068220238],[ 802.0874642751094 841.3959762124517 838.9494612844945], [6.9814512729644775]
[ 0.0 42.58766027276832 40.75322584287339],[ 804.3959000071939 843.4001533931295 841.0307252185341], [7.103637933731079]
[ 0.0 43.307898297735996 41.525858859188986],[ 806.5562163550069 845.2482066480311 842.9229705078739], [7.2146220207214355]
[ 0.0 43.947711870196116 42.18917915105446],[ 808.5018173925021 846.8364888523629 844.5401101953017], [7.332640171051025]
[ 0.0 44.47317626779794 42.75418487748983],[ 810.2514971952525 848.2123472646599 845.9153684025981], [7.448529958724976]
[ 0.0 44.942174379866024 43.30651672231732],[ 811.7794665938661 849.3211402621652 847.0522150958427], [7.56293249130249]
[ 0.0 45.41891748079961 43.83328586503922],[ 813.2155574438176 850.3356482070874 848.135047311065], [7.686381101608276]
[ 0.0 45.81314368093193 44.27472975604919],[ 814.6158401464274 851.3611046429805 849.1829498621148], [7.808767080307007]
[ 0.0 46.24285376543312 44.735542993675985],[ 815.8416587383272 852.1872423245553 850.0301595027514], [7.919138669967651]
[ 0.0 46.577764317963 45.136253832848006],[ 817.0954811982016 853.0969562847637 850.9493121231349], [8.025980949401855]
[ 0.0 46.923247811540904 45.53921029394023],[ 818.1914933648707 853.8016723179916 851.703478286222], [8.132877826690674]
[ 0.0 47.26698555484176 45.92888880404223],[ 819.2791540855192 854.540534108386 852.4707353758423], [8.243661642074585]
[ 0.0 47.61129313585096 46.34458587088714],[ 820.3403806287059 855.2713969661241 853.2241514947697], [8.356205701828003]
[ 0.0 47.64787024838299 46.554960049160364],[ 821.4159813386508 856.0275464199689 854.0248279442433], [8.463122844696045]
[ 0.0 47.90191407524856 47.07180952066914],[ 821.992852725984 856.1087512197605 854.2466892608674], [8.570000171661377]
[ 0.0 47.60680901993194 47.122308636961705],[ 823.0291024789118 856.8171224652202 855.1612688609105], [8.709120750427246]
[ 0.0 47.98064975467394 47.826245690630095],[ 823.1071667084171 856.2596374533208 854.8465313777085], [8.821995496749878]
[ 0.0 47.23484914066633 47.54686425567905],[ 824.3806409240404 857.3611394717536 856.1650460425142], [8.929622650146484]
[ 0.0 47.945938567281296 48.739683066746274],[ 823.6918070684638 855.8198647428468 854.946577874753], [9.038052320480347]
[ 0.0 46.17373328702041 47.706069271761145],[ 825.6860896599006 857.9036941667288 857.3619663909807], [9.150299310684204]
[ 0.0 48.26440751298085 50.339795233908305],[ 823.2984549185046 854.0847360075605 854.0728898465699], [9.256076097488403]
[ 0.0 43.71494005993579 46.75072584384196],[ 827.8833341160521 859.6914384554537 859.9828579231809], [9.363101482391357]
[ 0.0 50.2502307975637 53.87964990779254],[ 820.4991792228019 849.2465725033117 850.2572826097226], [9.471944093704224]
[ 0.0 36.39491525169677 41.167201329950124],[ 833.426831128003 866.0448641177454 867.2732178611901], [9.578887462615967]
[ 0.0 57.14407593777109 62.418359189439784],[ 808.8937545618553 833.0858598445353 835.3296231193643], [9.69221806526184]
[ 0.0 7.6020843390397275 13.331398989418105],[ 848.7389093795888 886.1562350870165 888.0113244340855], [9.808496236801147]
[ 0.0 66.61838843943609 72.41091407793081],[ 756.8350864451908 768.2465124048903 771.3405917742058], [9.922430276870728]
[ 0.0 0.0 0.0],[ 872.2222968679412 919.2625996931295 920.7459216252751], [10.031249761581421]
[ 0.0 42.7217976580102 46.63289832222391],[ 731.4508867652755 750.6082079278633 746.8876627004419], [10.14493703842163]
[ 0.0 37.1735888438584 44.458975609003176],[ 817.7557254938217 845.0226813574526 845.4153408636768], [10.2756826877594]
[ 0.0 49.73482359939315 58.484174188886584],[ 814.4040506881195 835.8229534014133 838.6388218476784], [10.399108409881592]
[ 0.0 25.972935657552735 35.780415524527584],[ 839.8038157428473 869.5497821506395 872.5087423846238], [10.515573024749756]
[ 0.0 63.72723853455863 77.17565802734158],[ 796.351762019714 812.27545216667 817.1757614903095], [10.643035888671875]
[ 0.0 0.0 0.0],[ 873.5834514442774 913.6799184901545 918.8887270125498], [10.763486862182617]
[ 0.0 59.62335428800186 68.55105676701594],[ 734.9954014591419 748.8152611013576 746.2821844765214], [10.885807514190674]
[ 0.0 0.0 0.0],[ 859.1428906714581 897.0234639725762 899.7700696135629], [11.005287408828735]
[ 0.0 63.5054913442353 72.55665796408847],[ 736.4599232309691 747.7568979137095 743.9728807427181], [11.128364324569702]
[ 0.0 0.0 0.0],[ 870.0091613253379 910.1799263622013 912.7138291352151], [11.255842447280884]
[ 0.0 52.86914664965597 63.58746428184386],[ 734.6572469261946 748.8593097774941 744.2571682039335], [11.37580156326294]
