[0. 0. 0.], [32.87850618362427]
[ 1.0e-02 -1.0e-02  1.1e+02], [33.41826772689819]
[ 0.0e+00 -2.0e-02  1.1e+02], [33.540780544281006]
[ 7.4000e-01 -8.0000e-02  1.1006e+02], [33.6624493598938]
[  2.48   0.29 110.05], [33.78330135345459]
[-3.0000e-01  1.1000e-01  1.1004e+02], [33.90444207191467]
[-3.0000e-01 -6.0000e-02  1.0999e+02], [34.024770736694336]
[  0.39   0.29 110.02], [34.148056983947754]
[-2.0000e-02 -1.7000e-01  1.1008e+02], [34.26855516433716]
[2.6300e+00 4.0000e-02 1.1001e+02], [34.39070677757263]
[  0.23   0.4  110.13], [34.51089811325073]
[  1.62  -0.27 110.02], [34.632277727127075]
[  1.35   0.5  110.1 ], [34.75480842590332]
[ 5.2000e-01 -6.0000e-02  1.1009e+02], [34.8759663105011]
[1.9200e+00 6.0000e-02 1.1004e+02], [34.99717354774475]
[  0.82   0.24 110.11], [35.120341539382935]
[  1.43  -0.15 110.04], [35.24172568321228]
[  1.41   0.37 110.12], [35.361281394958496]
[  1.46   0.26 110.11], [35.484177350997925]
[  1.7    0.31 110.09], [35.60535383224487]
[  1.34   0.33 110.11], [35.7266685962677]
[  1.77   0.14 110.1 ], [35.84845232963562]
[  1.92  -0.36 110.07], [35.97028112411499]
[1.6600e+00 5.0000e-02 1.1012e+02], [36.10319137573242]
[  1.97  -0.27 110.07], [36.22471213340759]
[ 1.7300e+00 -1.0000e-01  1.1011e+02], [36.3467960357666]
[  1.95  -0.12 110.12], [36.469300985336304]
[2.6800e+00 8.0000e-02 1.1011e+02], [36.59203481674194]
[2.1500e+00 4.0000e-02 1.1014e+02], [36.71397686004639]
[ 2.4700e+00 -4.0000e-02  1.1011e+02], [36.83672571182251]
[2.4100e+00 9.0000e-02 1.1013e+02], [36.958717346191406]
[  2.44  -0.32 110.16], [37.07950830459595]
[  3.09  -0.86 110.09], [37.201491832733154]
[  3.14   0.32 110.18], [37.3261923789978]
[ 3.3300e+00 -9.0000e-02  1.1017e+02], [37.449122190475464]
[3.4400e+00 1.0000e-01 1.1019e+02], [37.571683406829834]
[  3.3   -0.16 110.19], [37.69293189048767]
[  3.46  -0.16 110.18], [37.81348705291748]
[ 3.4800e+00 -1.0000e-02  1.1022e+02], [37.93475317955017]
[  3.61  -0.59 110.16], [38.055548429489136]
[ 3.5800e+00 -4.0000e-02  1.1022e+02], [38.17714500427246]
[  3.69  -0.22 110.22], [38.29919242858887]
[  3.8   -0.15 110.22], [38.42081022262573]
[3.8900e+00 2.0000e-02 1.1027e+02], [38.54227542877197]
[  4.03  -1.08 110.19], [38.66468119621277]
[  3.97  -0.28 110.28], [38.78642225265503]
[  3.98  -0.71 110.26], [38.90795087814331]
[  4.15  -0.68 110.32], [39.04060745239258]
