[4.68838140e-310 4.68837899e-310 4.68838607e-310], [44.352599143981934]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [44.97528004646301]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.092262983322144]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.206204652786255]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.32111740112305]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.43499183654785]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.54937481880188]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.664212226867676]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.7817919254303]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [45.89572072029114]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.011942863464355]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.129167556762695]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.243948221206665]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.36027383804321]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.47696781158447]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.5930712223053]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.710002422332764]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.82721138000488]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [46.94324207305908]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.0590386390686]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.175833225250244]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.293190717697144]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.40994644165039]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.526166677474976]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.6422336101532]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.75917291641235]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.87439823150635]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [47.98867321014404]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.102500200271606]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.21832871437073]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.33378195762634]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.44842886924744]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.56310701370239]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.678799629211426]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.794018030166626]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [48.910730838775635]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.02780890464783]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.143062591552734]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.259795904159546]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.37664318084717]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.492706537246704]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.60820174217224]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.72464442253113]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.83879280090332]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [49.95402383804321]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.069586992263794]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.18534541130066]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.299850940704346]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.41430735588074]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.52928161621094]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.64459824562073]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.7605836391449]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.87782955169678]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [50.99419689178467]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.10998177528381]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.22600746154785]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.34155797958374]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.45746421813965]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.57327938079834]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.6890332698822]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.80496382713318]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [51.92013502120972]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.03584289550781]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.1498076915741]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.26589870452881]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.38041615486145]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.495235204696655]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.61086916923523]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.72747349739075]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.84336018562317]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [52.958331823349]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.073854207992554]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.18958616256714]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.30531644821167]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.42015075683594]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.53570079803467]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.651562452316284]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.76695799827576]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.88182306289673]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [53.99697017669678]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.112194538116455]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.22824668884277]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.34289789199829]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.45956540107727]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.575382232666016]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.693134784698486]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.810384035110474]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [54.92591381072998]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.04159903526306]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.15684938430786]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.27061128616333]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.38596224784851]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.501612424850464]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.61653995513916]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.73243999481201]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.84634590148926]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [55.96129107475281]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.076822996139526]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.19403648376465]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.309239864349365]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.423651695251465]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.539636850357056]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.65484952926636]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.770169734954834]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.88488817214966]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [56.99980139732361]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.115148305892944]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.23038458824158]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.345543384552]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.460180044174194]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.57525706291199]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.69216203689575]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.8085663318634]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [57.925681829452515]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.042004346847534]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.15842294692993]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.27483940124512]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.391870737075806]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.50838351249695]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.625017404556274]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.74224519729614]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.85876131057739]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [58.973727226257324]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.092150926589966]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.207539319992065]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.324854612350464]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.44140338897705]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.55865240097046]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.67518138885498]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.789992809295654]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [59.90583634376526]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [60.02169871330261]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [60.137428283691406]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [60.252662897109985]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [60.367128133773804]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [60.48255181312561]
[4.68838813e-310 4.68838813e-310 4.68838813e-310], [60.596375942230225]
