[0. 0. 0.], [34.97426080703735]
[-23.71568193  -5.68281357  -9.06411237], [52.629411458969116]
[-23.64149409  -5.85557806  -9.01616713], [52.795459508895874]
[-23.69035899  -5.96425973  -8.92725716], [52.96126437187195]
[-23.7578774   -6.30524644  -8.7822857 ], [53.12806987762451]
[-23.88543637  -6.63074266  -8.61228186], [53.29512810707092]
[-23.61741628  -6.67624372  -8.67757704], [53.47295069694519]
[-23.5537824   -7.12038893  -8.56612701], [53.63730216026306]
[-23.52712839  -7.1721194   -8.5297443 ], [53.802870988845825]
[-23.29339582  -7.47929259  -8.52445063], [53.96761512756348]
[-23.35529957  -7.63779567  -8.42816552], [54.13239288330078]
[-23.13486806  -7.98423664  -8.40685484], [54.29837489128113]
[-23.22766731  -8.24809161  -8.27110316], [54.46287536621094]
[-23.04280589  -8.38185711  -8.28514908], [54.62737965583801]
[-23.03751923  -8.5440287   -8.21646677], [54.79360270500183]
[-23.00386918  -8.7774335   -8.1431326 ], [54.95823287963867]
[-22.86303967  -8.93622677  -8.13605606], [55.126731157302856]
[-22.76841233  -9.2550718   -8.06691324], [55.291730880737305]
[-22.74235048  -9.53449094  -7.97836139], [55.45727610588074]
[-22.74083811 -10.06712374  -7.80595079], [55.62290000915527]
[-22.63051231  -9.9810317   -7.85160985], [55.788230419158936]
[-22.40412393 -10.45810553  -7.77771715], [55.95335626602173]
[-22.20352538 -10.6633149   -7.77233243], [56.1195125579834]
[-22.17520268 -10.68243858  -7.75237175], [56.284425258636475]
[-22.16911799 -10.90002788  -7.66776981], [56.45043969154358]
[-22.05376331 -11.0289296   -7.65787772], [56.61592149734497]
[-21.84270338 -11.42850627  -7.60016802], [56.78174042701721]
[-21.67048174 -11.64986432  -7.58285362], [56.945903301239014]
[-21.71205996 -11.91617224  -7.46239002], [57.112468242645264]
[-21.53479794 -12.03477218  -7.47824814], [57.277923345565796]
[-21.35966459 -12.3972135   -7.41236974], [57.44268083572388]
[-21.40193656 -12.46469286  -7.36733601], [57.60840320587158]
[-21.02309672 -12.83752448  -7.37605137], [57.77428603172302]
[-21.01605464 -13.04251911  -7.30365895], [57.94006395339966]
[-21.05363819 -13.27120397  -7.20324966], [58.10655474662781]
[-21.03991789 -13.61996161  -7.08109664], [58.271141052246094]
[-20.86976596 -13.65532055  -7.12915251], [58.43815994262695]
[-20.66712972 -14.10847517  -7.03352243], [58.60344338417053]
[-20.5319379 -14.1650823  -7.0589628], [58.76834177970886]
[-20.37307393 -14.41084411  -7.02244032], [58.933465003967285]
[-20.17791935 -14.67581591  -6.99231972], [59.100863218307495]
[-19.84947122 -14.96231825  -6.99564919], [59.267069578170776]
[-19.90779572 -15.08241612  -6.93470293], [59.431658029556274]
[-19.63933856 -15.32734432  -6.9354737 ], [59.59505271911621]
[-19.53439474 -15.45792551  -6.92784732], [59.759560346603394]
[-19.37742464 -15.62652539  -6.92219007], [59.925379276275635]
[-19.23181256 -15.7735861   -6.92281762], [60.090142011642456]
[-19.0251702  -15.96975049  -6.92274206], [60.2547333240509]
[-18.87898025 -16.15905102  -6.90783373], [60.4213171005249]
[-18.56145716 -16.44387736  -6.90441905], [60.586509227752686]
[-18.53020539 -16.56867746  -6.88442528], [60.75189208984375]
[-18.2770406  -16.86584545  -6.85554589], [60.91892075538635]
[-18.36447013 -17.24683182  -6.68878012], [61.08397054672241]
[-18.13316765 -17.26050337  -6.77208521], [61.25605750083923]
