[  0.   0. 100.], [1.4869663715362549]
[4.68866144e-310 4.68865938e-310 1.58101007e-322], [2.5255894660949707]
[1.00000000e+000 0.00000000e+000 4.68865497e-310], [2.6670737266540527]
[4.68866091e-310 4.68865680e-310 1.58101007e-322], [2.795400619506836]
[4.68854970e-310 4.68865681e-310 4.68865493e-310], [2.9212918281555176]
[4.68866166e-310 4.68866131e-310 1.58101007e-322], [3.0583724975585938]
[6.91310050e-310 4.68866005e-310 1.58101007e-322], [3.192067861557007]
[1.00000000e+000 0.00000000e+000 4.68865497e-310], [3.316316843032837]
[6.91310134e-310 2.12199579e-314 4.68866179e-310], [3.4435508251190186]
[4.68866179e-310 4.68866793e-310 1.58101007e-322], [3.571892738342285]
[1.00000000e+000 0.00000000e+000 4.68865498e-310], [3.7036659717559814]
[6.91310143e-310 2.12199579e-314 4.68865681e-310], [3.8337576389312744]
[4.68866161e-310 4.68865682e-310 1.58101007e-322], [3.9582338333129883]
[1.00000000e+000 0.00000000e+000 4.68865496e-310], [4.085808277130127]
[6.91310134e-310 2.12199579e-314 4.68866186e-310], [4.216881036758423]
[4.68854970e-310 4.68865681e-310 4.68865493e-310], [4.338866233825684]
[0.00000000e+000 4.68865371e-310 1.58101007e-322], [4.462135076522827]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [4.596654891967773]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [4.72632622718811]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [4.855520009994507]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [4.986243724822998]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.107278108596802]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.233410835266113]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.358919143676758]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.480663061141968]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.605064630508423]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.733854055404663]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.85909366607666]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [5.99629020690918]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [6.134914875030518]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [6.27625584602356]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [6.411379337310791]
[4.6886549e-310 0.0000000e+000 1.5810101e-322], [6.553084850311279]
