[4.68838143e-310 4.68837899e-310 4.68838529e-310], [31.59859275817871]
[4.68838606e-310 4.68838259e-310 1.58101007e-322], [32.22410869598389]
[6.92686202e-310 2.12199579e-314 4.68838073e-310], [32.33976435661316]
[4.68838060e-310 4.68838586e-310 1.58101007e-322], [32.453346729278564]
[6.92686202e-310 2.12199579e-314 4.68838065e-310], [32.568859577178955]
[1.00000000e+000 0.00000000e+000 4.68838374e-310], [32.68515992164612]
[4.68838072e-310 4.68838372e-310 1.58101007e-322], [32.79926538467407]
[-0.17588779 -0.18045932  0.37791441], [32.91494154930115]
[4.68838259e-310 4.68838259e-310 1.58101007e-322], [33.03047466278076]
[-0.17452815  0.37561659 -0.18180751], [33.14656400680542]
[4.68838514e-310 4.68838514e-310 1.58101007e-322], [33.26255178451538]
[4.68838398e-310 4.68838259e-310 1.58101007e-322], [33.37985181808472]
[6.92686202e-310 2.12199579e-314 4.68838065e-310], [33.4962112903595]
[4.68838259e-310 4.68838064e-310 1.58101007e-322], [33.61127948760986]
[6.92686202e-310 2.12199579e-314 4.68838065e-310], [33.7290723323822]
[4.68838451e-310 4.68838808e-310 1.58101007e-322], [33.84567999839783]
[6.92686202e-310 2.12199579e-314 4.68838066e-310], [33.962977170944214]
[4.68838634e-310 4.68838285e-310 1.58101007e-322], [34.08020067214966]
[4.68838173e-310 4.68838273e-310 1.58101007e-322], [34.1955029964447]
[4.68838039e-310 4.68838136e-310 1.58101007e-322], [34.31213641166687]
[4.68838141e-310 4.68838808e-310 1.58101007e-322], [34.42700529098511]
[4.68838548e-310 4.68838634e-310 1.58101007e-322], [34.54302382469177]
[-0.15663869 -0.190871    0.34713701], [34.657904624938965]
[4.68838617e-310 4.68838072e-310 1.58101007e-322], [34.77263569831848]
[ 0.40352899 -0.15378047 -0.15314904], [34.888696908950806]
[4.68838028e-310 4.68838365e-310 1.58101007e-322], [35.00417876243591]
[4.68838793e-310 4.68838506e-310 1.58101007e-322], [35.121633768081665]
[4.68838064e-310 4.68838189e-310 1.58101007e-322], [35.23708486557007]
[4.68838258e-310 4.68838662e-310 1.58101007e-322], [35.35431790351868]
[1.00000000e+000 0.00000000e+000 4.68838606e-310], [35.47017168998718]
[4.68838451e-310 4.68838039e-310 1.58101007e-322], [35.586034059524536]
[6.92686202e-310 2.12199579e-314 4.68838629e-310], [35.70362615585327]
[4.68838039e-310 4.68838387e-310 1.58101007e-322], [35.819387912750244]
[6.92686202e-310 2.12199579e-314 4.68838394e-310], [35.93460202217102]
[4.68838617e-310 4.68838136e-310 1.58101007e-322], [36.05060291290283]
[4.68838372e-310 4.68838060e-310 1.58101007e-322], [36.16657567024231]
[ 0.39234282 -0.135954   -0.13748735], [36.28208637237549]
[4.68838548e-310 4.68838423e-310 1.58101007e-322], [36.398189306259155]
[4.68838506e-310 4.68838064e-310 1.58101007e-322], [36.51454710960388]
[4.68838372e-310 4.68838662e-310 1.58101007e-322], [36.63152074813843]
[-0.13285735  0.30842763 -0.18693697], [36.747260093688965]
[4.68838456e-310 4.68838173e-310 1.58101007e-322], [36.86443734169006]
[4.68838039e-310 4.68838064e-310 1.58101007e-322], [36.98112916946411]
[6.92686202e-310 2.12199579e-314 4.68838063e-310], [37.09780240058899]
[4.68838064e-310 4.68838771e-310 1.58101007e-322], [37.21328330039978]
[4.68838384e-310 4.68838423e-310 1.58101007e-322], [37.32979917526245]
[4.68838285e-310 4.68838372e-310 1.58101007e-322], [37.447014570236206]
[6.92686202e-310 2.12199579e-314 4.68838400e-310], [37.56322264671326]
[4.68838064e-310 4.68838634e-310 1.58101007e-322], [37.680562257766724]
[ 0.3751363  -0.12454057 -0.12551898], [37.79737424850464]
[4.68838576e-310 4.68838372e-310 1.58101007e-322], [37.913843393325806]
[4.68838771e-310 4.68838506e-310 1.58101007e-322], [38.02963185310364]
[4.68838064e-310 4.68838057e-310 1.58101007e-322], [38.146236181259155]
[4.68838285e-310 4.68838771e-310 1.58101007e-322], [38.26213192939758]
[4.68838808e-310 4.68838574e-310 1.58101007e-322], [38.37845802307129]
[4.68838617e-310 4.68838793e-310 1.58101007e-322], [38.49623680114746]
[4.68838757e-310 4.68838141e-310 1.58101007e-322], [38.613829612731934]
[4.68838451e-310 4.68838477e-310 1.58101007e-322], [38.730056047439575]
[4.68838793e-310 4.68838202e-310 1.58101007e-322], [38.84574484825134]
[4.68838064e-310 4.68838771e-310 1.58101007e-322], [38.96284580230713]
[4.68838064e-310 4.68838160e-310 1.58101007e-322], [39.07934379577637]
[4.68838060e-310 4.68838365e-310 1.58101007e-322], [39.19644093513489]
[4.68838383e-310 4.68838136e-310 1.58101007e-322], [39.31118679046631]
[4.68838285e-310 4.68838281e-310 1.58101007e-322], [39.42717409133911]
[4.68838725e-310 4.68838372e-310 1.58101007e-322], [39.54227542877197]
[1.00000000e+000 0.00000000e+000 4.68838606e-310], [39.65830755233765]
[4.68838563e-310 4.68838039e-310 1.58101007e-322], [39.77404165267944]
[ 0.33182417 -0.10306844 -0.16352475], [39.889323234558105]
[4.68838199e-310 4.68838261e-310 1.58101007e-322], [40.00453782081604]
[4.68838398e-310 4.68838447e-310 1.58101007e-322], [40.12068700790405]
[6.92686202e-310 2.12199579e-314 4.68838381e-310], [40.23641753196716]
[1.00000000e+000 0.00000000e+000 4.68838374e-310], [40.35127234458923]
[4.68838615e-310 4.68838416e-310 1.58101007e-322], [40.467275857925415]
[4.68838039e-310 4.68838497e-310 1.58101007e-322], [40.581815004348755]
[4.68838141e-310 4.68838506e-310 1.58101007e-322], [40.69644069671631]
[-0.10710638  0.38928813 -0.13261259], [40.81292271614075]
[4.68838629e-310 4.68838524e-310 1.58101007e-322], [40.92996883392334]
[4.68838259e-310 4.68838398e-310 1.58101007e-322], [41.04655957221985]
[-0.16620283 -0.12509368  0.23056659], [41.16256141662598]
[4.68838199e-310 4.68838662e-310 1.58101007e-322], [41.27943778038025]
[4.68838787e-310 4.68838451e-310 1.58101007e-322], [41.39576959609985]
[ 0.2996703  -0.11044494 -0.16233558], [41.510743141174316]
[4.68838303e-310 4.68838173e-310 1.58101007e-322], [41.62724018096924]
[4.68838663e-310 4.68838073e-310 1.58101007e-322], [41.74454092979431]
[1.00000000e+000 0.00000000e+000 4.68838606e-310], [41.86082887649536]
[4.68838634e-310 4.68838064e-310 1.58101007e-322], [41.977396726608276]
[-0.11638448  0.34922854 -0.12959616], [42.0943398475647]
[4.68838443e-310 4.68838381e-310 1.58101007e-322], [42.2103636264801]
[4.68838463e-310 4.68838174e-310 1.58101007e-322], [42.32595992088318]
[0.00000000e+000 4.68837899e-310 0.00000000e+000], [42.44266319274902]
[4.68838390e-310 4.68838372e-310 1.58101007e-322], [42.561115026474]
[6.92686105e-310 4.68838506e-310 1.58101007e-322], [42.67703676223755]
[6.92686202e-310 2.12199579e-314 4.68838041e-310], [42.79251050949097]
[4.68838285e-310 4.68838597e-310 1.58101007e-322], [42.90830206871033]
[4.68838443e-310 4.68838443e-310 1.58101007e-322], [43.022725343704224]
[6.92686202e-310 2.12199579e-314 4.68838587e-310], [43.13749170303345]
[-0.18256291 -0.08019053  0.29621768], [43.25225114822388]
[0.00000000e+000 4.68837899e-310 0.00000000e+000], [43.36732339859009]
