[  5. -10.  55.], [44.430011510849]
[  5. -10.  55.], [44.51445937156677]
[  5. -10.  55.], [44.59882211685181]
[  5. -10.  55.], [44.683149576187134]
[  5. -10.  55.], [44.76716589927673]
[  5. -10.  55.], [44.85057473182678]
[  5. -10.  55.], [44.93541073799133]
[  5. -10.  55.], [45.01986479759216]
[  5. -10.  55.], [45.1045446395874]
[  5. -10.  55.], [45.19011950492859]
[  5. -10.  55.], [45.2749183177948]
[  5. -10.  55.], [45.35858345031738]
[  5. -10.  55.], [45.443371534347534]
[  5. -10.  55.], [45.52765488624573]
[  5. -10.  55.], [45.61312246322632]
[  5. -10.  55.], [45.69730567932129]
[  5. -10.  55.], [45.78166913986206]
[  5. -10.  55.], [45.866170167922974]
[  5. -10.  55.], [45.95054483413696]
[  5. -10.  55.], [46.0352737903595]
[  5. -10.  55.], [46.11979031562805]
[  5. -10.  55.], [46.20370173454285]
[ 5. -5. 55.], [46.288053035736084]
[ 5. -5. 55.], [46.37319564819336]
[ 5. -5. 55.], [46.45742726325989]
[ 5. -5. 55.], [46.541309118270874]
[ 5. -5. 55.], [46.62494516372681]
[ 5. -5. 55.], [46.71015524864197]
[ 5. -5. 55.], [46.793944120407104]
[ 5. -5. 55.], [46.87843036651611]
[ 5. -5. 55.], [46.96261215209961]
[ 5. -5. 55.], [47.046056509017944]
[ 5. -5. 55.], [47.13059401512146]
[ 5. -5. 55.], [47.21607160568237]
[ 5. -5. 55.], [47.30022144317627]
[ 5. -5. 55.], [47.38500499725342]
[ 5. -5. 55.], [47.46955156326294]
[ 5. -5. 55.], [47.55349946022034]
[ 5. -5. 55.], [47.638736963272095]
[ 5. -5. 55.], [47.723647117614746]
[ 5. -5. 55.], [47.80828309059143]
[ 5. -5. 55.], [47.89324450492859]
[ 5. -5. 55.], [47.97717809677124]
[ 5. -5. 55.], [48.0612998008728]
[ 5. -5. 55.], [48.1465528011322]
[ 5. -5. 55.], [48.231584787368774]
[ 5. -5. 55.], [48.31602931022644]
[ 5.  0. 55.], [48.40109086036682]
[ 5.  0. 55.], [48.48588442802429]
[ 5.  0. 55.], [48.56982898712158]
[ 5.  0. 55.], [48.653950691223145]
[ 5.  0. 55.], [48.738492250442505]
[ 5.  0. 55.], [48.82293486595154]
[ 5.  0. 55.], [48.90739393234253]
[ 5.  0. 55.], [48.99194669723511]
[ 5.  0. 55.], [49.07550859451294]
[ 5.  0. 55.], [49.15932011604309]
[ 5.  0. 55.], [49.243802309036255]
[ 5.  0. 55.], [49.32815480232239]
[ 5.  0. 55.], [49.41312074661255]
[ 5.  0. 55.], [49.49704027175903]
[ 5.  0. 55.], [49.58026313781738]
[ 5.  0. 55.], [49.664629220962524]
[ 5.  0. 55.], [49.748687744140625]
[ 5.  0. 55.], [49.83359122276306]
[ 5.  0. 55.], [49.91830897331238]
[ 5.  0. 55.], [50.00212097167969]
[ 5.  0. 55.], [50.08608651161194]
[ 5.  0. 55.], [50.17078471183777]
[ 5.  0. 55.], [50.255040884017944]
[ 5.  0. 55.], [50.33845853805542]
[ 5.  0. 55.], [50.422590255737305]
[ 0.  0. 55.], [50.50569820404053]
[ 0.  0. 55.], [50.59036350250244]
[ 0.  0. 55.], [50.67506718635559]
[ 0.  0. 55.], [50.75942802429199]
[ 0.  0. 55.], [50.843066692352295]
[ 0.  0. 55.], [50.92736554145813]
[ 0.  0. 55.], [51.011313676834106]
[ 0.  0. 55.], [51.09439992904663]
[ 0.  0. 55.], [51.177738666534424]
[ 0.  0. 55.], [51.262168645858765]
[ 0.  0. 55.], [51.34580039978027]
[ 0.  0. 55.], [51.42911076545715]
[ 0.  0. 55.], [51.51381039619446]
[ 0.  0. 55.], [51.59841275215149]
[ 0.  0. 55.], [51.68302512168884]
[ 0.  0. 55.], [51.76715326309204]
[ 0.  0. 55.], [51.85074520111084]
[ 0.  0. 55.], [51.93585181236267]
[ 0.  0. 55.], [52.02471208572388]
[ 0.  0. 55.], [52.11510705947876]
[ 0.  0. 55.], [52.205016136169434]
[ 0.  0. 55.], [52.29450464248657]
[ 0.  0. 55.], [52.384480237960815]
[ 0.  0. 55.], [52.46877670288086]
[ 0.  0. 55.], [52.553284883499146]
[ 0.  0. 60.], [52.637229442596436]
[ 0.  0. 60.], [52.72243356704712]
[ 0.  0. 60.], [52.80635976791382]
[ 0.  0. 60.], [52.89005947113037]
[ 0.  0. 60.], [52.973860025405884]
[ 0.  0. 60.], [53.05863642692566]
[ 0.  0. 60.], [53.142242193222046]
[ 0.  0. 60.], [53.22675681114197]
[ 0.  0. 60.], [53.311240673065186]
[ 0.  0. 60.], [53.395572900772095]
[ 0.  0. 60.], [53.4788613319397]
[ 0.  0. 60.], [53.56184482574463]
[ 0.  0. 60.], [53.644784927368164]
[ 0.  0. 60.], [53.73033785820007]
[ 0.  0. 60.], [53.81421709060669]
[ 0.  0. 60.], [53.898133993148804]
[ 0.  0. 60.], [53.98210406303406]
[ 0.  0. 60.], [54.06598520278931]
[ 0.  0. 60.], [54.15050649642944]
[ 0.  0. 60.], [54.23466920852661]
[ 0.  0. 60.], [54.32055854797363]
[ 0.  0. 60.], [54.40317106246948]
[ 0.  0. 60.], [54.48780179023743]
[ 0.  0. 60.], [54.57176685333252]
[ 0.  0. 60.], [54.65489721298218]
[-5.  5. 60.], [54.740153551101685]
[-5.  5. 60.], [54.82471466064453]
[-5.  5. 60.], [54.90922451019287]
[-5.  5. 60.], [54.99316143989563]
[-5.  5. 60.], [55.07712960243225]
[-5.  5. 60.], [55.16014051437378]
[-5.  5. 60.], [55.24418067932129]
[-5.  5. 60.], [55.328030586242676]
[-5.  5. 60.], [55.41209411621094]
[-5.  5. 60.], [55.4976224899292]
[-5.  5. 60.], [55.581486225128174]
[-5.  5. 60.], [55.66475534439087]
[-5.  5. 60.], [55.75052046775818]
[-5.  5. 60.], [55.83451294898987]
[-5.  5. 60.], [55.918596506118774]
[-5.  5. 60.], [56.003418922424316]
[-5.  5. 60.], [56.08800196647644]
[-5.  5. 60.], [56.17140316963196]
[-5.  5. 60.], [56.25452256202698]
[-5.  5. 60.], [56.3395836353302]
[-5.  5. 60.], [56.423824310302734]
[-5.  5. 60.], [56.508023500442505]
[-5.  5. 60.], [56.59132671356201]
[-5.  5. 60.], [56.675830602645874]
[-5.  5. 60.], [56.75966024398804]
[-10.  10.  60.], [56.842976570129395]
[-10.  10.  60.], [56.927181005477905]
[-10.  10.  60.], [57.01174831390381]
[-10.  10.  60.], [57.09521532058716]
[-10.  10.  60.], [57.17924165725708]
[-10.  10.  60.], [57.264143228530884]
[-10.  10.  60.], [57.347203731536865]
[-10.  10.  60.], [57.4305784702301]
[-10.  10.  60.], [57.51541709899902]
[-10.  10.  60.], [57.598905086517334]
[-10.  10.  60.], [57.68325400352478]
[-10.  10.  60.], [57.76888728141785]
[-10.  10.  60.], [57.85290598869324]
[-10.  10.  60.], [57.936766386032104]
[-10.  10.  60.], [58.02074718475342]
[-10.  10.  60.], [58.10570549964905]
[-10.  10.  60.], [58.18967032432556]
[-10.  10.  60.], [58.27417206764221]
[-10.  10.  60.], [58.35832357406616]
[-10.  10.  60.], [58.4425265789032]
[-10.  10.  60.], [58.52629089355469]
[-10.  10.  60.], [58.610326528549194]
[-10.  10.  60.], [58.69331455230713]
[-10.  10.  60.], [58.77822208404541]
[-10.  10.  60.], [58.86145281791687]
[-10.   5.  60.], [58.94573521614075]
[-10.   5.  60.], [59.029873847961426]
[-10.   5.  60.], [59.11379027366638]
[-10.   5.  60.], [59.19797396659851]
[-10.   5.  60.], [59.28258419036865]
[-10.   5.  60.], [59.36654996871948]
[-10.   5.  60.], [59.44978976249695]
[-10.   5.  60.], [59.53442740440369]
[-10.   5.  60.], [59.61813569068909]
[-10.   5.  60.], [59.702449321746826]
[-10.   5.  60.], [59.786537170410156]
[-10.   5.  60.], [59.871126651763916]
[-10.   5.  60.], [59.954848766326904]
[-10.   5.  60.], [60.03916049003601]
[-10.   5.  60.], [60.123887062072754]
[-10.   5.  60.], [60.20758080482483]
[-10.   5.  60.], [60.29157733917236]
[-10.   5.  60.], [60.379475831985474]
